131285c0e021dcc159b41ddf526e66bea5b9025272fafb73386b4d88217adba2,3566c2af0741eb2eb9b300575e239dbd197f942cd112f1076557472a84f820e5,adaf5890d93e8a28d312d5bb8417c9327c8e961b5441647620cb94378e920f7a,42a29f2830143a8c06902a16b6301dee0c0dc59d8f9bf050060e286b786a6e7e,e23f8fa18eab07f019eb3f99dc50eb21ce5246bbecae410dc42614e4f01802cd,5507fc978c097cbe86a9c2360b9f5ac40ceb662739f71dafe9ee82f636400df2
"101001","0","1","1","1110111","111011101"
"101002","0","1","1","1110211","111021101"
"301","0","1","3","1330111","133011101"
"301","0","1","3","1330112","133011201"
"302","500","0","3","1330201","133020101"
"302","500","0","3","1330202","133020201"
"303","1","0","3","1330301","133030101"
"303","250","0","3","1330302","133030201"
"303","1","0","3","1330303","133030301"
"303","1","0","3","1330304","133030401"
"303","250","0","3","1330305","133030501"
"303","1","0","3","1330306","133030601"
"304","1000","0","3","1330401","133040101"
"304","1000","0","3","1330402","133040201"
"304","1000","0","3","1330403","133040301"
"304","1000","0","3","1330404","133040401"
"305","0","1","3","1330511","133051101"
"305","0","1","3","1330512","133051201"
"401","1","0","3","1340101","134010101"
"401","1","0","3","1340102","134010201"
"402","0","1","3","1340211","134021101"
"402","0","1","3","1340212","134021201"
"1","1","0","4","1400101","140010101"
"1","1","0","4","1400102","140010201"
"1","10","0","4","1400103","140010301"
"2","0","0","4","1400201","140020101"
"0","0","0","1","2100001","210000101"
"101003","0","0","1","2110301","211030101"
"100001","0","0","2","2210101","221010101"
"100002","0","0","2","2210201","221020101"
"100003","0","0","2","2210301","221030101"
"100005","0","0","2","2210501","221050101"
"100007","0","0","2","2210701","221070101"
"100008","0","0","2","2210801","221080101"
"100009","0","0","2","2210901","221090101"
"100010","0","0","2","2211001","221100101"
"100011","0","0","2","2211101","221110101"
"100012","0","0","2","2211201","221120101"
"100013","0","0","2","2211301","221130101"
"100014","0","0","2","2211401","221140101"
"100016","0","0","2","2211601","221160101"
"100017","0","0","2","2211701","221170101"
"201020","0","0","1","2220201","222020101"
"201040","0","0","1","2220401","222040101"
"201050","0","0","1","2220501","222050101"
"201060","0","0","1","2220601","222060101"
"201070","0","0","1","2220701","222070101"
"201080","0","0","1","2220801","222080101"
"201090","0","0","1","2220901","222090101"
"201100","0","0","1","2221001","222100101"
"201110","0","0","1","2221101","222110101"
"201130","0","0","1","2221301","222130101"
"201140","0","0","1","2221401","222140101"
"201160","0","0","1","2221601","222160101"
"201180","0","0","1","2221801","222180101"
"201190","0","0","1","2221901","222190101"
"201200","0","0","1","2222001","222200101"
"201210","0","0","1","2222101","222210101"
"201220","0","0","1","2222201","222220101"
"201230","0","0","1","2222301","222230101"
"201240","0","0","1","2222401","222240101"
"201250","0","0","1","2222501","222250101"
"201270","0","0","1","2222701","222270101"
"201280","0","0","1","2222801","222280101"
"201290","0","0","1","2222901","222290101"
"201300","0","0","1","2223001","222300101"
"201320","0","0","1","2223201","222320101"
"201340","0","0","1","2223401","222340101"
"201350","0","0","1","2223501","222350101"
"201360","0","0","1","2223601","222360101"
"201370","0","0","1","2223701","222370101"
"201380","0","0","1","2223801","222380101"
"201390","0","0","1","2223901","222390101"
"201400","0","0","1","2224001","222400101"
"201410","0","0","1","2224101","222410101"
"201430","0","0","1","2224301","222430101"
"201440","0","0","1","2224401","222440101"
"201470","0","0","1","2224701","222470101"
"201480","0","0","1","2224801","222480101"
"201490","0","0","1","2224901","222490101"
"301","1000","0","3","2330101","233010101"
"305","1000","0","3","2330501","233050101"
"402","0","0","3","2340201","234020101"
"403","0","0","3","2340301","234030101"
"1","0","0","4","2400101","240010101"
"0","0","0","1","3100001","310000101"
"0","0","0","1","3100002","310000102"
"101001","0","0","1","3110101","311010101"
"101002","0","0","1","3110201","311020101"
