0091fd6d3051cf1c3b789aeddf7a0f8e90bf6fe094c25d5f0b789b20802dafab,c8615c8f847ee26c9121c2eeeba37a6a00fac6e2083fb7e8a38cb290bfe1f722,e6230f84a16e2edbb5e853ecf890d55823016010c0963a9bdc8bb07f3f57eb1a,ce7a29af6f18fa8e1480e22ba8c258e4660f22314a26e0d460f3683f63259351,11d5226613c8d8f09a93a06986f9499bf34e9ca27604ec0fcf2a4d0469b27a75,acdc2b99204b9b2cea3626454987213797ce154462145dc0c134b45d8aef29b1,c42af77b626f7d725c233b74e755e2e92c585924a45e6ff95db080a2cb61580d,47e355547cb54a41d66485d2eb6c51f464fe56b7dcca98edd57fcab649b22915,a11956d93342a16cc116bfec8cec3e22881aa66351a702d0009df0dfc17db7a6,d4d636dcc37cfbb7e641d2d4f1dde5c6c13cc5612e61d5f95fb2687011a6219e,dff03e48e5f901d6c77cee3a8796bcbac0d254a95e33319cd5a12a5798ba7c18,68ce8016076740a8ddd8b36ecbd75a0fe240a430e6a5218aaa6d93d8fcdfb19f,9b50becd42f19f0be0462ff53b2b411a1cd41c4977a8103450375ba04b497a3f,ca419b271f1478b9605a45849bc97c0750ed5c8d87af3525b1668b25b7e8df92,2c6488c4a59c536387e2a82f94494b545bd9f5d9683cf82c0c833563756ce849,26fe962ebad32f45c6cd555f86179bd4e098bb2ae64e7d062e35e2643d8f9644,0bcf7b482f44742ad4e9e9cd026041bdcdf6747c83285a1a82beeefea3767200,4b1f07f52497b66a7f99cda4defb73242b6031a0e47cb3d3df7d54e7e11836d0,33f3f77174de7d93b2522cbef9eeff107d16d71cca5c3749b464961d55cccbdb
"10010","0","0","0","2","1.5","0","0","0","1","0","610010004","5","","5010321","0","0","610010401","90"
"10010","0","0","0","3","1.5","0","0","0","2","0","610010005","5","","5010322","108","0","610010402","90"
"10010","0","0","0","1","1.5","0","0","0","3","0","610010006","5","","0","0","0","0","90"
"10011","5011321","0","0","1","1.5","70","0","0","1","0","610011004","5","","5011322","0","0","0","90"
"10011","0","0","0","1","1.5","40","0","0","2","0","610011005","5","","5011323","0","0","0","90"
"10011","0","0","0","1","1.5","0","0","0","3","0","610011006","5","","0","0","0","0","90"
"10012","0","600","0","2","1.5","0","0","0","1","3","610012004","5","","5012321","0","1","610012401","90"
"10012","0","0","0","1","1.5","51","0","0","2","0","610012005","5","","5012322","0","1","0","90"
"10012","0","0","0","1","1.5","0","0","0","3","0","610012006","5","","0","0","1","0","90"
"10013","0","600","0.9","2","1.5","0","50","0","1","3","610013004","5","","5013321","0","1","610013401","90"
"10013","0","0","1","1","1.5","50","84","0","2","0","610013005","5","","5013322","0","0","0","90"
"10013","0","0","1","1","1.5","0","84","0","3","0","610013006","5","","0","0","0","0","90"
"10015","0","600","0.9","2","1.5","0","1","0","1","3","610015004","5","","5015321","0","1","610015401","90"
"10015","0","0","1.3","1","1.5","50","-50","0","2","0","610015005","5","","5015322","0","1","0","90"
"10015","0","0","1.3","1","1.5","0","-50","0","3","0","610015006","5","","0","0","1","0","90"
"10017","0","600","0.9","2","1.5","0","50","0","1","3","610017004","5","","5017321","0","1","610017401","90"
"10017","0","0","1","1","1.5","50","84","0","2","0","610017005","5","","5017322","0","1","0","90"
"10017","0","0","1","1","1.5","0","84","0","3","0","610017006","5","","0","0","1","0","90"
"10019","5019321","0","1.25","4","1.5","0","-50","0","1","0","610019004","5","","5019322","200","1","610019401","90"
"10019","0","0","1.25","1","1.5","50","-50","0","2","0","610019005","5","","5019323","0","1","0","90"
"10019","0","0","1.25","1","1.5","0","-50","0","3","0","610019006","5","","0","0","1","0","90"
"10021","5021321","0","1","1","1.5","60","0","0","1","0","610021004","5","","5021322","0","1","0","90"
"10021","0","0","1","3","1.5","0","0","0","2","0","610021005","5","","5021323","30","1","0","90"
"10021","0","0","1","1","1.5","0","0","0","3","0","610021006","5","","0","0","1","0","90"
"10023","5023321","0","1.25","1","1.5","75","-50","0","1","0","610023004","5","","5023322","0","1","0","135"
"10023","0","0","1.25","1","1.5","25","-50","0","2","0","610023005","5","","5023323","0","1","0","135"
"10023","0","0","1.25","1","1.5","0","-50","0","3","0","610023006","5","","0","0","1","0","135"
"10025","5025321","600","1.25","2","5.5","0","-50","0","1","3","610025004","5","","5025322","0","1","610025401","140"
"10025","0","0","1.25","1","1.5","50","-50","0","2","0","610025005","5","","5025323","0","1","0","140"
"10025","0","0","1.25","1","1.5","0","-50","0","3","0","610025006","5","","0","0","1","0","140"
"10027","5027321","600","1.25","1","5.5","60","-50","0","1","3","610027004","5","","5027322","0","1","0","145"
"10027","0","600","1.25","2","1.5","0","-50","0","2","0","610027005","5","","5027323","0","1","610027501","145"
"10027","0","0","1.25","1","1.5","0","-50","0","3","0","610027006","5","","0","0","1","0","145"
"10029","5029321","600","1.5","2","5.5","0","0","0","1","3","610029004","5","","5029322","0","1","610029401","145"
"10029","0","0","1.5","1","1.5","60","0","0","2","0","610029005","5","","5029323","0","1","0","145"
"10029","0","0","1.5","1","1.5","0","0","0","3","0","610029006","5","","0","0","1","0","145"
"10031","5031321","600","1.25","2","5.5","0","-50","0","1","3","610031004","5","","5031322","0","1","610031401","150"
"10031","0","0","1.25","1","1.5","50","-50","0","2","0","610031005","5","","5031323","0","1","0","150"
"10031","0","0","1.25","1","1.5","0","-50","0","3","0","610031006","5","","0","0","1","0","150"
"10033","5033321","600","1.25","1","5.5","50","-50","0","1","3","610033004","5","","5033322","0","1","0","150"
"10033","0","600","1.25","2","1.5","0","-50","0","2","0","610033005","5","","5033323","0","1","610033402","150"
"10033","0","0","1.25","1","1.5","0","-50","0","3","0","610033006","5","","0","0","1","0","150"
"10034","5011321","0","1.4","1","1.5","70","0","0","1","0","610034004","5","","5011322","0","1","0","90"
"10034","0","0","1.4","1","1.5","40","0","0","2","0","610034005","5","","5011323","0","1","0","90"
"10034","0","0","1.4","1","1.5","0","0","0","3","0","610034006","5","","0","0","1","0","90"
"10035","5035321","600","2.5","2","5.5","0","5","0","1","3","610035004","5","","5035322","0","1","610035401","155"
"10035","0","600","2.5","2","1.5","0","5","0","2","0","610035005","5","","5035323","0","1","610035402","155"
"10035","0","0","2.5","1","1.5","0","5","0","3","0","610035006","5","","0","0","1","0","155"
"10036","5036321","600","0.4","1","5.5","75","-50","0","1","3","610036004","5","","5036322","0","1","0","155"
"10036","0","600","0.4","1","1.5","20","-50","0","2","0","610036005","5","","5036323","0","1","0","155"
"10036","0","0","0.4","1","1.5","0","-50","0","3","0","610036006","5","","0","0","1","0","155"
"10037","0","600","1.5","2","1.5","0","-50","0","1","3","610037004","5","","5012321","0","1","610037401","90"
"10037","0","0","1.5","1","1.5","53","-50","0","2","0","610037005","5","","5012322","0","1","0","90"
"10037","0","0","1.5","1","1.5","0","-50","0","3","0","610037006","5","","0","0","1","0","90"
"10038","5038321","600","1.8","2","5.5","0","-20","0","1","3","610038004","5","","5038322","0","1","610038401","155"
"10038","0","0","2","1","1.5","55","-20","0","2","0","610038005","5","310700_detail_idle","5038323","0","1","0","155"
"10038","0","0","1.8","1","1.5","0","-20","0","3","0","610038006","5","","0","0","1","0","155"
"10039","0","600","0.9","2","1.5","0","50","0","1","3","610039004","5","","5013321","0","1","610039401","90"
"10039","0","0","1","1","1.5","50","84","0","2","0","610039005","5","","5013322","0","1","0","90"
"10039","0","0","1","1","1.5","0","84","0","3","0","610039006","5","","0","0","1","0","90"
"10040","5040321","600","1.5","2","5.5","0","-20","0","1","3","610040004","5","","5040322","0","1","610040401","160"
"10040","0","0","1.7","1","1.5","60","-35","0","2","0","610040005","5","","5040323","0","1","0","160"
"10040","0","0","1.7","1","1.5","0","-35","0","3","0","610040006","5","","0","0","1","0","160"
"10041","0","600","0.9","2","1.5","0","1","0","1","3","610041004","5","","5015321","0","1","610041401","90"
"10041","0","0","1.3","1","1.5","42","-50","0","2","0","610041005","5","","5015322","0","1","0","90"
"10041","0","0","1.3","1","1.5","0","-50","0","3","0","610041006","5","","0","0","1","0","90"
"10042","5042321","0","1.7","5","5.5","60","-20","0","1","0","610042004","5","","5042322","6500000","1","0","160"
"10042","0","600","1.61","2","1.5","0","-20","0","2","3","610042005","5","311100_detail_idle","5042323","0","1","610042402","160"
"10042","0","0","1.7","1","1.5","0","-20","0","3","0","610042006","5","","0","0","1","0","160"
"10043","5019321","0","1.25","4","1.5","0","-50","0","1","0","610043004","5","","5019322","200","1","610043401","90"
"10043","0","0","1.25","1","1.5","67","-50","0","2","0","610043005","5","","5019323","0","1","0","90"
