238a49750fa9da50075315b75cb6989838f33c2ff11686a4a03b2f5b9e977685,653e2df8faa320e9e3d29f383e1f6c0c62b45a5b5c164f808d2c0239d9c161b1,9e79a0ea82fbb80b92ff5e24e3677fe26d5fa188788dacc8c669c5c7b109c27e,a55ca5c4082a9459f5b55f3c2b33c908b10c58090cf1079c403a2928b093655c,b9d2caaa6879ca957601d31e2c212ea582abdaa7f0fc6a490444f155da396d49,27fc2187ca8d375f7ac508c0cb880ad8e7e6c868d1c57cd607a7c41534deb1d1,b4371d6232eb6ec56e173bbcdec85bf93075cfc8629ecc7b08ed0dbbe9744437,ccef4f78e197ac3a103fa4e82d69332d717ee2073312467723bfad9e687f84e3,fd27f6b6e0dcb4774f831470606c9b2c7a079b714bbcce7b1d68f08f3d981e3b,7db86eefad6d890e4ef1756b81294dfe844228c77aaa9b742ea1cf9003be5403,1a62b225bd6c1340e455f81234dfeea88973e13ed9daafaa3708bb5995e6bfff,39b3e054da44f4d88cab18b88b3068e7a445d5601a6eafd2be6dfbb6e6ccdcc9,dab233fbca5e8ceeeabd7b25800df25a9623fd25607381d427c7be072bbef84d,f9e28d63b1591cec482f83e1f138e1d6540df57e0f63b89eb52c1fadbbf822a9,836117bcfca1e2b434180957d89432d1c492ad0a38c4326e6fff9a4fd5f2d06c
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","ミヤコ’s キッチン"
"2","48","0","0","0","0","0","0","0","102","0","0","0","0","プリンにしてやるの"
"3","96","0","0","0","0","0","0","0","152","0","0","0","0","幽霊よりも怖いもの？"
"4","144","0","0","0","0","0","0","0","142","0","0","0","0","宴はプリン作りとともに"
"5","168","0","0","0","0","0","0","0","127","0","0","0","0","愛はプリンのために"
"6","192","0","0","0","0","0","0","0","107","0","0","0","0","ちょびっと成長？"
"7","240","0","0","0","0","0","0","0","0","0","0","0","0","キュッキュ～！"
"8","0","20","0","0","0","0","0","0","153","154","155","0","0","３人のかわいい手下"
"9","0","40","0","0","0","0","0","0","150","157","0","0","0","変な趣味なの"
"10","0","50","0","0","0","0","0","0","125","161","0","0","0","入れるな危険なの"
"11","0","60","0","0","0","0","0","0","116","135","0","0","0","レシピなの？"
