be49ec8a8748a232eca835e7fe986fb3062c5ce4301f98f36bce12caf9da43e2,653515a3321979badc2d4ce11599a6d8e279e69dc6034d543a19f73c3961d410,17e5c7c33f7fac82375e72781266b371a894f83248c031b37e27548f7b223e25,98be0185a62d7338945728c3551ae873cd3ab1210acde127c03a90182af437c6
"0","1001","戦闘不能になったキャラが0人以下で勝利","100101"
"1","1001","戦闘不能になったキャラが1人以下で勝利","100102"
"2","1001","戦闘不能になったキャラが2人以下で勝利","100103"
"74001","1002","バトルの残り時間が1:15以上で勝利","100201"
"69001","1002","バトルの残り時間が1:10以上で勝利","100202"
"59001","1002","バトルの残り時間が1:00以上で勝利","100203"
"49001","1002","バトルの残り時間が0:50以上で勝利","100204"
"44001","1002","バトルの残り時間が0:45以上で勝利","100205"
"39001","1002","バトルの残り時間が0:40以上で勝利","100206"
"29001","1002","バトルの残り時間が0:30以上で勝利","100207"
"1000","1003","味方のTotal HPが100%以上で勝利","100301"
"900","1003","味方のTotal HPが90%以上で勝利","100302"
"800","1003","味方のTotal HPが80%以上で勝利","100303"
"700","1003","味方のTotal HPが70%以上で勝利","100304"
"600","1003","味方のTotal HPが60%以上で勝利","100305"
"500","1003","味方のTotal HPが50%以上で勝利","100306"
"990","1003","味方のTotal HPが99%以上で勝利","100307"
