f878eac09e7276af25ba183c49913a0ca2219a16b65bb02def9f354876e5ad27,280ec49ef9608ebde9ccba3655ffdd58480825f470824ac797b52329aa5c024b,cf92cc71c68c608dc50e74b0b478f303ade28ee285d186b5aa4708440f5f1bb5,035dc2f64e1bb67eea5c54fb025d3756d1d30d45f6c7d7aafc2b81fe7408240f,f8293b1180b02bfbaf361c6d10846b8ed0f6d590c0ddeb1c62401b55f39b2e53,915976bc15ee8396bc96546769a8801aad921fd9a5ec02445096276cab9d6349,2e1255fd49fa761dd896563f6d489dba72940db4188854adf5b9d384986cc278,c74773c7d4b5199a2103ad66b57a4d747bd2ddb6d199319657c92d35d3c054a8,911e47df448c1d7c6af1639406a0c9758112ad00daf75f9e34abba5eb9ba898d,13c0f800f2bf12bd3353cc993d8a4370c799133dcef6f6a09a061d027a1effc0,f25be7e26e822a9d88c0d4e997dc209d89f00c63e4b2c1b16e2bec759bbc26b9,d1fdd1669bbf55296de7265d6f5e9e83f3bb0916fe0a3099e9063d16040a368f,1bce225bac118c438a8d820d40801d30611e3b773521b684d3372a9989eca702,f1fb6f38ff556800e968dc824540bb6cbc31136fade0b5bd31ccbfc5884630b9,7f48d5fad09b8145181b3441d7b84f4d67d8be3f92f96456dee64d465f0f63c5,ffdaeff2dcde32ff4f5b58d9bd9f3d6f86cdeb8c63a936849536eaaa50c42700,6f8bb1a0fc210e63d2f69019a80542736e49adb934552e7fe74ca25243a87e5b,34a06e34a4b0c0c70fd9931d9c609ece27244e9e904c87250120070ddd635113,172b5641c2c68b4f4e88baf460f92f6a5844605bf97887a587c4444650fc8e78
"1","0","0","0","0","65","0","0","0","16","10","0","0","100101","0","0","1","2","75"
"2","0","0","0","0","185","0","0","0","68","30","0","0","100101","0","0","3","3","125"
"4","0","0","0","0","420","0","0","0","158","60","3","0","100101","0","0","7","4","260"
"7","0","0","0","0","810","0","0","0","293","100","7","0","100101","0","0","12","5","420"
"11","0","0","0","0","1340","3","0","0","486","130","11","0","100101","0","0","17","6","630"
"15","0","0","0","0","1660","6","0","0","731","155","17","0","100101","0","0","26","7","1235"
"15","0","0","9","0","2290","9","0","0","1030","180","24","0","100101","10","0","35","8","1795"
"16","0","0","23","0","2540","9","0","0","1459","205","27","5","100101","40","0","46","9","1795"
"16","0","0","37","0","2740","9","0","10","1941","205","35","10","100101","100","0","51","10","1795"
"16","0","0","37","3","3100","9","0","20","2439","205","44","15","100101","158","0","55","11","1795"
"18","0","0","37","36","3470","9","0","20","2871","205","46","15","100101","198","0","66","12","2045"
"18","0","0","37","56","3720","9","0","20","3345","230","54","15","100101","251","0","79","13","2045"
"20","0","0","37","56","3880","9","0","20","3840","255","68","15","100101","328","0","97","14","2045"
"20","0","0","37","56","3880","9","0","20","4412","255","82","15","100101","448","0","111","15","2045"
"20","0","0","37","59","3880","9","0","20","5015","255","94","15","100101","586","0","124","16","2045"
"20","0","0","37","62","3930","9","0","20","5656","255","103","15","100101","711","0","142","17","2045"
"20","0","0","37","62","3980","9","0","20","6351","255","119","15","100101","856","0","157","18","2045"
"20","0","0","37","62","4075","9","0","20","7154","255","135","15","100101","984","0","173","19","2045"
