3ea07adac016194c30d84d8f67afdd61b88f6b3fe9d99fa97eece71730696daf,9c7352712494a998a811bd53870f13681b4fe4b61a42efa0e2bbf945fdc4bbe4,033bd48fa11dc52c87d29e4a1789320970fe46049f6901bc943ef49cc267de68,a3b217068a013967da26f9e3b960e541909fb3102edff714f1cc7502af9e2cf1,752381e8ae482811f2a8c3f4046eb1bd9b638be6589a4370069bbd0443ad2d3a
"25011","32000101","1000","320001011","2"
"25012","32000101","1000","320001012","2"
"25013","32000102","1000","320001021","2"
"25014","32000102","1000","320001022","2"
"91002","32000103","1000","320001031","8"
"94002","32000103","3000000","320001032","12"
"25015","32000103","1000","320001033","2"
"25021","32000103","1000","320001034","2"
"25013","32000104","1000","320001041","2"
"25014","32000104","1000","320001042","2"
"25012","32000105","1000","320001051","2"
"25015","32000105","1000","320001052","2"
"91002","32000106","1000","320001061","8"
"94002","32000106","3000000","320001062","12"
"25011","32000106","1000","320001063","2"
"25021","32000106","1000","320001064","2"
"25014","32000107","1000","320001071","2"
"25015","32000107","1000","320001072","2"
"25011","32000108","1000","320001081","2"
"25013","32000108","1000","320001082","2"
"91002","32000109","1000","320001091","8"
"94002","32000109","3000000","320001092","12"
"25012","32000109","1000","320001093","2"
"25021","32000109","1000","320001094","2"
"25011","32000110","3000","320001101","2"
"25012","32000110","3000","320001102","2"
"25013","32000110","3000","320001103","2"
"25014","32000110","3000","320001104","2"
"25015","32000110","3000","320001105","2"
"25011","32000111","3000","320001111","2"
"25012","32000111","3000","320001112","2"
"25013","32000111","3000","320001113","2"
"25014","32000111","3000","320001114","2"
"25015","32000111","3000","320001115","2"
"25011","32000112","3000","320001121","2"
"25012","32000112","3000","320001122","2"
"25013","32000112","3000","320001123","2"
"25014","32000112","3000","320001124","2"
"25015","32000112","3000","320001125","2"
"21953","32000113","1","320001131","2"
"25021","32000113","2000","320001132","2"
