1eb3d2058f0ed9e1a8e4dd19906d4c612e328d5dc979860a628730970631e73d,46ea5fc4e4d7eee32d246a02e6a31df708d7edd7360f482e48ec99daa310f187,c77ed62d0b32a2536a666700f60c11c8f531bfb3d744ed637f493e6ca84d4735,c739e4b03ebd34e01c550e7ab0ecfc7ee52cd96e641a12c21f2bfdf4e99e1c1a,b2d40c33fd43a00d11d6be4b4d9d89487795c7377cd7fae48f1efd9595e9c5c4
"8000000","94002","12","1","1001"
"40","90005","2","2","1001"
"8000000","94002","12","3","1002"
"50","90005","2","4","1002"
"8000000","94002","12","5","1003"
"60","90005","2","6","1003"
"8000000","94002","12","7","1004"
"70","90005","2","8","1004"
"150","91002","8","9","1005"
"8000000","94002","12","10","1005"
"80","90005","2","11","1005"
"8000000","94002","12","12","1006"
"90","90005","2","13","1006"
"300","91002","8","14","1007"
"8000000","94002","12","15","1007"
"100","90005","2","16","1007"
"8000000","94002","12","17","2001"
"8000000","94002","12","18","2002"
"8000000","94002","12","19","2003"
"8000000","94002","12","20","2004"
"8000000","94002","12","21","2005"
"8000000","94002","12","22","2006"
"8000000","94002","12","23","2007"
"8000000","94002","12","24","2008"
"8000000","94002","12","25","2009"
"8000000","94002","12","26","2010"
"8000000","94002","12","27","2011"
"8000000","94002","12","28","2012"
"8000000","94002","12","29","2013"
"8000000","94002","12","30","2014"
"8000000","94002","12","31","2015"
"8000000","94002","12","32","7001"
"5","90005","2","33","7001"
"8000000","94002","12","34","7002"
"5","90005","2","35","7002"
"8000000","94002","12","36","7003"
"5","90005","2","37","7003"
"8000000","94002","12","38","7004"
"10","90005","2","39","7004"
"8000000","94002","12","40","7005"
"10","90005","2","41","7005"
"8000000","94002","12","42","7006"
"10","90005","2","43","7006"
"8000000","94002","12","44","7007"
"15","90005","2","45","7007"
"8000000","94002","12","46","7008"
"15","90005","2","47","7008"
"8000000","94002","12","48","7009"
"15","90005","2","49","7009"
"8000000","94002","12","50","7010"
"20","90005","2","51","7010"
"8000000","94002","12","52","7011"
"20","90005","2","53","7011"
"8000000","94002","12","54","7012"
"20","90005","2","55","7012"
"8000000","94002","12","56","7013"
"25","90005","2","57","7013"
"8000000","94002","12","58","7014"
"25","90005","2","59","7014"
"8000000","94002","12","60","7015"
"25","90005","2","61","7015"
"8000000","94002","12","62","7016"
"30","90005","2","63","7016"
"8000000","94002","12","64","7017"
"30","90005","2","65","7017"
"8000000","94002","12","66","7018"
"30","90005","2","67","7018"
"8000000","94002","12","68","7019"
"35","90005","2","69","7019"
"8000000","94002","12","70","7020"
"35","90005","2","71","7020"
"8000000","94002","12","72","7021"
"35","90005","2","73","7021"
"8000000","94002","12","74","7022"
"40","90005","2","75","7022"
"8000000","94002","12","76","8001"
"1000","90008","2","77","8001"
"8000000","94002","12","78","8002"
"1250","90008","2","79","8002"
"8000000","94002","12","80","8003"
"1500","90008","2","81","8003"
"8000000","94002","12","82","8004"
"1750","90008","2","83","8004"
"8000000","94002","12","84","8005"
"2000","90008","2","85","8005"
"8000000","94002","12","86","8006"
"2250","90008","2","87","8006"
"8000000","94002","12","88","8007"
"2500","90008","2","89","8007"
