38c16ea57cfd1b81aed7a2a31d837342145464504b4e93f8a57627a6ca8950db,bfa384fb544b0335ca0ee4a6b6f9c42a17bd0b89c991b3ef7635b80891e9c586,5816a1564cb17ff23d71e2125a41f8d35b0bd3887948a0e6071248fa75a9a58b,fe2b9b5403c46bedf54693568d4fd6fa22d3af950d1b4560d969f205586910a0,e7ae47b76bd21df91fb34f7d386ffe6defd32e18ec2bc5364fe167d5c122241e
"-7","990001","-4.5","30010001","1"
"12","990001","-21.5","30010003","1"
"-3","990001","-21.5","30010004","1"
"-5.8","1","-21.6","30010007","1"
"-4.4","1","-21.6","30010008","1"
"-16.7","1","-8.6","30010029","1"
"-7","1","-13","30010038","1"
"-5.5","990002","2.9","30010047","1"
"-8.9","1","-17.6","30010055","1"
"-6.6","1","-19","30010056","1"
"-5","1","-18.4","30010060","1"
"0.6","3","-20.4","30010061","1"
"-3.9","3","-17.2","30010062","1"
"-4.1","1","-14.9","30010063","1"
"2.2","1","-17","30010066","1"
"2.2","1","-18.5","30010068","1"
"2.2","1","-15.4","30010070","1"
"-9.6","3","-21.7","30010071","1"
"-11.9","1","-21.6","30010073","1"
"-12","3","-20","30010074","1"
"-1.9","3","-21.7","30010077","1"
"-4.9","3","-13.8","30010079","1"
"-17","2","-3.6","30010081","1"
"-15","2","-4.7","30010083","1"
"-13.9","3","-16.8","30010085","1"
"-7.1","3","-11.5","30010089","1"
"-8.1","2","-8.7","30010091","1"
"-5.7","2","-8.7","30010094","1"
"-16.3","2","-4.7","30010100","1"
"-13.8","2","-0.2","30010104","1"
"-13.9","2","2.3","30010106","1"
"-15.2","2","1","30010107","1"
"-16.6","2","2.1","30010109","1"
"-16.5","2","-0.1","30010110","1"
"-20","2","-2","30010112","1"
"-20","2","-0.8","30010113","1"
"-20","2","2","30010115","1"
"-20","2","3.7","30010116","1"
"-19.9","3","0.6","30010117","1"
"-18.2","3","-2.9","30010119","1"
"-19.5","3","-3","30010120","1"
"-15","991002","-2.5","30010125","1"
"-16.7","991001","-2.5","30010126","1"
"-8.5","991001","-21.4","30010130","1"
"-18.4","3","4.8","30010134","1"
"-17","3","5.8","30010136","1"
"-17.1","2","6.9","30010137","1"
"-17","3","8","30010138","1"
"-17","2","9.5","30010139","1"
"-13.5","2","5.3","30010145","1"
"-12.1","2","5.3","30010146","1"
"-15.5","3","8.7","30010147","1"
"-14.3","2","8.8","30010148","1"
"-13","3","8.8","30010149","1"
"-12.3","2","10.2","30010150","1"
"-10.8","2","8.4","30010152","1"
"-10.7","2","10.2","30010155","1"
"-6.2","1","-16.1","30010156","1"
"-7.3","2","6.8","30010160","1"
"-6.4","3","7.9","30010161","1"
"-6","1","6.4","30010162","1"
"-6","3","2","30010163","1"
"-6","1","4.6","30010164","1"
"-2.8","1","3","30010166","1"
"-2.2","1","5.3","30010168","1"
"-0.5","3","5.3","30010169","1"
"-4.9","1","-12.2","30010170","1"
"-4.9","3","-10.9","30010171","1"
"-3.8","1","8","30010173","1"
"-2.6","2","8.7","30010174","1"
"-1.5","1","8","30010175","1"
"-0.3","2","8.7","30010176","1"
"0.9","1","7.9","30010177","1"
"-1.9","2","3.3","30010178","1"
"-1.6","2","-0.8","30010181","1"
"1","1","0.4","30010182","1"
"2.4","2","0.4","30010183","1"
"3.6","1","0.4","30010184","1"
"6.4","1","1.3","30010186","1"
"8","3","1.3","30010187","1"
"9.5","1","1.3","30010188","1"
"5.4","2","4.9","30010189","1"
"6.4","1","5.8","30010190","1"
"7.5","2","4.9","30010191","1"
"8.6","2","5.8","30010192","1"
"3.8","1","5.7","30010193","1"
"11.1","3","0.4","30010194","1"
"14","2","0.2","30010195","1"
"15","3","1.4","30010196","1"
"14.1","2","2.4","30010197","1"
"15.1","1","3.5","30010198","1"
"14","2","4.3","30010199","1"
"12","1","6.3","30010200","1"
"10.3","2","6.3","30010201","1"
"12.1","1","-2.8","30010202","1"
"9.1","3","-1.7","30010203","1"
"9","1","-3","30010204","1"
"9","3","-4.7","30010205","1"
"15.9","2","-1.7","30010206","1"
"16.8","2","-3.2","30010207","1"
"15.8","2","-4.5","30010208","1"
"13.1","3","-2.8","30010209","1"
"10.2","1","-8.8","30010210","1"
"10.1","2","-7.5","30010211","1"
"10","1","-5.9","30010212","1"
"15.1","3","-8.7","30010213","1"
"16.2","3","-7.6","30010214","1"
"15.3","3","-6.3","30010215","1"
"15.9","1","-10.4","30010216","1"
"16.9","3","-11.6","30010217","1"
"15.9","1","-13","30010218","1"
"11.1","2","-11.6","30010219","1"
"11.1","3","-10.1","30010220","1"
"13.9","3","-14.3","30010221","1"
"15","1","-15.5","30010222","1"
"14.3","3","-17.3","30010223","1"
"15","1","-18.4","30010224","1"
"11.1","1","-17.8","30010225","1"
"11.1","3","-18.9","30010226","1"
"11","1","-21.6","30010227","1"
"9.7","2","-21.6","30010228","1"
"8.5","1","-21.6","30010229","1"
"7","1","-21.6","30010230","1"
"5.5","3","-21.7","30010231","1"
"4","1","-21.7","30010232","1"
"2.2","3","-20.4","30010233","1"
"6","2","-19.3","30010234","1"
"5.3","2","-18.2","30010235","1"
"6","2","-16.8","30010236","1"
"2.2","1","-11.8","30010237","1"
"7","1","-9.5","30010238","1"
"5.9","3","-9","30010239","1"
"4.9","1","-9.5","30010240","1"
"2.1","3","-10.3","30010241","1"
"2.1","1","-8.5","30010242","1"
"0.6","1","-18.7","30010243","1"
"5.2","3","-13.4","30010244","1"
"4","3","-12.6","30010245","1"
"-16.6","991004","6","30010246","1"
"-15.1","991002","5.5","30010247","1"
"12.3","991002","-2.5","30010251","1"
"11.7","991001","-2.5","30010252","1"
"12.2","991002","-7.5","30010253","1"
"11.8","991001","-7.5","30010254","1"
"11.4","991001","-13.2","30010255","1"
"12.7","991003","-13.7","30010256","1"
"6.5","991001","-21.5","30010257","1"
"6.8","991002","-12.6","30010259","1"
"5.2","991001","-12.6","30010260","1"
"-1.5","991002","-11.5","30010261","1"
"-2.5","991001","-11.5","30010262","1"
"6.4","991004","-20.2","30010263","1"
"-1.8","991002","-16.6","30010264","1"
"-2.2","991001","-16.6","30010265","1"
"-9.3","2","8.5","30010267","1"
"-12","1","-18.6","30010268","1"
"-10.1","991002","-17.6","30010269","1"
"-11.7","991001","-17.7","30010270","1"
"-14.3","991003","-12.6","30010271","1"
"-14.3","991004","-11.2","30010272","1"
"-13.9","3","-15.4","30010274","1"
"-13.8","3","-14.1","30010275","1"
"-12.2","991003","-8.1","30010276","1"
"-12.2","991004","-7.7","30010277","1"
"-15.3","1","-8.6","30010278","1"
"-19.9","1","-11.9","30010279","1"
"-19.9","3","-10.7","30010280","1"
"-19.9","1","-9.2","30010281","1"
"-19.9","3","-8","30010282","1"
"-18.6","1","-13.4","30010283","1"
"-16.2","1","-13.6","30010284","1"
"-14.9","3","-13.7","30010285","1"
"-12.9","3","-9.6","30010286","1"
"-11.7","2","-9.6","30010287","1"
"-10.4","2","-9.6","30010288","1"
"-7","1","-8.8","30010289","1"
"-1","2","-3.6","30010290","1"
"-1","2","-5","30010291","1"
"1.8","991002","2.5","30010292","1"
"0.5","991003","2.5","30010293","1"
"10.5","2","-22.7","30020001","2"
"9","2","-23","30020004","2"
"6","2","-23","30020005","2"
"7.5","2","-22.7","30020006","2"
"6.3","991001","-19.1","30020008","2"
"7.8","991002","-19.1","30020009","2"
"5.5","2","-21.5","30020010","2"
"13.5","1","-22.7","30020011","2"
"15","3","-23.5","30020012","2"
"17.1","990001","-22.5","30020013","2"
"16.3","1","-22.7","30020014","2"
"18.4","3","-22.7","30020015","2"
"19.7","1","-23.5","30020016","2"
"21.3","3","-22.7","30020017","2"
"10.5","2","-20","30020018","2"
"12.5","1","-19.8","30020019","2"
"15","1","-19.8","30020020","2"
"15","1","-15","30020024","2"
"18.6","1","-17.8","30020027","2"
"17.5","1","-19.8","30020029","2"
"15","1","-17","30020030","2"
"16","3","-16.4","30020031","2"
"4","2","-20.3","30020032","2"
"3.5","2","-18.9","30020033","2"
"4","2","-17.5","30020034","2"
"9","2","-15.7","30020035","2"
"-2","2","-23.8","30020043","2"
"-4","2","-23.8","30020044","2"
"-5","1","-23","30020045","2"
"-4","2","-19","30020047","2"
"-4","2","-17","30020048","2"
"-1.3","1","-15.7","30020050","2"
"-1.7","2","-13.4","30020051","2"
"-3.5","2","-13.5","30020052","2"
"-7","2","-13.1","30020053","2"
"-9.2","2","-13.6","30020054","2"
"-9","2","-14.9","30020055","2"
"-7","1","-21.1","30020056","2"
"-8.8","1","-22.7","30020062","2"
"-12","1","-22.7","30020063","2"
"-5","3","-21.1","30020065","2"
"-7","3","-23","30020066","2"
"-10.5","3","-23.2","30020067","2"
"-10","2","-16","30020068","2"
"-12","2","-15.3","30020069","2"
"-13.5","2","-18.1","30020070","2"
"-13.5","2","-16.4","30020071","2"
"-14.5","3","-22.7","30020072","2"
"-17.1","3","-22.7","30020073","2"
"-8.2","991004","-19","30020074","2"
"-16","990001","-22.5","30020076","2"
"-19.5","1","-22.7","30020077","2"
"-21.5","1","-22.7","30020078","2"
"-23.5","3","-22","30020079","2"
"-23.5","3","-20.2","30020080","2"
"-25","1","-18.8","30020083","2"
"-25","3","-17.6","30020084","2"
"-25","3","-16","30020085","2"
"-25","1","-14","30020086","2"
"-19.7","2","-16.1","30020087","2"
"-19.3","2","-14.8","30020088","2"
"-24.5","3","-12.7","30020089","2"
"-23.5","1","-11.5","30020090","2"
"-19.4","3","-13.1","30020091","2"
"-20","1","-11.5","30020092","2"
"-25","3","-9.6","30020093","2"
"-25","1","-8","30020094","2"
"-25","3","-6.2","30020095","2"
"-18.5","2","-9.4","30020096","2"
"-17","2","-8.5","30020097","2"
"-18.5","2","-7.4","30020098","2"
"-17","2","-6.8","30020099","2"
"-23.7","1","-4","30020100","2"
"-21.6","1","-2","30020101","2"
"-19.5","1","-2","30020102","2"
"-17.7","1","-2","30020103","2"
"-16.1","3","-3.4","30020104","2"
"-15","3","-4","30020105","2"
"-16.2","3","-10.8","30020106","2"
"-15","3","-11.3","30020107","2"
"-13.7","3","-10.8","30020108","2"
"-10.5","1","-6","30020109","2"
"-9.3","1","-5","30020110","2"
"-11.9","3","-5.1","30020111","2"
"-8.3","3","-6","30020112","2"
"-12","3","-10.4","30020113","2"
"-10.8","1","-11.8","30020114","2"
"-9","1","-11.8","30020115","2"
