5e864db29551d15c32d6bc86da3828ca8795f818a29837667dfc7ed7fe64f27e,d9e20c7f630839208eaa27fe17bbd2c4ceb4eb1a0e7f1d7288539a359ad6bd4c,0b9b32634cac76f20a10429005877cfd9c505d36e34e045c0ae307dfc1b370bc,472ba367205a7d4fd0b300a70daca5898522fbbab0354997b7b2b9bf6ceaf8c1,a21ea36e79175b5012071c2bdd4ef1fe8da4689c455fbdb456efa54799de0970,967d1374db31772f19279adcd69663f163425a617c7f5063093d19cec2206615,817688e996ff5adbfe611b5e2aa2ac10a4bec144a1895b0f1ae0c4e311ff4cfb,a536fb144350bc751e1411afe26dd1c9b70b5f05e5413d78f3a427b0090af623
"1","170","71","-401","1","182","1","-90"
"2","170","81","-401","1","182","2","-90"
"3","255","121","-255","1","182","3","90"
"4","255","131","-255","1","182","4","90"
"5","255","141","-255","1","182","5","90"
"6","229","191","-107","1","176","6","-80"
"7","229","201","-107","1","176","7","-80"
"8","218","271","136","1","151","8","-85"
"9","218","281","136","1","151","9","-85"
"10","218","291","136","1","151","10","-85"
"11","156","331","280","1","219","11","80"
"12","156","341","280","1","219","12","80"
"13","156","351","280","1","219","13","80"
"14","213","401","417","1","183","14","-97"
"15","213","411","417","1","183","15","-97"
"2","242","451","-259","2","229","1","-73"
"4","226","481","-222","2","179","2","124"
"6","219","501","-101","2","192","3","-67"
"8","168","521","-26","2","190","4","-27"
"11","192","551","117","2","260","5","-50"
"14","159","601","241","2","138","6","120"
"14","159","611","241","2","138","7","120"
"14","224","621","243","2","229","8","-71"
"1","71","781","-353","3","43","1","32"
"2","235","801","-228","3","268","2","-30"
"3","80","831","-243","3","45","3","144"
"4","221","851","20","3","225","4","-76"
"5","211","861","230","3","222","5","-74"
"6","115","891","-100","3","136","6","44"
"7","115","901","-100","3","136","7","44"
"8","306","991","116","3","250","8","76"
"9","306","1001","116","3","250","9","76"
"10","306","1011","116","3","250","10","76"
"11","96","1041","322","3","188","11","40"
"12","96","1051","322","3","188","12","40"
"1","294","1091","-211","4","272","1","-6"
"2","92","1101","-288","4","115","2","129"
"3","92","1111","-288","4","115","3","129"
"4","135","1121","-58","4","174","4","128"
"5","222","1151","143","4","184","5","133"
"6","134","1161","-277","4","98","6","-129"
"7","134","1171","-277","4","98","7","-129"
"8","67","1211","-60","4","70","8","-12"
"9","67","1221","-60","4","70","9","-12"
"10","132","1231","116","4","185","10","-55"
"11","93","1261","-17","4","89","11","-103"
"12","93","1271","-17","4","89","12","-103"
"13","150","1311","232","4","239","13","23"
"1","114","1391","-289","5","72","1","-161"
"2","114","1401","-289","5","72","2","-161"
"3","228","1411","-261","5","248","3","80"
"4","223","1431","-103","5","211","4","-91"
"5","186","1471","-87","5","181","5","95"
"6","132","1551","69","5","176","6","-122"
"7","132","1561","69","5","176","7","-122"
"8","143","1611","54","5","184","8","91"
"9","211","1641","204","5","247","9","45"
"10","137","1651","308","5","167","10","141"
