9029855558aef591708cf5cd3f4600f27346b46313767ba6b071ad57c286357c,d33c662d9b267ae44dbe6db8d12357f32eb53aa37db10f80997a4b43bb91fbcb,4de172de12563dbafa9a2e299a6737f0be255b2c04a5c73269e87695ed4cebb2,9bda02d4c7f919be1f6e2efb8bd1571038f2ed92fcc97a45df541180163ac0d3,44c1ac02c7798e5fd42c2383e7d5cc249931eafc0feead205010884b840a87b8,fa57daecf5c8b15e71c7fc25c3549fca5fcc14b0f23e4429d929b8358433b63c,5b53e2ac1a163beb68d4e0c87d040ddcce6e735a197737412705a3eae2b0ef8c,840dc26b8c95c9a6cb9f895035a4527311cab48c00ea2073e708c88128ea085e,869e6aa2545447003f2a1f9662491b2d721eb26b559d319bcd9cc28b986b5391,43a6fe554fa00d4e57659107bc09354b45f4c6c5bd35c62d80c65a85dbc78260,6d33e92dfe069040924113cd61943cc787e18f71cf18982d1b20785c658a15f4
"-496","1","0","100","1","01_uek_cmn_idol_def_N","-157","1.3","1","105831","1010001"
"-355","1","0","110","1","01_uek_cmn_idol_def_N","-178","1.3","1","105931","1010002"
"410","1","1","100","1","01_uek_cmn_idol_def_N","-124","1.3","1","112631","1010003"
"389","1","1","110","1","01_uek_cmn_idol_def_N","-258","1.3","1","112531","1010004"
"-415","1","0","120","1","01_uek_cmn_idol_def_N","-234","1.3","1","106031","1010005"
"262","1","1","120","1","01_uek_cmn_idol_def_N","-235","1.3","1","112431","1010006"
"01_uek_cmn_pose03","1","0.2","0","105831","","1","0","3","01_uek_01_peko","1010007"
"01_uek_talk_normal","1","0.2","0","105931","","1","0","3","01_uek_01_kokkoro","1010008"
"01_uek_cmn_pose02","1","0.2","0","106031","","1","0","3","01_uek_01_kyaru","1010009"
"01_uek_cmn_pose03","1","0.2","0","112631","","1","0","3","01_uek_01_mio","1010010"
"01_uek_cmn_pose02","1","0.2","0","112531","","1","0","3","01_uek_01_rin","1010011"
"01_uek_cmn_pose01","1","0.2","0","112431","","1","0","3","01_uek_01_uduki","1010012"
"","1","","","3","","","","93","","1010013"
"","1","","1","112631","","0","0.2","3","01_uek_cmn_pose03","1010014"
"","1","","1","112431","","0","0.2","3","01_uek_cmn_pose01","1010015"
"","1","","1","105831","","0","0.2","3","01_uek_cmn_pose03","1010016"
"01_uek_cmn_idol_def_N","1","0.1","0","105931","","1","0.2","3","01_uek_talk_normal","1010017"
"01_uek_cmn_idol_def_N","1","0.1","0","106031","","1","0.2","3","01_uek_cmn_pose02","1010018"
"01_uek_cmn_idol_def_N","1","0.1","0","112531","","1","0.2","3","01_uek_cmn_pose02","1010019"
"","1","","10","105831","","","","11","うわぁ～…！\n大きくなりすぎて\nやばいですね☆","1010020"
"","1","","","0","","","","91","","1010021"
"","1","","10","105931","","","","11","うえきちゃんが\nどこまで続くのか\n分からないほどです","1010022"
"","1","","","0","","","","91","","1010023"
"","1","","10","112631","","","","11","こういうのってさ\n上がどうなってるか\n見てみたいよね！","1010024"
"","1","","","0","","","","91","","1010025"
"","1","","10","112531","","","","11","確かにね…それに\nこうなった理由も\n分かるかも","1010026"
"","1","","","0","","","","91","","1010027"
"","1","","10","106031","","","","11","ま、興味はあるし\n付き合ってあげるわ","1010028"
"","1","","","0","","","","91","","1010029"
"","1","","10","112431","","","","11","はい♪みなさんで\n頂上を目指して\n頑張りましょう！","1010030"
"","1","","","0","","","","91","","1010031"
"0","2","0","100","1","02_uek_cmn_idol_def_N","0","1.3","1","104431","1020001"
"02_uek_02_ilya_loop","2","","0","104431","","0","","3","02_uek_02_ilya","1020002"
"0","2","","10","104431","","","","11","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！","1020003"
"","2","","","0","","0","","91","","1020004"
"-140","3","0","100","1","01_uek_cmn_idol_def_N","-10","1.3","1","105831","1030001"
"120","3","1","100","1","01_uek_cmn_idol_def_N","10","1.3","1","105931","1030002"
"0","3","1","100","1","01_uek_cmn_idol_def_N","0","1.3","1","106031","1030003"
"01_uek_03_peko_loop","3","","0","105831","","0","","3","01_uek_03_peko","1030004"
"01_uek_03_kyaru_loop","3","","0","106031","","0","","3","01_uek_03_kyaru","1030005"
"0","3","","10","105831","","","","11","キャルちゃん！\n見てください\nいい景色ですよ☆","1030006"
"","3","","","0","","","","91","","1030007"
"0","3","","10","106031","","","","11","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！","1030008"
