f8e298cd558493476a4190976adc64519f60afe078932deaef7c5f8a16499dfd,4a2fa553ff22ca49bcf6bb9721d465e014ea08fd2bf30a984c5ea83920d5b411,262d0764642dce25c9ee693dc49d447fd0f4d9b92b1daed1c3d57569794a0ce5,4dba7698f20b331a2d7b59f66aa2c0fe6969e05fc6cfde0fab3498ea6f669ef8,ef50e4f2b467cc048fb674573e7c5f229d339e448d31004fde5b7abe180712fe
"1","0","1","1038","150"
"2","0","2","1038","151"
"3","0","3","1038","152"
"4","0","4","1038","153"
"5","0","5","1038","154"
"1","0","6","1039","156"
"2","0","7","1039","157"
"3","0","8","1039","158"
"4","0","9","1039","159"
"5","0","10","1039","160"
"1","0","11","1040","162"
"2","0","12","1040","163"
"3","0","13","1040","164"
"4","0","14","1040","165"
"5","0","15","1040","166"
"1","0","16","1041","168"
"2","0","17","1041","169"
"3","0","18","1041","170"
"4","0","19","1041","171"
"5","0","20","1041","172"
"1","0","21","1042","174"
"2","0","22","1042","175"
"3","0","23","1042","176"
"4","0","24","1042","177"
"5","0","25","1042","178"
"1","0","26","1043","180"
"2","0","27","1043","181"
"3","0","28","1043","182"
"4","0","29","1043","183"
"5","0","30","1043","184"
"1","0","31","1044","186"
"2","0","32","1044","187"
"3","0","33","1044","188"
"4","0","34","1044","189"
"5","0","35","1044","190"
"1","0","36","1045","192"
"2","0","37","1045","193"
"3","0","38","1045","194"
"4","0","39","1045","195"
"5","0","40","1045","196"
"1","0","41","1046","198"
"2","0","42","1046","199"
"3","0","43","1046","200"
"4","0","44","1046","201"
"5","0","45","1046","202"
"1","0","46","1047","204"
"2","0","47","1047","205"
"3","0","48","1047","206"
"4","0","49","1047","207"
"5","0","50","1047","208"
"1","0","51","1048","210"
"2","0","52","1048","211"
"3","0","53","1048","212"
"4","0","54","1048","213"
"5","0","55","1048","214"
"1","0","56","1049","216"
"2","0","57","1049","217"
"3","0","58","1049","218"
"4","0","59","1049","219"
"5","0","60","1049","220"
"1","0","61","1050","222"
"2","0","62","1050","223"
"3","0","63","1050","224"
"4","0","64","1050","225"
"5","0","65","1050","226"
"1","0","66","1051","228"
"2","0","67","1051","229"
"3","0","68","1051","230"
"4","0","69","1051","231"
"5","0","70","1051","232"
"1","0","71","1052","234"
"2","0","72","1052","235"
"3","0","73","1052","236"
"4","0","74","1052","237"
"5","0","75","1052","238"
"1","0","76","1053","240"
"2","0","77","1053","241"
"3","0","78","1053","242"
"4","0","79","1053","243"
"5","0","80","1053","244"
"1","0","81","1054","246"
"2","0","82","1054","247"
"3","0","83","1054","248"
"4","0","84","1054","249"
"5","0","85","1054","250"
"1","0","86","1055","252"
"2","0","87","1055","253"
"3","0","88","1055","254"
"4","0","89","1055","255"
"5","0","90","1055","256"
"1","0","91","1056","258"
"2","0","92","1056","259"
"3","0","93","1056","260"
"4","0","94","1056","261"
"5","0","95","1056","262"
"1","0","96","1057","264"
"2","0","97","1057","265"
"3","0","98","1057","266"
"4","0","99","1057","267"
"5","0","100","1057","268"
"1","0","101","1058","270"
"2","0","102","1058","271"
"3","0","103","1058","272"
"4","0","104","1058","273"
"5","0","105","1058","274"
"1","0","106","1059","276"
"2","0","107","1059","277"
"3","0","108","1059","278"
"4","0","109","1059","279"
"5","0","110","1059","280"
"1","0","111","1060","282"
"2","0","112","1060","283"
"3","0","113","1060","284"
"4","0","114","1060","285"
"5","0","115","1060","286"
"1","0","116","1061","288"
"2","0","117","1061","289"
"3","0","118","1061","290"
"4","0","119","1061","291"
"5","0","120","1061","292"
"1","0","121","1063","294"
"2","0","122","1063","295"
"3","0","123","1063","296"
"4","0","124","1063","297"
"1","0","125","1064","299"
"2","0","126","1064","300"
"3","0","127","1064","301"
"4","0","128","1064","302"
"1","0","129","1065","304"
"2","0","130","1065","305"
"3","0","131","1065","306"
"4","0","132","1065","307"
"1","0","133","1066","308"
"2","0","134","1066","310"
"3","0","135","1066","311"
"4","0","136","1066","312"
"1","0","137","1067","313"
"2","0","138","1067","315"
"3","0","139","1067","316"
"4","0","140","1067","317"
"1","0","141","1068","318"
"2","0","142","1068","320"
"3","0","143","1068","321"
"4","0","144","1068","322"
"1","0","145","1069","323"
"2","0","146","1069","325"
"3","0","147","1069","326"
"4","0","148","1069","327"
"1","0","149","1070","328"
"2","0","150","1070","330"
"3","0","151","1070","331"
"4","0","152","1070","332"
"1","0","153","1071","333"
"2","0","154","1071","335"
"3","0","155","1071","336"
"4","0","156","1071","337"
"1","0","157","1072","338"
"2","0","158","1072","340"
"3","0","159","1072","341"
"4","0","160","1072","342"
"1","0","161","1073","343"
"2","0","162","1073","345"
"3","0","163","1073","346"
"4","0","164","1073","347"
"1","0","165","1074","348"
"2","0","166","1074","350"
"3","0","167","1074","351"
"4","0","168","1074","352"
"1","0","169","1075","353"
"2","0","170","1075","355"
"3","0","171","1075","356"
"4","0","172","1075","357"
"1","0","173","1076","358"
"2","0","174","1076","360"
"3","0","175","1076","361"
"4","0","176","1076","362"
"1","0","177","1077","363"
"2","0","178","1077","365"
"3","0","179","1077","366"
"4","0","180","1077","367"
"1","0","181","1078","368"
"2","0","182","1078","370"
"3","0","183","1078","371"
"4","0","184","1078","372"
"1","0","185","1079","373"
"2","0","186","1079","375"
"3","0","187","1079","376"
"4","0","188","1079","377"
"1","0","189","1080","378"
"2","0","190","1080","380"
"3","0","191","1080","381"
"4","0","192","1080","382"
"1","0","193","1081","383"
"2","0","194","1081","385"
"3","0","195","1081","386"
"4","0","196","1081","387"
"1","0","197","1082","388"
"2","0","198","1082","390"
"3","0","199","1082","391"
"4","0","200","1082","392"
"1","0","201","1083","393"
"2","0","202","1083","395"
"3","0","203","1083","396"
"4","0","204","1083","397"
"1","0","205","1084","398"
"2","0","206","1084","400"
"3","0","207","1084","401"
"4","0","208","1084","402"
"1","0","209","1085","403"
"2","0","210","1085","405"
"3","0","211","1085","406"
"4","0","212","1085","407"
"1","0","213","1086","408"
"2","0","214","1086","410"
"3","0","215","1086","411"
"4","0","216","1086","412"
"1","0","217","1087","413"
"2","0","218","1087","415"
"3","0","219","1087","416"
"4","0","220","1087","417"
"1","0","221","1088","418"
"2","0","222","1088","420"
"3","0","223","1088","421"
"4","0","224","1088","422"
"1","0","225","1089","423"
"2","0","226","1089","425"
"3","0","227","1089","426"
"4","0","228","1089","427"
"1","0","229","1090","428"
"2","0","230","1090","430"
"3","0","231","1090","431"
"4","0","232","1090","432"
"1","0","233","1091","433"
"2","0","234","1091","435"
"3","0","235","1091","436"
"4","0","236","1091","437"
"1","0","237","1092","438"
"2","0","238","1092","440"
"3","0","239","1092","441"
"4","0","240","1092","442"
"1","0","241","1093","443"
"2","0","242","1093","445"
"3","0","243","1093","446"
"4","0","244","1093","447"
"1","0","245","1094","448"
"2","0","246","1094","450"
"3","0","247","1094","451"
"4","0","248","1094","452"
"1","0","249","1095","453"
"2","0","250","1095","455"
"3","0","251","1095","456"
"4","0","252","1095","457"
"1","0","253","1096","458"
"2","0","254","1096","460"
"3","0","255","1096","461"
"4","0","256","1096","462"
"1","0","257","1097","463"
"2","0","258","1097","465"
"3","0","259","1097","466"
"4","0","260","1097","467"
"1","0","261","1098","468"
"2","0","262","1098","470"
"3","0","263","1098","471"
"4","0","264","1098","472"
"1","0","265","1099","473"
"2","0","266","1099","475"
"3","0","267","1099","476"
"4","0","268","1099","477"
"1","0","269","1100","478"
"2","0","270","1100","480"
"3","0","271","1100","481"
"4","0","272","1100","482"
"1","0","273","1101","483"
"2","0","274","1101","485"
"3","0","275","1101","486"
"4","0","276","1101","487"
"1","0","277","1102","488"
"2","0","278","1102","490"
"3","0","279","1102","491"
"4","0","280","1102","492"
