1536607a0d1fdf670fb8cf556ca9fab571e90905534df32d53105f1274e83038,5ab474723082a5313d6d4c2bddb57eea6468c5a344b8c040e64d148b6be9b699,320ef441864aa40cd0c3bdb6e59259ab3bdf0d3027d19eb5b94eabcd8588711c,ea302252ff6e6420438d7daafd19d27d94635836dd2a074287c3d74ae5c5bc8f,147a5ab1ffd562d9e5be7c26221b79894746db03583eb7211eed5915034c5ce0,946ac056dc01a37bee96c81c39524fdf651ebb3e78561b9f4c6af21c11981cd5,73a9168ac5d0a17a01524d166074dfbfd2f6eebb9b896427b3dfc246f5b62aae,9d13075fce20cfa951db4cda26ed6f9e7d2ad95190cfc3c38d7562c3966b8922,6da3e1d9005a8d47780a8901f6e847fa3cbb6d91e578a7425f99e1bef4cbbf21,1f366ac12f925cd6270f7598883ba8a6ff3724c9dbca7b920e9897d26c755da1,4f21d26611e4d1ce7dca82c1a39da08ed19858e394d966dc0909ea0d7bd09ae1
"se_travel","","0","","","111","101110001","23","","se_travel_start_1pt",""
"10010","1","0","","1","111","101110002","31","","10010","0"
"10011","1","0","","1","111","101110003","31","","10011","0"
"10020","0","0","","1","111","101110004","31","","10020","0"
"2","0.68","62","0","-150","111","101110005","1","<weapon>_idle","1001001","-150"
"2","0.68","61","0","-75","111","101110006","1","<weapon>_idle","1001002","-250"
"2","0.68","63","0","-180","111","101110007","1","<weapon>_idle","1001003","-350"
"2","0.68","61","0","-75","111","101110008","1","<weapon>_idle","1001004","-450"
"2","0.68","62","0","-150","111","101110009","1","<weapon>_idle","1001005","-550"
"10012","1","-150","0","0.68","111","101110010","31","","1001001","-150"
"10012","1","-250","0","0.68","111","101110011","31","","1001002","-75"
"10012","1","-350","0","0.68","111","101110012","31","","1001003","-180"
"10012","1","-450","0","0.68","111","101110013","31","","1001004","-75"
"10012","1","-550","0","0.68","111","101110014","31","","1001005","-150"
"10030","0","0","","1","111","101110015","31","","10030","0"
"10031","0","0","","1","111","101110016","31","","10031","0"
"","","","","","111","101110017","91","","0",""
"10030","","","","","111","101110018","32","","1",""
"0","","","","","111","101110019","91","","0",""
"1001001","0","1","","0","111","101110020","3","","<weapon>_run",""
"1001002","0","1","","0","111","101110021","3","","<weapon>_run",""
"1001003","0","1","","0","111","101110022","3","","<weapon>_run",""
"1001004","0","1","","0","111","101110023","3","","<weapon>_run",""
"1001005","0","1","","0","111","101110024","3","","<weapon>_run",""
"1001001","","-150","","0","111","101110025","2","","800","3"
"1001002","","-75","","0","111","101110026","2","","700","3"
"1001003","","-180","","0","111","101110027","2","","600","3"
"1001004","","-75","","0","111","101110028","2","","500","3"
"1001005","","-150","","0","111","101110029","2","","400","3"
"1001001","","-150","","0","111","101110030","33","","800","3"
"1001002","","-75","","0","111","101110031","33","","700","3"
"1001003","","-180","","0","111","101110032","33","","600","3"
"1001004","","-75","","0","111","101110033","33","","500","3"
"1001005","","-150","","0","111","101110034","33","","400","3"
"10020","","","","","111","101110035","32","","1",""
"2.5","","","","","111","101110036","93","","0",""
"10031","","","","","111","101110037","32","","1",""
"0.4","","","","","111","101110038","93","","0",""
"0","","","","","111","101110039","91","","0",""
"se_travel","","0","","","211","102110001","23","","se_travel_start_2pt",""
"10010","1","0","","1","211","102110002","31","","10010","0"
"10011","1","0","","1","211","102110003","31","","10011","0"
"10020","0","0","","1","211","102110004","31","","10020","0"
"2","0.68","62","0","-90","211","102110005","1","<weapon>_idle","1001001","-100"
"2","0.68","61","0","-15","211","102110006","1","<weapon>_idle","1001002","-170"
"2","0.68","63","0","-105","211","102110007","1","<weapon>_idle","1001003","-240"
"2","0.68","61","0","-15","211","102110008","1","<weapon>_idle","1001004","-310"
"2","0.68","62","0","-90","211","102110009","1","<weapon>_idle","1001005","-380"
"10012","1","-100","0","0.68","211","102110010","31","","1001001","-90"
"10012","1","-170","0","0.68","211","102110011","31","","1001002","-15"
"10012","1","-240","0","0.68","211","102110012","31","","1001003","-105"
"10012","1","-310","0","0.68","211","102110013","31","","1001004","-15"
"10012","1","-380","0","0.68","211","102110014","31","","1001005","-90"
"2","0.68","52","0","-240","211","102110015","1","<weapon>_idle","1002001","-500"
"2","0.68","51","0","-165","211","102110016","1","<weapon>_idle","1002002","-570"
"2","0.68","53","0","-255","211","102110017","1","<weapon>_idle","1002003","-640"
"2","0.68","51","0","-165","211","102110018","1","<weapon>_idle","1002004","-710"
"2","0.68","52","0","-240","211","102110019","1","<weapon>_idle","1002005","-780"
"10012","1","-500","0","0.68","211","102110020","31","","1002001","-240"
"10012","1","-570","0","0.68","211","102110021","31","","1002002","-165"
"10012","1","-640","0","0.68","211","102110022","31","","1002003","-255"
"10012","1","-710","0","0.68","211","102110023","31","","1002004","-165"
"10012","1","-780","0","0.68","211","102110024","31","","1002005","-240"
"10030","0","0","","1","211","102110025","31","","10030","0"
"10031","0","0","","1","211","102110026","31","","10031","0"
"","","","","","211","102110027","91","","0",""
"10030","","","","","211","102110028","32","","1",""
"0","","","","","211","102110029","91","","0",""
"1001001","0","1","","0","211","102110030","3","","<weapon>_run",""
"1001002","0","1","","0","211","102110031","3","","<weapon>_run",""
"1001003","0","1","","0","211","102110032","3","","<weapon>_run",""
"1001004","0","1","","0","211","102110033","3","","<weapon>_run",""
"1001005","0","1","","0","211","102110034","3","","<weapon>_run",""
"1001001","","-90","","0","211","102110035","2","","850","3"
"1001002","","-15","","0","211","102110036","2","","780","3"
"1001003","","-105","","0","211","102110037","2","","710","3"
"1001004","","-15","","0","211","102110038","2","","640","3"
"1001005","","-90","","0","211","102110039","2","","570","3"
"1001001","","-90","","0","211","102110040","33","","850","3"
"1001002","","-15","","0","211","102110041","33","","780","3"
"1001003","","-105","","0","211","102110042","33","","710","3"
"1001004","","-15","","0","211","102110043","33","","640","3"
"1001005","","-90","","0","211","102110044","33","","570","3"
"1002001","0","1","","0","211","102110045","3","","<weapon>_run",""
"1002002","0","1","","0","211","102110046","3","","<weapon>_run",""
"1002003","0","1","","0","211","102110047","3","","<weapon>_run",""
"1002004","0","1","","0","211","102110048","3","","<weapon>_run",""
"1002005","0","1","","0","211","102110049","3","","<weapon>_run",""
"1002001","","-240","","0","211","102110050","2","","450","3"
"1002002","","-165","","0","211","102110051","2","","380","3"
"1002003","","-255","","0","211","102110052","2","","310","3"
"1002004","","-165","","0","211","102110053","2","","240","3"
"1002005","","-240","","0","211","102110054","2","","170","3"
"1002001","","-240","","0","211","102110055","33","","450","3"
"1002002","","-165","","0","211","102110056","33","","380","3"
"1002003","","-255","","0","211","102110057","33","","310","3"
"1002004","","-165","","0","211","102110058","33","","240","3"
"1002005","","-240","","0","211","102110059","33","","170","3"
"10020","","","","","211","102110060","32","","1",""
"2.5","","","","","211","102110061","93","","0",""
"10031","","","","","211","102110062","32","","1",""
"0.4","","","","","211","102110063","93","","0",""
"0","","","","","211","102110064","91","","0",""
"se_travel","","0","","","311","103110001","23","","se_travel_start_3pt",""
"10010","1","0","","1","311","103110002","31","","10010","0"
"10011","1","0","","1","311","103110003","31","","10011","0"
"10020","0","0","","1","311","103110004","31","","10020","0"
"2","0.68","62","0","-240","311","103110005","1","<weapon>_idle","1001001","0"
"2","0.68","61","0","-165","311","103110006","1","<weapon>_idle","1001002","-70"
"2","0.68","63","0","-255","311","103110007","1","<weapon>_idle","1001003","-140"
"2","0.68","61","0","-165","311","103110008","1","<weapon>_idle","1001004","-210"
"2","0.68","62","0","-240","311","103110009","1","<weapon>_idle","1001005","-280"
"10012","1","0","0","0.68","311","103110010","31","","1001001","-240"
"10012","1","-70","0","0.68","311","103110011","31","","1001002","-165"
"10012","1","-140","0","0.68","311","103110012","31","","1001003","-255"
"10012","1","-210","0","0.68","311","103110013","31","","1001004","-165"
"10012","1","-280","0","0.68","311","103110014","31","","1001005","-240"
"2","0.68","52","0","-60","311","103110015","1","<weapon>_idle","1002001","-250"
"2","0.68","51","0","15","311","103110016","1","<weapon>_idle","1002002","-320"
"2","0.68","53","0","-75","311","103110017","1","<weapon>_idle","1002003","-390"
"2","0.68","51","0","15","311","103110018","1","<weapon>_idle","1002004","-460"
"2","0.68","52","0","-60","311","103110019","1","<weapon>_idle","1002005","-530"
"10012","1","-250","0","0.68","311","103110020","31","","1002001","-60"
"10012","1","-320","0","0.68","311","103110021","31","","1002002","15"
"10012","1","-390","0","0.68","311","103110022","31","","1002003","-75"
"10012","1","-460","0","0.68","311","103110023","31","","1002004","15"
"10012","1","-530","0","0.68","311","103110024","31","","1002005","-60"
"2","0.68","62","0","-250","311","103110025","1","<weapon>_idle","1003001","-500"
"2","0.68","61","0","-175","311","103110026","1","<weapon>_idle","1003002","-570"
"2","0.68","63","0","-265","311","103110027","1","<weapon>_idle","1003003","-640"
"2","0.68","61","0","-175","311","103110028","1","<weapon>_idle","1003004","-710"
"2","0.68","62","0","-250","311","103110029","1","<weapon>_idle","1003005","-780"
"10012","1","-500","0","0.68","311","103110030","31","","1003001","-250"
"10012","1","-570","0","0.68","311","103110031","31","","1003002","-175"
"10012","1","-640","0","0.68","311","103110032","31","","1003003","-265"
"10012","1","-710","0","0.68","311","103110033","31","","1003004","-175"
"10012","1","-780","0","0.68","311","103110034","31","","1003005","-250"
"10030","0","0","","1","311","103110035","31","","10030","0"
"10031","0","0","","1","311","103110036","31","","10031","0"
"","","","","","311","103110037","91","","0",""
"10030","","","","","311","103110038","32","","1",""
