840612b83cfb7b35f1d4ad32b69e19de90ad3388dfeaa413cdbb5698081e3733,d32012423b83826bb6f36ea4c6f435200b3353ab60dc759840335cd49e40a618,4b72be73da18fdd97723e493653b08b15655d6e644f8bc5d67d21a2bf4448854,3fb00c773e24a7c3240501bccce7e0f607124291cfa3d494a40e3e066cba15fc,0d73098b7f1deb8d060a4948ce0003e7c27f4a89e31f22344b4a62a6c89fad4b,1f8b3f2cd07403008b61128fad407048af41f8999ced95d88d1bc889bc3a4b97,a82c984c852723da5eb26fe1894f305a8501c79610ca980429aca49fd3d45aba,2ccc3392ab9717cc35ae3a74fdbd7ab530cd90363a125857d33531494b2dbf6b,205fdb8cf940c1d0cf98d5121bc501674b66a54d96df1ec39f59aa0e70faf16c
"","1","","1","23001","2","1","21600","2"
"","1","","1","23001","3","2","19800","2"
"","1","","1","23001","3","3","18000","2"
"","1","","1","23001","3","4","16200","2"
"","1","","1","23001","4","5","14400","2"
"","1","","1","23001","4","6","12960","2"
"","1","","1","23001","5","7","11520","2"
"","1","","1","23001","6","8","10080","2"
"","1","","1","23001","7","9","8640","2"
"","1","","1","23001","8","10","7200","2"
"","1","","1","23001","10","11","5760","2"
"","1","","1","23001","12","12","5040","2"
"","1","","1","23001","14","13","4320","2"
"","2","","1","23001","16","14","7200","2"
"","2","","1","23001","18","15","5400","2"
"","2","","1","23001","18","16","5040","2"
"","2","","1","23001","18","17","4800","2"
"","2","","1","23001","20","18","4500","2"
"","2","","1","23001","20","19","4320","2"
"","3","","1","23001","24","20","6000","2"
"","3","","1","23001","48","21","5700","2"
"","3","","1","23001","48","22","5400","2"
"","3","","1","23001","51","23","5220","2"
"","3","","1","23001","54","24","4980","2"
"","3","","1","23001","54","25","4800","2"
"","3","","1","23001","60","26","4500","2"
"","3","","1","23001","60","27","4320","2"
"","3","","1","23001","63","28","4200","2"
"","4","","1","23001","64","29","5400","2"
"","4","","1","23001","68","30","5220","2"
"","4","","1","23001","72","31","5040","2"
"","4","","1","23001","72","32","4920","2"
"","4","","1","23001","72","33","4800","2"
"","4","","1","23001","76","34","4680","2"
"","4","","1","23001","80","35","4500","2"
"","20","","2","93001","80","1","21600","6"
"","24","","2","93001","96","2","21600","6"
"","28","","2","93001","112","3","21600","6"
"","30","","2","93001","120","4","21600","6"
"","32","","2","93001","128","5","21600","6"
"","34","","2","93001","136","6","21600","6"
"","36","","2","93001","144","7","21600","6"
"","38","","2","93001","152","8","21600","6"
"","40","","2","93001","160","9","21600","6"
"","42","","2","93001","168","10","21600","6"
"","44","","2","93001","176","11","21600","6"
"","46","","2","93001","184","12","21600","6"
"","48","","2","93001","192","13","21600","6"
"","50","","2","93001","200","14","21600","6"
"","52","","2","93001","208","15","21600","6"
"","54","","2","93001","216","16","21600","6"
"","56","","2","93001","224","17","21600","6"
"","58","","2","93001","232","18","21600","6"
"","60","","2","93001","240","19","21600","6"
"","62","","2","93001","248","20","21600","6"
"","64","","2","93001","256","21","21600","6"
"","66","","2","93001","264","22","21600","6"
"","68","","2","93001","272","23","21600","6"
"","70","","2","93001","280","24","21600","6"
"","72","","2","93001","288","25","21600","6"
"","74","","2","93001","296","26","21600","6"
"","76","","2","93001","304","27","21600","6"
"","78","","2","93001","312","28","21600","6"
"","80","","2","93001","320","29","21600","6"
"","82","","2","93001","328","30","21600","6"
"","84","","2","93001","336","31","21600","6"
"","85","","2","93001","340","32","21600","6"
"","86","","2","93001","344","33","21600","6"
"","87","","2","93001","348","34","21600","6"
"","88","","2","93001","352","35","21600","6"
"","1","","3","20001","3","1","14400","2"
"","1","","3","20001","5","2","9600","2"
"","1","","3","20001","7","3","7200","2"
"","1","","3","20001","10","4","5400","2"
"","1","","3","20001","15","5","3600","2"
"","1","","3","20002","6","6","9600","2"
"","1","","3","20002","8","7","7200","2"
"","1","","3","20002","12","8","4800","2"
"","1","","3","20002","16","9","3600","2"
"","1","","3","20002","20","10","2700","2"
"","1","","3","20003","6","11","10800","2"
"","1","","3","20003","8","12","9000","2"
"","1","","3","20003","12","13","7200","2"
"","1","","3","20003","16","14","5400","2"
"","1","","3","20003","20","15","3600","2"
"","1","","3","20003","30","16","2880","2"
"","1","","3","20004","7","17","12600","2"
"","1","","3","20004","8","18","11400","2"
"","1","","3","20004","9","19","10200","2"
"","1","","3","20004","10","20","9300","2"
"","1","","3","20004","10","21","8700","2"
"","1","","3","20004","13","22","6600","2"
"","1","","3","20004","14","23","6300","2"
"","1","","3","20004","15","24","6000","2"
"","1","","3","20004","15","25","5700","2"
"","1","","3","20004","16","26","5400","2"
"","1","","3","20004","17","27","5100","2"
"","1","","3","20004","18","28","4860","2"
"","1","","3","20004","19","29","4620","2"
"","1","","3","20004","20","30","4440","2"
"","1","","3","20004","21","31","4260","2"
"","1","","3","20004","22","32","4080","2"
"","1","","3","20004","22","33","3960","2"
"","1","","3","20004","23","34","3840","2"
"","1","","3","20004","24","35","3720","2"
"","3000","","4","94002","12000","1","21600","12"
"","4500","","4","94002","18000","2","21600","12"
"","6000","","4","94002","24000","3","21600","12"
"","7500","","4","94002","30000","4","21600","12"
"","10500","","4","94002","42000","5","21600","12"
"","13500","","4","94002","54000","6","21600","12"
"","16500","","4","94002","66000","7","21600","12"
"","21000","","4","94002","84000","8","21600","12"
"","25500","","4","94002","102000","9","21600","12"
"","30000","","4","94002","120000","10","21600","12"
"","36000","","4","94002","144000","11","21600","12"
"","42000","","4","94002","168000","12","21600","12"
"","48000","","4","94002","192000","13","21600","12"
"","55500","","4","94002","222000","14","21600","12"
"","63000","","4","94002","252000","15","21600","12"
"","70500","","4","94002","282000","16","21600","12"
"","79500","","4","94002","318000","17","21600","12"
"","88500","","4","94002","354000","18","21600","12"
"","97500","","4","94002","390000","19","21600","12"
"","108000","","4","94002","432000","20","21600","12"
"","118500","","4","94002","474000","21","21600","12"
"","129000","","4","94002","516000","22","21600","12"
"","140500","","4","94002","562000","23","21600","12"
"","150000","","4","94002","600000","24","21600","12"
"","160500","","4","94002","642000","25","21600","12"
"","171000","","4","94002","684000","26","21600","12"
"","181500","","4","94002","726000","27","21600","12"
"","192000","","4","94002","768000","28","21600","12"
"","202500","","4","94002","810000","29","21600","12"
"","213000","","4","94002","852000","30","21600","12"
"","223500","","4","94002","894000","31","21600","12"
"","230000","","4","94002","920000","32","21600","12"
"","235000","","4","94002","940000","33","21600","12"
"","240000","","4","94002","960000","34","21600","12"
"","245000","","4","94002","980000","35","21600","12"
"","12","","5","93001","48","1","21600","6"
"","12","","6","93001","48","1","21600","6"
"","12","","7","93001","48","1","21600","6"
"","12","","8","93001","48","1","21600","6"
"","12","","11","93001","48","1","21600","6"
"","12","","12","93001","48","1","21600","6"
"","12","","19","93001","48","1","21600","6"
"14999999999","1","4999999999","23","0","0","0","0","0"
"","12","","25","93001","48","1","21600","6"
"","12","","28","93001","48","1","21600","6"
"","12","","30","93001","48","1","21600","6"
