e9603e77118c0b79a7012967d62041c33bb1b4318bc0671e3b88d0e0119433c7,06e9044d5be377ff207bdfca0059fcaaacd4489796c83983bb5129d0c5056cf5,e80ce51198f316aa99e9da9c46f7a45ad6048f60c13f9226e8789920ba060f13,d8574f4cdfe675d255c8100f00ac2900d947b5ea21388619820c6f63d63d00af,1fabefb449fbf79542ab0e572e5eb038df1c195e9e0afa9c3fe85e92f70d3baf,ab4f78174691e6bba96ea6303c21b2e8c717108516a4777a6a05a87c1093098a,181b6d97891e79930ac9ddc35958db5332735a5bdd54bed1ae33aeb038e0a8dd,f3718d151c329f93bca87d800a62bc1b58cf1c600f87985e472ae25a6a79df22,2b8abbc4e97b04a962529784b3bc87baf08a5e9bbf6a298d499eaad7de371f40,553fbdf524e62a3e7b6d696627c1a68f9b2fbc696f6886b5ac1a77a1ffbf0e01,382957d59b2ea874d982b33793c2cca78d009c9bd684051e0ba6b1fe72c27e4b
"0","5","1","0","10101","empty","1","1","1101010001","0","53"
"0","5","101000","0","10101","empty","1","2","1101010002","0","56"
"0","5","101000","0","10101","empty","1","3","1101010003","0","70"
"1","31","101000","0","10101","","0","0","1101010004","","0"
"1","31","101001","0","10101","","0","1","1101010005","","0"
"1","31","101002","0","10101","","0","2","1101010006","","0"
"1","31","101003","0","10101","","0","3","1101010007","","0"
"1","31","101004","0","10101","","0","4","1101010008","","0"
"1","31","1","0","10101","","0","10","1101010009","","0"
"1","31","3","0","10101","","0","30","1101010010","","0"
"","91","0","","10101","","","0","1101010011","",""
"","32","0","","10101","","","1","1101010012","",""
"","32","10","","10101","","","1","1101010013","",""
"","3","2","","10101","","0","getDish_1_in","1101010014","","0"
"","93","0.2","","10101","","","0","1101010015","",""
"","3","1","","10101","","0","getDish","1101010016","","0"
"","3","2","","10101","","0","getDish_1_B","1101010017","","0"
"","3","3","","10101","","0","getDish_1_F","1101010018","","0"
"","32","1","","10101","","","1","1101010019","",""
"","32","3","","10101","","","1","1101010020","",""
"","93","7.2","","10101","","","0","1101010021","",""
"","101","1101010023","","10101","","","1","1101010022","",""
"","35","2","","10101","","","1","1101010023","",""
"","32","2","","10101","","","1","1101010024","",""
"","35","4","","10101","","","1","1101010025","",""
"","32","4","","10101","","","1","1101010026","",""
"","32","3","","10101","","","0","1101010027","",""
"","93","2.3","","10101","","","0","1101010028","",""
"","35","30","","10101","","","1","1101010029","",""
"","32","30","","10101","","","1","1101010030","",""
"","93","0.2","","10101","","","0","1101010031","",""
"0","6","1","1","10101","","0","1","1101010032","0","1"
"0","6","2","1","10101","","0","1","1101010033","0","1"
"0","6","3","1","10101","","0","1","1101010034","0","1"
"","32","0","","10101","","","0","1101010035","",""
"","32","1","","10101","","","0","1101010036","",""
"","32","2","","10101","","","0","1101010037","",""
"","32","3","","10101","","","0","1101010038","",""
"","32","4","","10101","","","0","1101010039","",""
"","32","10","","10101","","","0","1101010040","",""
"","93","0.3","","10101","","","0","1101010041","",""
"0","111","1","1","10101","","0.1","1","1101010042","0","1"
"-325","5","2","-205","10201","empty","0.9","1","1102010001","0","50"
"-325","5","102000","-205","10201","empty","0.9","2","1102010002","0","58"
"-263","5","100","1500","10201","idle_single","0.6","100","1102010003","0","54"
"1","31","102000","0","10201","","0","0","1102010004","","0"
"1","31","102001","-263","10201","","0","1","1102010005","","1500"
"1","31","102002","0","10201","","0","2","1102010006","","0"
"1","31","102003","-136","10201","","0","3","1102010007","","-132"
"1","31","102004","0","10201","","0","4","1102010008","","0"
"1","31","1","0","10201","","0","10","1102010009","","0"
"1","31","2","0","10201","","0","20","1102010010","","0"
"1","31","3","0","10201","","0","30","1102010011","","0"
"","91","0","","10201","","","0","1102010012","",""
"","32","0","","10201","","","1","1102010013","",""
"","32","10","","10201","","","1","1102010014","",""
"","23","se_caravan","","10201","","","se_caravan_dice_get_intro","1102010015","","0"
"","3","1","","10201","","0","getDice_idle","1102010016","","1"
"1","3","100","eat_loop","10201","","0","run_getDice","1102010017","0","0"
"","32","1","","10201","","","1","1102010018","",""
"11","2","100","2","10201","","","344","1102010019","","-263"
"11","33","1","2","10201","","","344","1102010020","","-263"
"","32","2","","10201","","","1","1102010021","",""
"","93","1.7","","10201","","","0","1102010022","",""
"","3","1","","10201","","0.2","getDice_curious","1102010023","0","1"
