8c0806c40e66c57a6c6066878836208fbb71141f59b417e80ed5920b9fcaa983,1457f3d5ca9c27da0fa25de3bcb1b52864c456819d088663f80d3bf6b16bf9ae,7b653afcbe7fbe17f8963f2585faa3a045c2d643ab9cdd84305aecb3be5c4162,574a870e535e7bf4a85f199aa90effb177f3290d04d4acfc749bf9f4c8faa775,03ee50dea7ec0a1c2a125a05d879096691b25dc04bf8b958782b17190eae49a4,ba8f57ae31ec70ab878bd71a83c233b124af8001d1244142ca5dfb07c697be55
"550101101","550101104","550101105","550101102","550101103","74001101"
"550101201","550101204","550101205","550101202","550101203","74001102"
"550101301","550101304","550101305","550101302","550101303","74001103"
"550101401","550101404","550101405","550101402","550101403","74001104"
"550101501","550101504","550101505","550101502","550101503","74001105"
"550101106","550101109","550101110","550101107","550101108","74001201"
"550101206","550101209","550101210","550101207","550101208","74001202"
"550101306","550101309","550101310","550101307","550101308","74001203"
"550101406","550101409","550101410","550101407","550101408","74001204"
"550101506","550101509","550101510","550101507","550101508","74001205"
"550101112","0","0","550101113","550101111","74001301"
"550101212","0","0","550101213","550101211","74001302"
"550101312","0","0","550101313","550101311","74001303"
"550101412","0","0","550101413","550101411","74001304"
"550101512","0","0","550101513","550101511","74001305"
"550101115","0","0","550101114","550101116","74001401"
"550101215","0","0","550101214","550101216","74001402"
"550101315","0","0","550101314","550101316","74001403"
"550101415","0","0","550101414","550101416","74001404"
"550101515","0","0","550101514","550101516","74001405"
"550101117","0","0","0","0","74001501"
"550101217","0","0","0","0","74001502"
"550101317","0","0","0","0","74001503"
"550101417","0","0","0","0","74001504"
"550101517","0","0","0","0","74001505"
"550101999","0","0","0","0","74001999"
"550102101","550102104","550102105","550102102","550102103","74002101"
"550102201","550102204","550102205","550102202","550102203","74002102"
"550102301","550102304","550102305","550102302","550102303","74002103"
"550102401","550102404","550102405","550102402","550102403","74002104"
"550102501","550102504","550102505","550102502","550102503","74002105"
"550102106","550102109","550102110","550102107","550102108","74002201"
"550102206","550102209","550102210","550102207","550102208","74002202"
"550102306","550102309","550102310","550102307","550102308","74002203"
"550102406","550102409","550102410","550102407","550102408","74002204"
"550102506","550102509","550102510","550102507","550102508","74002205"
"550102112","0","0","550102113","550102111","74002301"
"550102212","0","0","550102213","550102211","74002302"
"550102312","0","0","550102313","550102311","74002303"
"550102412","0","0","550102413","550102411","74002304"
"550102512","0","0","550102513","550102511","74002305"
"550102115","0","0","550102114","550102116","74002401"
"550102215","0","0","550102214","550102216","74002402"
"550102315","0","0","550102314","550102316","74002403"
"550102415","0","0","550102414","550102416","74002404"
"550102515","0","0","550102514","550102516","74002405"
"550102117","0","0","0","0","74002501"
"550102217","0","0","0","0","74002502"
"550102317","0","0","0","0","74002503"
"550102417","0","0","0","0","74002504"
"550102517","0","0","0","0","74002505"
"550103101","550103102","0","550103103","550103104","74003101"
"550103201","550103202","0","550103203","550103204","74003102"
"550103301","550103302","550103305","550103303","550103304","74003103"
"550103401","550103402","550103405","550103403","550103404","74003104"
"550103501","550103502","550103505","550103503","550103504","74003105"
"550103105","550103108","0","550103106","550103107","74003201"
"550103205","550103208","550103209","550103206","550103207","74003202"
"550103306","550103309","550103310","550103307","550103308","74003203"
"550103406","550103409","550103410","550103407","550103408","74003204"
"550103506","550103509","550103510","550103507","550103508","74003205"
"550103109","550103112","0","550103110","550103111","74003301"
"550103210","550103213","550103214","550103211","550103212","74003302"
"550103311","550103314","550103315","550103312","550103313","74003303"
"550103411","550103414","550103415","550103412","550103413","74003304"
"550103511","550103514","550103515","550103512","550103513","74003305"
"550103113","0","0","0","0","74003401"
"550103215","0","0","0","0","74003402"
"550103316","0","0","0","0","74003403"
"550103416","0","0","0","0","74003404"
"550103516","0","0","0","0","74003405"
"550103114","0","0","0","0","74003501"
"550103216","0","0","0","0","74003502"
"550103317","0","0","0","0","74003503"
"550103417","0","0","550103421","0","74003504"
"550103522","0","0","550103517","550103521","74003505"
"550104101","550104104","0","550104102","550104103","74004101"
"550104201","550104204","0","550104202","550104203","74004102"
"550104301","550104304","550104305","550104302","550104303","74004103"
"550104401","550104404","550104405","550104402","550104403","74004104"
"550104501","550104504","550104505","550104502","550104503","74004105"
"550104105","550104108","0","550104106","550104107","74004201"
"550104205","550104208","550104209","550104206","550104207","74004202"
"550104306","550104309","550104310","550104307","550104308","74004203"
"550104406","550104409","550104410","550104407","550104408","74004204"
"550104506","550104509","550104510","550104507","550104508","74004205"
"550104109","550104111","0","550104110","550104112","74004301"
"550104210","550104212","550104214","550104211","550104213","74004302"
"550104311","550104313","550104315","550104312","550104314","74004303"
"550104411","550104413","550104415","550104412","550104414","74004304"
"550104511","550104513","550104515","550104512","550104514","74004305"
"550104113","0","0","0","0","74004401"
"550104215","0","0","0","0","74004402"
"550104316","0","0","0","0","74004403"
"550104416","0","0","0","0","74004404"
"550104516","0","0","0","0","74004405"
"550104117","0","0","0","0","74004501"
"550104219","0","0","0","0","74004502"
"550104320","0","0","0","0","74004503"
"550104420","0","0","550104421","0","74004504"
"550104522","0","0","550104520","550104521","74004505"
"550105101","550105104","550105105","550105102","550105103","74005101"
"550105201","550105204","550105205","550105202","550105203","74005102"
"550105301","550105304","550105305","550105302","550105303","74005103"
"550105401","550105404","550105405","550105402","550105403","74005104"
"550105501","550105504","550105505","550105502","550105503","74005105"
"550105106","550105109","550105110","550105107","550105108","74005201"
"550105206","550105209","550105210","550105207","550105208","74005202"
"550105307","550105310","550105311","550105308","550105309","74005203"
"550105407","550105410","550105411","550105408","550105409","74005204"
"550105507","550105510","550105511","550105508","550105509","74005205"
"550105111","0","0","0","0","74005301"
"550105211","0","0","550105212","550105213","74005302"
"550105313","0","0","550105314","550105315","74005303"
"550105413","550105415","0","550105414","550105416","74005304"
"550105513","550105515","0","550105514","550105516","74005305"
"550105116","0","0","0","0","74005401"
"550105218","0","0","550105219","550105220","74005402"
"550105320","0","0","550105321","550105322","74005403"
"550105421","550105423","0","550105422","550105424","74005404"
"550105521","550105523","0","550105522","550105524","74005405"
"550105118","0","0","0","0","74005501"
"550105222","0","0","550105223","550105224","74005502"
"550105324","0","0","550105325","550105326","74005503"
"550105426","550105428","0","550105427","550105429","74005504"
"550105526","550105528","0","550105527","550105529","74005505"
"550106101","550106104","550106105","550106102","550106103","74006101"
"550106201","550106204","550106205","550106202","550106203","74006102"
"550106301","550106304","550106305","550106302","550106303","74006103"
"550106401","550106404","550106405","550106402","550106403","74006104"
"550106501","550106504","550106505","550106502","550106503","74006105"
"550106106","550106109","550106110","550106107","550106108","74006201"
"550106206","550106209","550106210","550106207","550106208","74006202"
"550106306","550106309","550106310","550106307","550106308","74006203"
"550106407","550106410","550106411","550106408","550106409","74006204"
"550106507","550106510","550106511","550106508","550106509","74006205"
"550106112","550106115","550106111","550106113","550106114","74006301"
"550106212","550106215","550106211","550106213","550106214","74006302"
"550106312","550106315","550106311","550106313","550106314","74006303"
"550106413","0","0","0","0","74006304"
"550106513","0","0","0","0","74006305"
"550106116","0","0","0","0","74006401"
"550106217","0","0","0","0","74006402"
"550106317","0","0","0","0","74006403"
"550106416","550106419","550106415","550106417","550106418","74006404"
"550106515","0","0","0","0","74006405"
"550106118","0","0","0","0","74006501"
"550106220","0","0","0","0","74006502"
"550106320","0","0","0","0","74006503"
"550106422","0","0","0","0","74006504"
"550106518","0","0","0","0","74006505"
"550107111","550107114","550107115","550107112","550107113","74007101"
"550107211","550107214","550107215","550107212","550107213","74007102"
"550107311","550107314","550107315","550107312","550107313","74007103"
"550107411","550107414","550107415","550107412","550107413","74007104"
"550107511","550107514","550107515","550107512","550107513","74007105"
"550107121","550107124","550107125","550107122","550107123","74007201"
"550107221","550107224","550107225","550107222","550107223","74007202"
"550107321","550107324","550107325","550107322","550107323","74007203"
"550107421","550107424","550107425","550107422","550107423","74007204"
"550107521","550107524","550107525","550107522","550107523","74007205"
"550107131","550107134","550107135","550107132","550107133","74007301"
"550107231","550107234","550107235","550107232","550107233","74007302"
"550107331","550107334","550107335","550107332","550107333","74007303"
"550107431","550107434","550107435","550107432","550107433","74007304"
"550107531","550107534","550107535","550107532","550107533","74007305"
"550107141","0","0","0","0","74007401"
"550107241","0","0","0","0","74007402"
"550107341","0","0","0","0","74007403"
"550107441","0","0","0","0","74007404"
"550107541","0","0","0","0","74007405"
"550107151","0","0","0","0","74007501"
"550107251","0","0","0","0","74007502"
"550107351","0","0","0","0","74007503"
"550107451","0","0","550107452","0","74007504"
"550107553","0","0","550107551","550107552","74007505"
