0a97798ed9ca0e9706a5fd3ff475afcda0bc12a3a61e7b9c1c1d3f781bc4b512,a906406d695f996940382b8b4bf065d444f3baffc3fae29bf5770d95ddacaacc,12cda3b652e98faba888d662c70efb9692fedff213eff69cd99d8a5667e9ad1f,d68430f31e530b4c6783de6ca5e97e581ae258d4db1cf990d60ed3593d032c58,84d4d8113d5ad934ffde555d8057f05a08259c7e62415f49e2896a15928a05aa,258ac719b67443b7a163055ba546a297ba4b8527d864644ad3d2e37f065caa13,d5a53a969e928e38c83ae9086e54a11e05b68a1295aa7ddb9b98c8ecf1c3f235,3de4ef021495f141882ed5d9ae69441e74471c888ffb50606cb5c1d2b7ea25c8,587e3b2acc97ac83fd2a0f42e937919e133134fc6d92d2c9a1dd226b799aaf85,bdd5280b2fda127f0a98cdfb8a3ed0be7e4b1ac9230efb6ed68d24c87001cf43,f5e27528355b9e90e868de7f6f386a5d91eb49c25c82f42f635356c472a6466f
"-220","1","119931","1","1","1.7","psy_miyako_idle","0","-200","100","1001"
"-220","1","1","1","5","1.7","psy_idle_normal","1","1000","100","1002"
"-220","1","2","1","5","1.7","psy_fairy_idle","0","-50","105","1003"
"1","1","11","1","31","1","","","0","0","1004"
"","1","psy_item00_run","1","3","0.2","","","","1","1005"
"0","1","285","1","2","","","","2.5","-220","1006"
"","1","","2.5","93","","","","","","1007"
"","1","psy_item00_idle","1","3","0.2","","","","1","1008"
"","1","","0.5","93","","","","","","1009"
"","1","psy_miyako_talk1","119931","3","0.2","","","","1","1010"
"","1","vo_minigame_1008_drama_0101","vo_minigame_1008","21","","","","0","0","1011"
"0","1","おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","119931","11","0","0.5","0","1","6","1012"
"","1","1","6","93","","","","","","1013"
"1","1","psy_miyako_doya_in","119931","3","0.2","","0.2","psy_miyako_doya_loop","0","1014"
"","1","","1012","91","","","","","","1015"
"","1","0","0","22","","","","","","1016"
"","1","psy_fairy_talk","2","3","0.2","","","","1","1017"
"","1","vo_minigame_1008_drama_9901","vo_minigame_1008","21","","","","0","0","1018"
"0","1","キュイキュイ！","2","11","0","0.5","0","1","6","1019"
