c581b64cdd14366e3c48591ee97abc3cd7adbdf93d7869ae2604a38e2ebf10c0,8e37a9b960e87489fd9ee731a7a0e36a28e4e45c5de6c041cecc39f815fd1b8c,b4a6ade1c991930da916fb770d18d33e1fa91334720ba673e971429930e9ae20,06cba510e084b1e20faf34ef0f0f8a110b4470b8208268f4ee29aef1e74efe92,ba41c975cecf2b565f5affcf8e87dc101d94ffacb594fc3dd957002377e0bd62,651f0183292a788f8d78262059516dce555a504559ec40d9a96f2ca17c520daf,7eea4eb41d19fe8eeb9aedabf545d8e17aba20847f194b7817efcf606c93aa31,1e1fc839841410e0838376e2acf30198c0b2bd464e50d0aba4e76686090b8f02,d963747575c80d7fa82ecfc2022c21b30cd25b5f599a1bf7da0ceb49b6593d51
"6","8","53003","5","1","22","-1","7","10001"
"6","4","53002","5","1","22","-1","7","10002"
"5","6","53003","4","1","22","5","6","10101"
"5","5","53002","4","1","22","5","6","10102"
"4","5","53003","3","1","22","4","5","10201"
"4","5","53002","3","1","22","4","5","10202"
"3","4","53003","3","1","22","3","4","10301"
"3","3","53002","3","1","22","3","4","10302"
"2","3","53003","2","1","22","2","3","10401"
"2","2","53002","2","1","22","2","3","10402"
"1","2","53003","1","1","22","1","2","10501"
"1","1","53002","1","1","22","1","2","10502"
"0","2","53002","1","1","22","0","1","10601"
"6","8","53003","5","2","22","-1","7","10701"
"6","4","53002","5","2","22","-1","7","10702"
"5","6","53003","4","2","22","5","6","10801"
"5","5","53002","4","2","22","5","6","10802"
"4","5","53003","3","2","22","4","5","10901"
"4","5","53002","3","2","22","4","5","10902"
"3","4","53003","3","2","22","3","4","11001"
"3","3","53002","3","2","22","3","4","11002"
"2","3","53003","2","2","22","2","3","11101"
"2","2","53002","2","2","22","2","3","11102"
"1","2","53003","1","2","22","1","2","11201"
"1","1","53002","1","2","22","1","2","11202"
"0","2","53002","1","2","22","0","1","11301"
"6","8","53003","5","3","22","-1","7","11401"
"6","4","53002","5","3","22","-1","7","11402"
"5","6","53003","4","3","22","5","6","11501"
"5","5","53002","4","3","22","5","6","11502"
"4","5","53003","3","3","22","4","5","11601"
"4","5","53002","3","3","22","4","5","11602"
"3","4","53003","3","3","22","3","4","11701"
"3","3","53002","3","3","22","3","4","11702"
"2","3","53003","2","3","22","2","3","11801"
"2","2","53002","2","3","22","2","3","11802"
"1","2","53003","1","3","22","1","2","11901"
"1","1","53002","1","3","22","1","2","11902"
"0","2","53002","1","3","22","0","1","12001"
"6","8","53003","5","4","22","-1","7","12101"
"6","4","53002","5","4","22","-1","7","12102"
"5","6","53003","4","4","22","5","6","12201"
"5","5","53002","4","4","22","5","6","12202"
"4","5","53003","3","4","22","4","5","12301"
"4","5","53002","3","4","22","4","5","12302"
"3","4","53003","3","4","22","3","4","12401"
"3","3","53002","3","4","22","3","4","12402"
"2","3","53003","2","4","22","2","3","12501"
"2","2","53002","2","4","22","2","3","12502"
"1","2","53003","1","4","22","1","2","12601"
"1","1","53002","1","4","22","1","2","12602"
"0","2","53002","1","4","22","0","1","12701"
