08259cf2818c0291869f63e3e573f82b45ed1255893ab21df48eed3d319aa2f2,dca33e6d30c4ca7ff0f5c0bf73268ec87c3f00ca2c5019d883e4d0c95a8c2fdc,ed74547e6c130147733a896da2c465053920be18a7d8a416fe98d808ef8148c0
"114601","1","1"
"114701","2","2"
"115601","3","3"
"115801","5","4"
"116801","6","5"
"117401","7","6"
"117801","8","7"
"119201","9","8"
"120801","10","9"
"121201","12","10"
"122101","13","11"
"122401","14","12"
"122801","15","13"
"123501","16","14"
"124101","17","15"
"124701","20","16"
"124901","21","17"
"125701","22","18"
"126701","24","19"
"127001","25","20"
"128301","27","21"
"128801","28","22"
