0938629b08edfe2ab3644ef594708890db5f7dbc27383a0048493a122a8544c5,096ed4113d860289c3a4756c5b0321fb174b3aed6008f1ef052206369d0d336f,577d1a9ad955a17d4b5b73737bdc7e2848d862ee0be85c1ea36643d5a5b8967a,ba788a701a6a42f41ecc6c7cfeaea3dd740b2fea9bde51413dd1cea6b2d969f4
"10104001","バトルの残り時間が0:05以上で勝利","4001","1"
"10109001","バトルの残り時間が0:10以上で勝利","9001","1"
"10114001","バトルの残り時間が0:15以上で勝利","14001","1"
"10119001","バトルの残り時間が0:20以上で勝利","19001","1"
"10124001","バトルの残り時間が0:25以上で勝利","24001","1"
"10129001","バトルの残り時間が0:30以上で勝利","29001","1"
"10134001","バトルの残り時間が0:35以上で勝利","34001","1"
"10139001","バトルの残り時間が0:40以上で勝利","39001","1"
"10144001","バトルの残り時間が0:45以上で勝利","44001","1"
"10149001","バトルの残り時間が0:50以上で勝利","49001","1"
"10154001","バトルの残り時間が0:55以上で勝利","54001","1"
"10159001","バトルの残り時間が1:00以上で勝利","59001","1"
"10164001","バトルの残り時間が1:05以上で勝利","64001","1"
"10169001","バトルの残り時間が1:10以上で勝利","69001","1"
"10174001","バトルの残り時間が1:15以上で勝利","74001","1"
"10179001","バトルの残り時間が1:20以上で勝利","79001","1"
"10200000","戦闘不能になったキャラが0人以下で勝利","0","2"
"10200001","戦闘不能になったキャラが1人以下で勝利","1","2"
"10200002","戦闘不能になったキャラが2人以下で勝利","2","2"
"10200003","戦闘不能になったキャラが3人以下で勝利","3","2"
"10200004","戦闘不能になったキャラが4人以下で勝利","4","2"
"10300001","物理タイプキャラを1人以上編成して勝利","1","3"
"10300002","物理タイプキャラを2人以上編成して勝利","2","3"
"10300003","物理タイプキャラを3人以上編成して勝利","3","3"
"10300004","物理タイプキャラを4人以上編成して勝利","4","3"
"10300005","物理タイプキャラを5人編成して勝利","5","3"
"10400001","魔法タイプキャラを1人以上編成して勝利","1","4"
"10400002","魔法タイプキャラを2人以上編成して勝利","2","4"
"10400003","魔法タイプキャラを3人以上編成して勝利","3","4"
"10400004","魔法タイプキャラを4人以上編成して勝利","4","4"
"10400005","魔法タイプキャラを5人編成して勝利","5","4"
"10500001","タンクキャラを1人以上編成して勝利","1","5"
"10500002","タンクキャラを2人以上編成して勝利","2","5"
"10500003","タンクキャラを3人以上編成して勝利","3","5"
"10500004","タンクキャラを4人以上編成して勝利","4","5"
"10500005","タンクキャラを5人編成して勝利","5","5"
"10600001","ヒーラーキャラを1人以上編成して勝利","1","6"
"10600002","ヒーラーキャラを2人以上編成して勝利","2","6"
"10600003","ヒーラーキャラを3人以上編成して勝利","3","6"
"10600004","ヒーラーキャラを4人以上編成して勝利","4","6"
"10600005","ヒーラーキャラを5人編成して勝利","5","6"
"10700001","ブースターキャラを1人以上編成して勝利","1","7"
"10700002","ブースターキャラを2人以上編成して勝利","2","7"
"10700003","ブースターキャラを3人以上編成して勝利","3","7"
"10700004","ブースターキャラを4人以上編成して勝利","4","7"
"10700005","ブースターキャラを5人編成して勝利","5","7"
"10800001","バッファーキャラを1人以上編成して勝利","1","8"
"10800002","バッファーキャラを2人以上編成して勝利","2","8"
