b3c06937656b94071a9b08d64f8ec761a3080af2e4d980f6d30486f89cd3e34a,ecbb8508a220ddf3192feb47347c33bd9b845b671e6c93cf2b699b6f7fef24c9,62ec406d28872c6bbabeebce8f602e41817d3a0ba00b5891e1fce6aa87e21c46,3860cafcc4266165cb47c78f3c7eec05a47a4e3ebc7e93772b46486a5693f3e0,393d0b3f001193c25be8feab7ef91d672ec1499aec6ff5225caada5793d08531,240f5ec4e3fbfc000da9c8f00132422ec7a997cf716ab4ef945ddc6decf0df52,88077139479d3e4c1023a1f5b687a7c0289f355b3350e4e3694648fb486c0835,520fe6514405c65734339c3e4492cdb65a6cf8c01f359a190313f825de3bcae2
"1","0","0","27","2019/02/28 11:59:59","3","2019/02/15 23:00:00","106101"
"2","0","0","28","2019/03/19 14:59:59","3","2019/02/28 12:00:00","101401"
"3","0","0","29","2019/03/26 14:59:59","1","2019/03/19 15:00:00","105501"
"4","0","0","29","2019/03/26 14:59:59","3","2019/03/19 15:00:00","106301"
"5","0","0","29","2019/03/26 14:59:59","2","2019/03/19 15:00:00","101501"
"6","0","0","30","2019/03/31 11:59:59","3","2019/03/26 15:00:00","103601"
"7","0","0","30","2019/03/31 11:59:59","3","2019/03/26 15:00:00","104901"
"8","0","0","30","2019/03/31 11:59:59","3","2019/03/26 15:00:00","104401"
"9","0","0","30","2019/03/31 11:59:59","2","2019/03/26 15:00:00","100701"
"10","0","0","30","2019/03/31 11:59:59","2","2019/03/26 15:00:00","104601"
"11","0","0","30","2019/03/31 11:59:59","2","2019/03/26 15:00:00","102701"
"12","0","0","30","2019/03/31 11:59:59","1","2019/03/26 15:00:00","100301"
"13","0","0","30","2019/03/31 11:59:59","1","2019/03/26 15:00:00","103401"
"14","0","0","30","2019/03/31 11:59:59","1","2019/03/26 15:00:00","100101"
"15","0","0","31","2019/04/19 14:59:59","3","2019/03/31 12:00:00","109201"
"16","0","0","32","2019/04/30 11:59:59","3","2019/04/19 15:00:00","109401"
"17","0","0","33","2019/05/07 14:59:59","3","2019/04/30 12:00:00","109501"
"18","0","0","33","2019/05/07 14:59:59","3","2019/04/30 12:00:00","107101"
"19","0","0","34","2019/05/14 14:59:59","3","2019/05/07 15:00:00","109501"
"20","0","0","35","2019/05/17 14:59:59","3","2019/05/14 15:00:00","103601"
"21","0","0","35","2019/05/17 14:59:59","2","2019/05/14 15:00:00","102001"
"22","0","0","35","2019/05/17 14:59:59","1","2019/05/14 15:00:00","100401"
"23","0","0","36","2019/05/31 11:59:59","3","2019/05/17 15:00:00","109601"
"24","0","0","37","2019/06/15 11:59:59","3","2019/05/31 12:00:00","109701"
"25","0","0","38","2019/06/18 14:59:59","3","2019/06/15 12:00:00","104401"
"26","0","0","38","2019/06/18 14:59:59","3","2019/06/15 12:00:00","101001"
"27","0","0","38","2019/06/18 14:59:59","2","2019/06/15 12:00:00","101701"
"28","0","0","39","2019/06/30 11:59:59","3","2019/06/18 15:00:00","109901"
"29","0","0","40","2019/07/13 11:59:59","3","2019/06/30 12:00:00","110001"
"30","0","0","41","2019/07/18 14:59:59","3","2019/07/13 12:00:00","107501"
"31","0","0","41","2019/07/18 14:59:59","3","2019/07/13 12:00:00","107801"
"32","0","0","42","2019/07/31 11:59:59","3","2019/07/18 15:00:00","110301"
"33","0","0","43","2019/08/10 11:59:59","3","2019/07/31 12:00:00","110401"
"34","0","0","44","2019/08/15 14:59:59","3","2019/08/10 12:00:00","107701"
"35","0","0","44","2019/08/15 14:59:59","3","2019/08/10 12:00:00","107901"
"36","0","0","45","2019/08/26 11:59:59","3","2019/08/15 15:00:00","110601"
"37","0","0","46","2019/08/31 11:59:59","3","2019/08/26 12:00:00","104401"
"38","0","0","46","2019/08/31 11:59:59","2","2019/08/26 12:00:00","100601"
"39","0","0","46","2019/08/31 11:59:59","2","2019/08/26 12:00:00","100701"
"40","0","0","46","2019/08/31 11:59:59","2","2019/08/26 12:00:00","103101"
"41","0","0","46","2019/08/31 11:59:59","1","2019/08/26 12:00:00","102201"
"42","0","0","47","2019/09/03 20:59:59","3","2019/08/31 12:00:00","107001"
"43","0","0","47","2019/09/03 20:59:59","3","2019/08/31 12:00:00","106101"
"44","0","0","47","2019/09/03 20:59:59","3","2019/08/31 12:00:00","107101"
"45","0","0","48","2019/09/12 11:59:59","3","2019/09/03 21:00:00","110701"
"46","0","0","49","2019/09/16 14:59:59","3","2019/09/12 12:00:00","105701"
"47","0","0","49","2019/09/16 14:59:59","3","2019/09/12 12:00:00","106301"
"48","0","0","50","2019/09/29 11:59:59","3","2019/09/16 15:00:00","110801"
"49","0","0","51","2019/09/30 11:59:59","3","2019/09/29 12:00:00","107001"
"50","0","0","51","2019/09/30 11:59:59","3","2019/09/29 12:00:00","106101"
"51","0","0","51","2019/09/30 11:59:59","3","2019/09/29 12:00:00","107101"
"52","0","1001","52","2019/10/11 11:59:59","3","2019/09/30 12:00:00","111101"
"53","0","0","53","2019/10/16 14:59:59","3","2019/10/11 12:00:00","108101"
"54","0","0","53","2019/10/16 14:59:59","3","2019/10/11 12:00:00","108301"
"55","0","1002","54","2019/10/31 11:59:59","3","2019/10/16 15:00:00","111301"
"56","0","1003","55","2019/11/11 11:59:59","3","2019/10/31 12:00:00","111401"
"57","0","0","56","2019/11/15 14:59:59","3","2019/11/11 12:00:00","105601"
"58","0","0","56","2019/11/15 14:59:59","2","2019/11/11 12:00:00","101301"
"59","0","0","56","2019/11/15 14:59:59","2","2019/11/11 12:00:00","102701"
"60","0","1004","57","2019/11/30 11:59:59","3","2019/11/15 15:00:00","106501"
"61","0","1005","58","2019/12/11 11:59:59","3","2019/11/30 12:00:00","111501"
"62","0","0","59","2019/12/20 14:59:59","3","2019/12/11 12:00:00","108401"
"63","0","0","59","2019/12/20 14:59:59","3","2019/12/11 12:00:00","108601"
"64","0","1006","60","2019/12/31 11:59:59","3","2019/12/20 15:00:00","111701"
"65","0","1007","61","2020/01/03 18:59:59","3","2019/12/31 12:00:00","112001"
"66","0","0","61","2020/01/03 18:59:59","3","2019/12/31 12:00:00","106101"
"67","0","0","61","2020/01/03 18:59:59","3","2019/12/31 12:00:00","107101"
"68","0","0","61","2020/01/03 18:59:59","3","2019/12/31 12:00:00","107001"
"69","0","1007","62","2020/01/10 11:59:59","3","2020/01/03 19:00:00","112001"
"70","0","0","63","2020/01/16 14:59:59","3","2020/01/10 12:00:00","108801"
"71","0","0","63","2020/01/16 14:59:59","3","2020/01/10 12:00:00","108701"
"72","0","1008","64","2020/01/31 11:59:59","3","2020/01/16 15:00:00","111901"
"73","0","1009","65","2020/02/10 11:59:59","3","2020/01/31 12:00:00","112201"
"74","0","0","66","2020/02/15 14:59:59","3","2020/02/10 12:00:00","109101"
"75","0","1010","67","2020/02/25 11:59:59","3","2020/02/15 15:00:00","180401"
"76","0","0","67","2020/02/25 11:59:59","3","2020/02/15 15:00:00","107001"
"77","0","0","67","2020/02/25 11:59:59","3","2020/02/15 15:00:00","106101"
"78","0","0","67","2020/02/25 11:59:59","3","2020/02/15 15:00:00","107101"
"79","0","0","68","2020/02/29 11:59:59","3","2020/02/25 12:00:00","110001"
"80","0","0","68","2020/02/29 11:59:59","3","2020/02/25 12:00:00","110301"
"81","0","1011","69","2020/03/13 14:59:59","3","2020/02/29 12:00:00","112401"
"82","0","1012","70","2020/03/26 11:59:59","3","2020/03/13 15:00:00","112501"
"83","0","0","71","2020/03/31 11:59:59","3","2020/03/26 12:00:00","110401"
"84","0","0","71","2020/03/31 11:59:59","3","2020/03/26 12:00:00","110601"
"85","0","1013","72","2020/04/10 11:59:59","3","2020/03/31 12:00:00","111001"
"86","0","0","73","2020/04/15 14:59:59","3","2020/04/10 12:00:00","109201"
"87","0","0","73","2020/04/15 14:59:59","3","2020/04/10 12:00:00","109401"
"88","0","1014","74","2020/04/24 11:59:59","3","2020/04/15 15:00:00","110901"
"89","0","0","75","2020/04/30 11:59:59","3","2020/04/24 12:00:00","111101"
"90","0","1015","76","2020/05/10 11:59:59","3","2020/04/30 12:00:00","112701"
"91","0","0","77","2020/05/15 14:59:59","3","2020/05/10 12:00:00","109501"
"92","0","0","77","2020/05/15 14:59:59","3","2020/05/10 12:00:00","109601"
"93","0","1016","78","2020/05/31 11:59:59","3","2020/05/15 15:00:00","112801"
"94","0","1017","79","2020/06/03 18:59:59","3","2020/05/31 12:00:00","180501"
"95","0","0","79","2020/06/03 18:59:59","3","2020/05/31 12:00:00","180401"
"96","0","0","79","2020/06/03 18:59:59","3","2020/05/31 12:00:00","107001"
"97","0","0","79","2020/06/03 18:59:59","3","2020/05/31 12:00:00","106101"
"98","0","0","79","2020/06/03 18:59:59","3","2020/05/31 12:00:00","107101"
"99","0","1018","80","2020/06/10 11:59:59","3","2020/06/03 19:00:00","112901"
"100","0","0","81","2020/06/17 14:59:59","3","2020/06/10 12:00:00","110001"
"101","0","0","81","2020/06/17 14:59:59","3","2020/06/10 12:00:00","110301"
"102","0","1019","82","2020/06/24 11:59:59","3","2020/06/17 15:00:00","106601"
"103","0","0","83","2020/06/30 11:59:59","3","2020/06/24 12:00:00","111501"
"104","0","1020","84","2020/07/03 18:59:59","3","2020/06/30 12:00:00","180201"
"105","0","0","84","2020/07/03 18:59:59","3","2020/06/30 12:00:00","180501"
"106","0","0","84","2020/07/03 18:59:59","3","2020/06/30 12:00:00","180401"
"107","0","0","84","2020/07/03 18:59:59","3","2020/06/30 12:00:00","107001"
"108","0","0","84","2020/07/03 18:59:59","3","2020/06/30 12:00:00","106101"
"109","0","0","84","2020/07/03 18:59:59","3","2020/06/30 12:00:00","107101"
"110","0","1021","85","2020/07/10 11:59:59","3","2020/07/03 19:00:00","113101"
"111","0","0","86","2020/07/15 14:59:59","3","2020/07/10 12:00:00","110401"
"112","0","0","86","2020/07/15 14:59:59","3","2020/07/10 12:00:00","110601"
"113","0","1022","87","2020/07/22 11:59:59","3","2020/07/15 15:00:00","113301"
"114","0","0","88","2020/07/27 11:59:59","3","2020/07/22 12:00:00","112001"
"115","0","0","88","2020/07/27 11:59:59","3","2020/07/22 12:00:00","111901"
"116","0","0","89","2020/07/31 11:59:59","3","2020/07/27 12:00:00","107501"
"117","0","0","89","2020/07/31 11:59:59","3","2020/07/27 12:00:00","107801"
"118","0","1023","90","2020/08/10 11:59:59","3","2020/07/31 12:00:00","113401"
"119","0","0","91","2020/08/15 14:59:59","3","2020/08/10 12:00:00","110701"
"120","0","0","91","2020/08/15 14:59:59","3","2020/08/10 12:00:00","110801"
