f4d59f294a28a2919651d69cbb46f2e823083e690202e01ca8f1f02fe8683f63,411927d759b2c8e058632c8d2bc8e3efae3b2e232a934fcea7ed8cd978c81648,8028948f2532aeb856a24e44ff0c411c1e24a9254879b591f77b4799e96b517a,3be1da392232eac162d0a8ea0a2e0e20cb5ef0ef8a4dc9b66e27649b2e4abcae,57ac076362a7eb7110174fc9c50066adc07a0928c505752b14c2a4e93252fe00,afc9bcb137d5a3fcc1fd4e0798479048905a292989004e2a6b4076c5b88a76e2,d707a7908b820f6cafa78b4fd90c9c88320d3227b9ca4fe2ccb9913e590b4bb9,4445244554d1d1e0c0d8dcb10f5a7cb240ff8ba59121fe172b59410071d8fc2c,57777b6f93f12e3b485c160aec6a10d003e86c793e29b3be2b2344ceed51d137,c2adeaabfe5f85762923d68bf9c5a8c37eb76d7c7e2cff07878a716dfa384d68,d6daae810d36f717ce84a55dec4d5d13cee965f94772ea27e280e63fa82606a8
"1","1","100","1","1001","-224","drama_idle","167","1.65","1","129811"
"0","1","100","1","1002","-224","drama_idle","-49","1.65","1","129911"
"","129811","1","1","1003","","","","0.2","3","drama_idle"
"0","129911","0","1","1004","1","","drama_talk_arm_crossed_loop","0.2","3","drama_talk_arm_crossed_in"
"","vo_minigame_1013","0","1","1005","","","0","","21","vo_minigame_1013_top_talk_1_000"
"0","129911","6","1","1006","0","0","1","0","11","魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね"
"","0","","1","1007","","","","","91",""
"","129911","1","1","1008","","","","0.2","3","drama_idle_arm_crossed"
"0","129811","0","1","1009","1","","drama_talk_doya_loop_smile","0.2","3","drama_talk_doya_in_smile"
"","vo_minigame_1013","0","1","1010","","","0","","21","vo_minigame_1013_top_talk_1_001"
"0","129811","6","1","1011","0","0.3","1","0","11","ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～"
"","0","","1","1012","","","","","91",""
"","129811","1","1","1013","","","","0.2","3","drama_idle_arm_crossed"
"0","129911","0","1","1014","1","","drama_talk_smile_loop","0.2","3","drama_talk_smile_in"
"","vo_minigame_1013","0","1","1015","","","0","","21","vo_minigame_1013_top_talk_1_002"
"0","129911","5","1","1016","0","0.5","1","0","11","訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです"
"","0","","1","1017","","","","","91",""
"","129911","1","1","1018","","","","0.2","3","drama_idle"
"","129811","1","1","1019","","","","0.2","3","drama_idle"
"1","1","100","2","2001","-224","drama_idle","167","1.65","1","129811"
"0","1","100","2","2002","-224","drama_idle","-49","1.65","1","129911"
"","129911","1","2","2003","","","","0.2","3","drama_idle"
"","129811","0","2","2004","1","","drama_talk_admire_loop","0.2","3","drama_talk_admire_in"
"","vo_minigame_1013","0","2","2005","","","0","","21","vo_minigame_1013_top_talk_2_000"
"0","129811","7","2","2006","0","0.5","1","0","11","こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ"
"","0","","2","2007","","","","","91",""
