76b9222a9d828ac2aef4ebea4c3df9b7c21c6989e482aa13ac4119be7d4092d9,40aa17afafe1f7bd12919215807bda7793d2e1ae474825f3f6e6e9e8a8e70101,450d29b0518ca2aff825b867f6999b8c4658aa0650e9d147607b785171f07bf4,c74e0647f17123bf7e02756b987ab833cffd5c40f1dd2c4fa720783796fa72a6,7eb8999a973f8dd4b20f3f4b6432db3f904f0a4a91fe9783a0c634664cb3eb38,aac31274215f1fc616808ca964d84eac993af472e8d4a3bf03ebe870a47429cc
"2991180","0","0","1","3000","100111"
"2991101","0","0","1","10000","100112"
"2991167","0","0","1","10000","100121"
"2991168","0","0","1","10000","100122"
"2991172","0","0","1","5000","100131"
"2991182","0","0","1","10000","100211"
"2991102","0","0","1","2000000","100221"
"2991103","0","0","1","40000","100231"
"2991184","0","0","1","15000","100311"
"2991183","0","0","1","200000","100321"
"2991184","0","0","1","15000","100322"
"2991185","0","0","1","1000000","100331"
"2991186","0","0","1","50000","100332"
"2991104","0","0","1","3000","100411"
"2991177","0","0","1","110","100412"
"2991105","0","0","1","5000","100421"
"2991178","0","0","1","130","100422"
"2991106","0","0","1","7000","100431"
"2991179","0","0","1","160","100432"
"2991190","0","0","1","3300","100511"
"2991107","0","0","1","40000","100521"
"2991112","0","0","1","20000","100531"
"14","0","0","14","5","110011"
"2991117","0","0","1","10000","110021"
"2991120","0","0","1","10000","110031"
"16","0","0","14","2","110041"
"2991101","0","0","1","1000","110051"
"105","0","0","14","2000","120011"
"2991121","0","0","1","3000","120021"
"2991124","0","0","1","3000","120031"
"2991127","0","0","1","1000","120041"
"2991128","0","0","1","1000","120051"
"2991129","0","0","1","1000","130011"
"100","0","0","14","1000","130021"
"101","0","0","14","1000","130022"
"107","0","0","14","3000","130031"
"6","0","0","14","1000","130041"
"7","0","0","14","1000","130042"
"9","0","0","14","10","130051"
"108","0","0","14","3000","140011"
"2991132","0","0","1","5000","140021"
"2991133","0","0","1","5000","140031"
"2","0","0","14","2000","140041"
"4","0","0","14","2000","140042"
"3","0","0","14","1000","140051"
"5","0","0","14","1000","140052"
"110","0","0","14","1000","150011"
"1","0","0","14","1000","150021"
"2991134","0","0","1","50000","150031"
"2991149","0","0","1","50000","150041"
"2991164","0","0","1","5000","150051"
"14","0","0","14","10","210011"
"2991118","0","0","1","20000","210021"
"2991120","0","0","1","20000","210031"
"16","0","0","14","4","210041"
"2991101","0","0","1","2000","210051"
"105","0","0","14","4000","220011"
"2991122","0","0","1","6000","220021"
"2991125","0","0","1","6000","220031"
"2991127","0","0","1","2000","220041"
"2991128","0","0","1","2000","220051"
"2991129","0","0","1","2000","230011"
"100","0","0","14","2000","230021"
"101","0","0","14","2000","230022"
"107","0","0","14","6000","230031"
"6","0","0","14","2000","230041"
"7","0","0","14","2000","230042"
"9","0","0","14","20","230051"
"108","0","0","14","6000","240011"
"2991132","0","0","1","10000","240021"
"2991133","0","0","1","10000","240031"
"2","0","0","14","4000","240041"
"4","0","0","14","4000","240042"
"3","0","0","14","2000","240051"
"5","0","0","14","2000","240052"
"110","0","0","14","2000","250011"
"1","0","0","14","2000","250021"
"2991139","0","0","1","100000","250031"
"2991154","0","0","1","100000","250041"
"2991165","0","0","1","10000","250051"
"104","0","0","14","10000","300011"
"14","0","0","14","15","310011"
"2991119","0","0","1","30000","310021"
"2991120","0","0","1","30000","310031"
"16","0","0","14","6","310041"
"2991101","0","0","1","3000","310051"
"105","0","0","14","6000","320011"
"2991123","0","0","1","9000","320021"
"2991126","0","0","1","9000","320031"
"2991127","0","0","1","3000","320041"
"2991128","0","0","1","3000","320051"
"2991129","0","0","1","3000","330011"
"100","0","0","14","3000","330021"
"101","0","0","14","3000","330022"
"107","0","0","14","9000","330031"
"6","0","0","14","3000","330041"
"7","0","0","14","3000","330042"
"9","0","0","14","30","330051"
"108","0","0","14","9000","340011"
"2991132","0","0","1","15000","340021"
"2991133","0","0","1","15000","340031"
"2","0","0","14","6000","340041"
"4","0","0","14","6000","340042"
"3","0","0","14","3000","340051"
"5","0","0","14","3000","340052"
"110","0","0","14","3000","350011"
"1","0","0","14","3000","350021"
"2991144","0","0","1","150000","350031"
"2991159","0","0","1","150000","350041"
"2991166","0","0","1","15000","350051"
