2493e9337abe87b556c563e165b9d2b574e8dabf72d396e44483a099171d86e1,5515e0ffd711969df98b0ffc8846b2f6da553c5fd7846a5ab6aed9c7aa025895,9eac5431e768d17cc89abdde66accb2d5bff153f02bbe7d4dca64ecc416942e2,3f0978a02902f6f845ad137cf720f9b039299abef45afcdefb5f5c87225733c3,cc1f4ff6c34b74a8e3217904f31ac92e251a975856574fb4329e27d8430574e0,85b3eb84dc025d2dba486631297def69f6e8537ccdf066bcc559bcb4faa86164,3b7b6d4616592f380251b62dac80bba66a330a29daf9db16dd71e9911f5d5deb
"4","0","10064","0","20036104","1006401","開会式"
"3","0","10064","0","20036104","1006402","開会式"
"1","0","10064","1006402","20036104","1006403","徒競走"
"4","0","10064","1006402","20036104","1006404","徒競走"
"2","0","10064","1006402","20036104","1006405","徒競走"
"2","0","10064","1006405","20036104","1006406","騎馬戦"
"4","0","10064","1006405","20036104","1006407","騎馬戦"
"3","0","10064","1006406","20036106","1006408","昼休憩"
"4","0","10064","1006406","20036106","1006409","昼休憩"
"3","0","10064","1006408","20036106","1006410","学術文化出展各種"
"4","0","10064","1006408","20036106","1006411","学術文化出展各種"
"1","0","10064","1006408","20036106","1006412","学術文化出展各種"
"4","0","10064","1006410","20036108","1006413","侍女風給仕喫茶"
"3","0","10064","1006410","20036108","1006414","侍女風給仕喫茶"
"3","0","10064","1006414","20036113","1006415","総合リレー"
"4","0","10064","1006414","20036113","1006416","総合リレー"
"1","2003601","10064","1006415","0","1006417","セレモニーステージ"
"4","2003601","10064","1006415","0","1006418","セレモニーステージ"
"2","2003601","10064","1006415","0","1006419","セレモニーステージ"
"3","2003601","10064","1006419","0","1006420","閉会式"
"4","2003601","10064","1006419","0","1006421","閉会式"
"4","2003601","10064","1006420","0","1006422","コンプリート演出"
