d1767c7356cb14167b6e15d3d99a3f97226241d9c1a4eae76d37ee79372a628e,be98ec47b250fa5c90e1421d7179352eb57bcb0ea3ecdcddcac1262ec8a16773,806df8b3a83e0c16fb2cc20df0b172c3eebfc66706aa286d13d5e9f2d375b4f2,a45e6b0bbc3d9ede8a1b188e36a0d06a002e9cbad4aa3db82ded2c53851708e0
"4","1","180701","1001"
"4","2","180701","1002"
"4","3","180701","1003"
"4","4","180701","1004"
"4","5","180701","1005"
"2","6","180701","1014"
"2","7","180701","1015"
"2","8","180701","1016"
"2","9","180701","1017"
"2","10","180701","1010"
"2","11","180701","1011"
"2","12","180701","1012"
"2","13","180701","1013"
"6","14","180801","1001"
"6","15","180801","1002"
"6","16","180801","1003"
"6","17","180801","1004"
"6","18","180801","1005"
"3","19","180801","1014"
"3","20","180801","1015"
"3","21","180801","1016"
"4","22","180801","1017"
"3","23","180801","1010"
"3","24","180801","1011"
"3","25","180801","1012"
"3","26","180801","1013"
"3","27","180801","1009"
"4","28","180901","1001"
"4","29","180901","1002"
"4","30","180901","1003"
"4","31","180901","1004"
"4","32","180901","1005"
"2","33","180901","1014"
"2","34","180901","1015"
"2","35","180901","1016"
"4","36","180901","1017"
"2","37","180901","1010"
"2","38","180901","1011"
"2","39","180901","1012"
"2","40","180901","1013"
"4","41","181001","1001"
"4","42","181001","1002"
"4","43","181001","1003"
"4","44","181001","1004"
"4","45","181001","1005"
"2","46","181001","1009"
"2","47","181001","1010"
"2","48","181001","1011"
"2","49","181001","1012"
"2","50","181001","1013"
"2","51","181001","1014"
"2","52","181001","1015"
"2","53","181001","1016"
"2","54","181001","1017"
"4","55","181101","1001"
"4","56","181101","1002"
"4","57","181101","1003"
"4","58","181101","1004"
"4","59","181101","1005"
"2","60","181101","1009"
"2","61","181101","1010"
"2","62","181101","1012"
"2","63","181101","1013"
"2","64","181101","1014"
"2","65","181101","1015"
"2","66","181101","1016"
"2","67","181101","1017"
