3781d651600ba5c576ceef0fd5f0ff59ffe449590f76a4a84df01c6c2db517b7,bc393e7722f8b39c4d8131909e2481dbc8f0c3df57cd7e429a8da3e14ddba154,6bcaee999b558346b8d681f944fbcf4f09f455256306ac85eff52bfa87406f79,dcc80b096b1dcf190db82b517de0c311ac110c215250b8898a98c28844b168c1,05945a1e09a9001a7145510194b6eb49a04d7820ba652ebd57d792cd7536fea3,c63131fe4a68394bcb2980d3ec6267383916907d8f8f2a05cbc625e9896f3caa,34862b02906221b640b72ff2b83b318f2e7b41c9a37e6c44108c0941590e57bc,8585ba2d424320c30d0e94cd3ba662792325f1817eeea23dbd0bb1d9ca1fe5f7
"平凡な未鑑定トレジャー","1","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","平凡な\n未鑑定トレジャー","200","100","53001","1"
"貴重な未鑑定トレジャー","1","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","貴重な\n未鑑定トレジャー","400","200","53002","2"
"至高の未鑑定トレジャー","1","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","至高の\n未鑑定トレジャー","800","400","53003","3"
"平凡なジェムストーン","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なジェムストーン","200","100","53004","1"
"貴重なジェムストーン","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なジェムストーン","400","200","53005","2"
"至高のジェムストーン","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のジェムストーン","800","400","53006","3"
"平凡なインゴット","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なインゴット","200","100","53007","1"
"貴重なインゴット","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なインゴット","400","200","53008","2"
"至高のインゴット","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のインゴット","800","400","53009","3"
"平凡なスクロール","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なスクロール","200","100","53010","1"
"貴重なスクロール","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なスクロール","400","200","53011","2"
"至高のスクロール","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のスクロール","800","400","53012","3"
"平凡なティアラ","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なティアラ","200","100","53013","1"
"貴重なティアラ","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なティアラ","400","200","53014","2"
"至高のティアラ","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のティアラ","800","400","53015","3"
"平凡なルーン","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なルーン","200","100","53016","1"
"貴重なルーン","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なルーン","400","200","53017","2"
"至高のルーン","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のルーン","800","400","53018","3"
"平凡なクラウン","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なクラウン","200","100","53019","1"
"貴重なクラウン","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なクラウン","400","200","53020","2"
"至高のクラウン","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のクラウン","800","400","53021","3"
"平凡なアーティファクト","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なアーティファクト","200","100","53022","1"
"貴重なアーティファクト","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なアーティファクト","400","200","53023","2"
"至高のアーティファクト","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のアーティファクト","800","400","53024","3"
