c96061b8e73d8293b53a74bcf76a92a027df71c759cdbda291c5c0914d2beece,f78ed47acbfd5593cd23b3e47b8d6c53dfbd98f31fe5cd03f8ad356224346095,c7adc4861e314646a5d9525f970ad69206a5f3dba07118212202867f1ea6da98,4e39bdbab77370e5fb263919453fdb97a22d18155c398460a10723ad598e2714,cd93739179b1f48858c4d10d1318821de57e788e528042f6d13c6296d01b4e2f,fe561780f3118636f46186970a6e6d109a7df58036dccdce9e422f2530ecc5b6
"1101","20025","0","0","1","1"
"1102","20025","0","0","1","1"
"1103","20025","5042002","1","0","1"
"1104","20025","0","0","1","1"
"1105","20025","5042003","1","0","1"
"1106","20025","0","0","1","1"
"1107","20025","5042005","2","0","1"
"1201","20025","5042007","1","0","2"
"1202","20025","5042007","2","0","2"
"1203","20025","0","0","1","2"
"1204","20025","0","0","1","2"
"1301","20025","0","0","0","1"
