d938f887dfb66e5ce5745355018698f176a4608bf0a7b1bdcad09fdfa9613b98,9859b9ea4475a568404905e78e39e9c5dabb14c7c596fe2832740a507dc7e0de,dc60487ee5bf49611c0adbf37672c338e0e030805559f017d4cdabc7c785b14b,6f4c6b2c91d50c8b981e4cdb3a1f29c9c1728a8f94d189ddc7e19fc87a712f7b,6c53839179b2db7cfba3246993241b807bf81039433ebb44ac71ca61f4cc0d97,38b36961be768ff01729cd8ed0ca832fe5f246605ec5439cdd0c433e7ade7899,00b6ac77043d7daa9760e248383bfb6c273ceb330631e6ed4a9ae8ce536b7ea3,523ce44e74ddfd93367a96db26e02485c716f788634326b99d069e3004fe01e0
"start_000-start_001,start_002/start_003-boss_emote_064-start_004","srt_kaya_idle","","0","srt_inori_idle","srt_dragon_in,srt_dragon_idle","","GAME_START"
"","srt_kaya_idle","まずはオレの番だな！","2","srt_inori_idle","srt_dragon_idle","","ENEMY_FIRST"
"","srt_kaya_waiting","「{0}」か\n「{1}」で始まるのは…","2","srt_inori_idle","srt_dragon_idle","","ENEMY_TURN1"
"","srt_kaya_waiting","「{0}」か\nうーん、「{1}」で始まる言葉ねえ…","2","srt_inori_idle","srt_dragon_idle","","ENEMY_TURN2"
"","srt_kaya_waiting","「{0}」か\nオッケー、次は「{1}」だな","2","srt_inori_idle","srt_dragon_idle","","ENEMY_TURN3"
"sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063","srt_kaya_help","","0","","","srt_homare_help","ENEMY_HELP"
"","srt_kaya_flash","","0","","","","ENEMY_FLASH"
"sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","「{0}」だ！","2","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","","ENEMY_SELECT1"
"sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","「{0}」だな！","2","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","","ENEMY_SELECT2"
"sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","「{0}」だぜ！","2","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","","ENEMY_SELECT3"
"sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","「{0}」ってのはどうだ！","2","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","","ENEMY_SELECT_GREAT1"
"sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","へっへーん！「{0}」だ！","2","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","","ENEMY_SELECT_GREAT2"
"","","","-1","","","","ENEMY_SELECT_WAIT"
"out_071","srt_kaya_shock","カヤぴぃ、「ん」がついてるですよ……","1","","","","ENEMY_SELECT_N"
"","srt_kaya_waiting","「{0}」ですか\n次は「{1}」で始まる言葉ですね","1","srt_inori_thinking","srt_dragon_thinking","","PLAYER_TURN1"
"","srt_kaya_waiting","「{0}」ですか\nうーん、「{1}」で始まる言葉は…","1","srt_inori_thinking","srt_dragon_thinking","","PLAYER_TURN2"
"","srt_kaya_waiting","なるほど「{0}」ですね\nふむふむ、「{1}」で始まる言葉は…","1","srt_inori_thinking","srt_dragon_thinking","","PLAYER_TURN3"
"sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053","","","1","","","","PLAYER_CUTIN_GREAT"
"sugoyomi_cutin_050,sugoyomi_cutin_052","","","1","","","","PLAYER_CUTIN_PRICONNE"
"correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","「{0}」です！","1","srt_inori_select_1,srt_inori_idle","srt_dragon_select_1,srt_dragon_idle","","PLAYER_SELECT1"
"correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","「{0}」ですね！","1","srt_inori_select_2,srt_inori_idle","srt_dragon_select_2,srt_dragon_idle","","PLAYER_SELECT2"
"correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","「{0}」なんてどうです！","1","srt_inori_select_1,srt_inori_idle","srt_dragon_select_1,srt_dragon_idle","","PLAYER_SELECT_GREAT1"
"correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","ふふ～ん♪「{0}」です！","1","srt_inori_select_2,srt_inori_idle","srt_dragon_select_2,srt_dragon_idle","","PLAYER_SELECT_GREAT2"
"correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","ふっふっふ、ずばり\n「{0}」です！","1","srt_inori_select_1,srt_inori_idle","srt_dragon_select_1,srt_dragon_idle","","PLAYER_SELECT_PRECONNE1"
"correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","ひらめいたです！\n「{0}」ですね！","1","srt_inori_select_2,srt_inori_idle","srt_dragon_select_2,srt_dragon_idle","","PLAYER_SELECT_PRECONNE2"
"","","","-1","","","","PLAYER_SELECT_WAIT"
"mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046","srt_kaya_react_3,srt_kaya_waiting","はうっ！ま、間違ったです…","1","srt_inori_miss,srt_inori_thinking","srt_dragon_miss,srt_dragon_thinking","","PLAYER_MISS"
"out_070","srt_kaya_react_4","おいおい、「ん」がついてるじゃねえか……","2","srt_inori_shock","","","PLAYER_SELECT_N"
"rush","srt_kaya_infever","どんどんいくですよ！","1","srt_inori_thinking","srt_dragon_thinking","","INFEVER"
"correct_028-correct_029,correct_037-correct_038","","「{0}」です！","1","srt_inori_select_1","srt_dragon_select_1","","FEVER_SELECT1"
"correct_030-correct_031,correct_035-correct_036","","「{0}」ですね！","1","srt_inori_select_2","srt_dragon_select_2","","FEVER_SELECT2"
"mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048","","はうっ！ま、間違ったです…","1","srt_inori_miss","srt_dragon_miss","","FEVER_MISS"
"rush_attack","srt_kaya_fever_damage","覚悟するです！","1","srt_inori_fever_attack","srt_dragon_fever_attack","","FEVER_DAMAGE"
"win_005-win_006,win_012-win_013","srt_kaya_lose","あたしたちの勝ちですよ！！","1","srt_inori_win_1","srt_dragon_win","","WIN_HP"
"win_005-win_006,win_012-win_013","","あたしたちの勝ちですよ！！","1","srt_inori_win_1","srt_dragon_win","","WIN_N"
"lose_017,lose_019,lose_023","srt_kaya_win","あうぅ…あたしの負けです…","1","srt_inori_lose","srt_dragon_lose","","LOSE_MISS"
"lose_017,lose_019,lose_023","","あうぅ…あたしの負けです…","1","","srt_dragon_miss","","LOSE_N"
"lose_025/lose_026-boss_emote_068,lose_021","srt_kaya_win","じ、時間切れですか！？油断したです… ","1","srt_inori_lose","srt_dragon_lose","","TIMEUP"
"lose_017,lose_019,lose_023","srt_kaya_win","あうぅ…あたしの負けです…\n「{0}」があったです…","1","srt_inori_lose","srt_dragon_lose","","LOSE_MISS2"
"lose_017,lose_019,lose_023","","あうぅ…あたしの負けです…\n「{0}」があったです…","1","","srt_dragon_miss","","LOSE_N2"
