5f108c29ef3a3d6c765eb71ce8cd2689e59c232aa6d6355b745ad843ac46378d,c9695b73a5558c84a4f6c573c0863d632c5241298162d8e75aa7a9ae321e4f18,bf8d43ce647e5440177529b42b0dd042d89b0a78bb06fb53de0395cf4514f06c,6f0c0a83594e3a7060073647ee47634fb533b30a2418b99ea01e464f4f913d20,3daa7d86d661738a4db6dac71c579895dafb686703fc108120ef0ba15e159e97,e50cb6d32648307a78f0975f9a4bbab24e14715c3e05c91d26a8ca15129e1a20
"「{0}」{1}日目で獲得したアイテムです。","1","0","2","0","2001"
"「{0}」で獲得したアイテムです。","3","0","0","0","2002"
"「{0}」で獲得したアイテムです。","4","0","0","0","2003"
"バトルアリーナ{0}位のランキング報酬です。","5","0","0","0","2004"
"プリンセスアリーナ{0}位のランキング報酬です。","6","0","0","0","2005"
"{0}月クランバトル{1}ピリオドランキング{2}位の報酬です。","10","7","11","0","2006"
"{0}月クランバトル月間ランキング{1}位の報酬です。","10","0","8","0","2007"
"{0}で獲得した報酬です。","9","0","0","0","2008"
"{0}月クランバトルランキング{2}位の報酬です。","10","7","11","0","2009"
"「{0}」{1}日分の補てんアイテムです。","1","0","2","0","2010"
"「{0}」{1}日目「{2}」で獲得したアイテムです。","1","16","2","0","2011"
"「{0}」{1}日目で獲得したアイテムです。","17","0","2","0","2012"
"「{0}」で獲得したアイテムです。","1","0","0","0","2013"
"{0}月クランバトル{2}周到達報酬です。","10","19","11","0","2014"
"「{0}」の追加報酬分です。","20","0","0","0","2015"
"{0}のお返しでもらったアイテムです。","1","0","0","0","2016"
"Lv/RANK シンクロ機能実装に伴う配布です。","0","0","0","0","2017"
"ギルドハウス2階解放時に獲得したアイテムです。","0","0","0","0","3001"
"ギルドハウス3階解放時に獲得したアイテムです。","0","0","0","0","3002"
"運営からのお詫びの品です。","0","0","0","0","9101"
"運営からの補てんの品です。","0","0","0","0","9102"
"挑戦回数を4回以下にしてお受け取りください。","0","0","0","0","9103"
"メンテナンスにご協力いただいたお礼です。","0","0","0","0","9201"
"バージョンアップしていただいたお礼です。","0","0","0","0","9202"
"運営からのプレゼントです。","0","0","0","0","9203"
"「事前登録キャンペーン」の20万人達成報酬です。","0","0","0","0","9204"
"「事前登録キャンペーン」の28万人達成報酬です。","0","0","0","0","9205"
"「事前登録キャンペーン」の30万人達成報酬です。","0","0","0","0","9206"
"LinksMateのゲーム連携特典です。","0","0","0","0","9208"
"LinksMateのご利用特典です。","0","0","0","0","9209"
"LinksMateのスタープレゼントです。","0","0","0","0","9210"
"「DMM版事前登録キャンペーン」の10万人達成報酬です。","0","0","0","0","9211"
"ラジオ1周年記念生放送内コーナーの特別プレゼントです。","0","0","0","0","9212"
"運営からギルドハウスアイテムのプレゼントです。","0","0","0","0","9213"
