a3056a6cc120cc586b382a7f712c09a7b180e29de9431849a4e57a9300ee0f72,e922eb31bb46b73953ddf52d5addec27e10e45f0178129ea3d8d30f8d0f63003,2ff0e6893d2645908a5b3f2a3c4ec588de2c386c3ac70d43465b96ddc3553cc9,d78732edada078a288249edbf2c25f124db987ebe645fa9a0aa10050247aacf1,7628c9663194923e92cde3aa401cf0afdea734c17026c5c99581eca2a82fa920,e96722373463ad994d617ad676bee5918b467bc9e0b7a30db0b07e04b0aef9e5
"0","20025","1","1","1101","0"
"0","20025","1","1","1102","0"
"5042002","20025","0","1","1103","1"
"0","20025","1","1","1104","0"
"5042003","20025","0","1","1105","1"
"0","20025","1","1","1106","0"
"5042005","20025","0","1","1107","2"
"5042007","20025","0","2","1201","1"
"5042007","20025","0","2","1202","2"
"0","20025","1","2","1203","0"
"0","20025","1","2","1204","0"
"0","20025","0","1","1301","0"
