230fd6e4461e7a8e81343e434aaeee6b64c53ac8ffe090b889c79bfdf17b15ae,29442d3bdb6881d41cce6688a44f51f50b07adeee1a3ba9c220135fac7c1e6d7,70cb383a3bc6d6c1e7677cd3f3a99cd7176cb674463d80f45c7cb13d9adc09e9,ef06b4d51a58d04fa17a4b7602397c10b357f637bcce139b7eb577aefa1cfcaa,af176594d48f294f1073bfdaec0ed724efef240e693ff559e5a40b63e911842a,f0d2604f9d2f5981641a9671e8d6516e380625b2b25c80bda7abc60cfde55964,69cf4fa5090d8b0384474b62ee343b808eca90e4e677a320034d841562a176af,0a10ef6516603bf029febf5abd2e0ed7de89f7db6d31a687409d721d235cc6a9,ac378f72e124c6d2d2f77ace7118bc93ae6350c2f2c1d0ea3e6ae698e05f121f,282e70d2f22d313c4e6753f3137b8bcdac217b63e3b58dc4e61a02651edbe737,d3e5369fcda92bb74d5b595a0fb88a8d015f9429d01a4b08eca9ff3c55eb6912,80237e6c46ba6c6e59f8c0a19d9b04fe60450030fe992e815dd85b98d7ff0cd4,755df950a90b04709e4691090ce5057cef6305934a8b95278fd0fb01c33bf087,17d8fac9ab33e0a2edc1366cf7266549dccb9ef6870cd0eb287c10c781318571,63c732c42dca47f65e5e2f8c8e86969ac88bbab6c8763fef984d0e7f96e0f74b,2c3c4dbeabc506703d6138c1079f17c959495644eb2f407d34840921be8afa1f
"110010011","1","0","0","0","0","0","101011","0","4","101281","0","1","0","0","4"
"110010021","1","0","0","0","0","0","101251","0","4","101521","0","1","0","0","4"
"110010031","1","0","0","0","0","0","101161","0","4","101431","0","1","0","0","4"
"110010041","1","0","0","0","0","0","101371","0","4","101551","0","1","0","0","4"
"110010051","1","0","0","0","0","0","101161","0","4","101611","0","1","0","0","4"
"110010061","1","0","0","0","0","0","101071","0","4","101401","0","1","0","0","4"
"110010071","1","0","0","0","0","0","101251","0","4","101581","0","1","0","0","4"
"110010081","1","0","0","0","0","0","101281","0","4","101611","0","1","0","0","4"
"110010091","1","0","0","0","0","0","101131","0","4","101551","0","1","0","0","4"
"110010101","1","0","0","0","0","0","101011","0","4","101611","0","1","0","0","4"
"110020011","1","0","0","0","0","0","101191","0","4","101011","0","1","0","0","4"
"110020021","1","0","0","0","0","0","101251","0","4","101371","0","1","0","0","4"
"110020031","1","0","0","0","0","0","101401","0","4","101551","0","1","0","0","4"
"110020041","1","0","0","0","0","0","101521","0","4","101611","0","1","0","0","4"
"110020051","1","0","0","0","0","0","101281","0","4","101581","0","1","0","0","4"
"110020061","1","0","0","0","0","0","101251","0","4","101611","0","1","0","0","4"
"110020071","1","0","0","0","0","0","101071","0","4","101431","0","1","0","0","4"
"110020081","1","0","0","0","0","0","101131","0","4","101581","0","1","0","0","4"
"110020091","1","0","0","0","0","0","102163","0","4","122371","0","1","0","0","4"
"110020101","1","0","0","0","0","0","102013","0","4","102581","0","1","0","0","4"
"110020111","1","0","0","0","0","0","102252","0","4","102551","0","1","0","0","4"
"110020121","1","0","0","0","0","0","102222","0","4","102612","0","1","0","0","4"
"110030011","1","0","0","0","0","0","122493","0","4","102551","0","1","0","0","4"
"110030021","1","0","0","0","0","0","122491","0","4","102612","0","1","0","0","4"
