164143d3f9b95d876393aa43925de27276fee56a9433b02d1ea689206a956de5,120ec3729028a7fa851f4127180acdfea12d348253c9f939956846614685c93a,d7743be1df396b49e90373534b20a590a0e903e67ad7d636d68553831ad33938,562ce49eb65726b903d59b2a41694f523adf54bd52b38ef6898391a642cc9a99
"0","戦闘不能になったキャラが0人以下で勝利","1001","100101"
"1","戦闘不能になったキャラが1人以下で勝利","1001","100102"
"2","戦闘不能になったキャラが2人以下で勝利","1001","100103"
"74001","バトルの残り時間が1:15以上で勝利","1002","100201"
"69001","バトルの残り時間が1:10以上で勝利","1002","100202"
"59001","バトルの残り時間が1:00以上で勝利","1002","100203"
"49001","バトルの残り時間が0:50以上で勝利","1002","100204"
"44001","バトルの残り時間が0:45以上で勝利","1002","100205"
"39001","バトルの残り時間が0:40以上で勝利","1002","100206"
"29001","バトルの残り時間が0:30以上で勝利","1002","100207"
"1000","味方のTotal HPが100%以上で勝利","1003","100301"
"900","味方のTotal HPが90%以上で勝利","1003","100302"
"800","味方のTotal HPが80%以上で勝利","1003","100303"
"700","味方のTotal HPが70%以上で勝利","1003","100304"
"600","味方のTotal HPが60%以上で勝利","1003","100305"
"500","味方のTotal HPが50%以上で勝利","1003","100306"
