16cd1648992e8d7c543c9f8daa578038c50a277a7c0a770203833764c7000d3f,be9a6b5e3d373ef327440874f7fb9217ff236c5bd10f2816ab464f65bae74644,4e6f9bc1f369f1c8a954c286bb4d4725ad3826ea22e14230bcc9ba1adba7b3d3,dd1915bcce89c1b7d280043bbd0a558cf9e750d2ddc96b5d446eb20153665a71,2637dc0d3eb0bebe890a8b93cc22de8a2c8a105ba6d8598b8f3f72884dc3b3e0,d0d6e840db47ba29d1ff45f072392f8d8ec8afb4c9d4204a46c66b1d4ede3670,c04cf0f2d10addbb451616af9ab5526cdca17d3328c77d46f91f6ea68b92c402,1c6f34a043ed2950bb9e63ed77c5668ddcd87ef59d8af37a9b1083e596d9fc4a,fe991dda9a5d1830264b874575e55039cb5477a5b0c374add04c1ff7ddc6742e,84997a2c43ba17eb41e035f960d5735ac5ad7486947c093aac346c7503c456f6,462665f12c352e20516ad127abc2834ad3619c131b787743c0a90483d18fdf81,5620401983d8b3b92d152f36964b9c208dba4206f7f2465c5789a14088647c06,824ea0dd35fe00a476165b02febfdb01e8116366d1253d331fea33a7d0aaf578,0f4f3766a3619fbf264937d408b452fa983fe072b69b88f553acec6a7e8c72cf
"1","2002","0","クローチェ","2023/09/22 14:59:59","1","126401","いらっしゃいませっ♪\nキャラバンコインを使って\n買い物ができますよっ！","-470","10001","2","1","1.47","2023/06/30 12:00:00"
"2","2002","0","クローチェ","2023/09/22 14:59:59","2","126401","素敵な品が揃ってるので\nたーっくさん買っていって\nくださいねっ♪","-470","10002","1","1","2.15","2023/06/30 12:00:00"
"2","2002","0","ライラエル","2023/09/22 14:59:59","1","126501","ショップへようこそ\nキャラバンコインはこちら\nで買い物に使えますよ","-470","10003","2","1","0","2023/06/30 12:00:00"
"1","2002","0","ライラエル","2023/09/22 14:59:59","2","126501","こちらのショップで\n買い物をして、素敵な\n旅を楽しんでくださいね","-470","10004","1","1","0","2023/06/30 12:00:00"
"2","2002","0","リンド","2023/12/22 14:59:59","1","127702","いらっしゃいませ\nキャラバンコインを使って\nお買い物ができますよ","-470","10005","2","2","0","2023/09/15 15:00:00"
"2","2002","0","リンド","2023/12/22 14:59:59","2","127702","ショップの掃除は完璧です\n姫さま直営のお店として\n当然のことですから","-470","10006","2","2","0","2023/09/15 15:00:00"
"1","2002","0","ヴルム","2023/12/22 14:59:59","1","127802","ショップへようこそ\nキャラバンコインと品物を\n交換できるんで、よければ","-470","10007","1","2","0","2023/09/15 15:00:00"
"2","2002","0","ヴルム","2023/12/22 14:59:59","2","127802","なんで店番なんか…\nま、やりますけど\n好きな品物をどうぞ","-470","10008","1","2","6.5","2023/09/15 15:00:00"
"2","2002","0","アネモネ","2024/03/22 14:59:59","1","129602","──いらっしゃいませ\n買い物しても、いいですよ\nキャラバンコインがあれば","-470","10009","1","3","0","2023/12/15 15:00:00"
"2","2002","0","アネモネ","2024/03/22 14:59:59","2","129602","──もっと笑顔がほしい？\nいくらコインを積まれても\n売れない物はありますから","-470","10010","1","3","0","2023/12/15 15:00:00"
"1","2002","0","ネフィ=ネラ","2024/03/22 14:59:59","1","129701","ようこそおいでなんし\nキャラバンコインをこちら\nで交換して進ぜんしょう","-470","10011","1","3","0","2023/12/15 15:00:00"
"2","2002","0","ネフィ=ネラ","2024/03/22 14:59:59","2","129701","ところで、お前さまは\nいくらで贖えるのか喃？\n──フフ、冗談でありんす","-470","10012","1","3","6.2","2023/12/15 15:00:00"
"3","2002","0","カノン","2024/06/22 14:59:59","1","130301","い、いらっしゃいませっ！\n…くっ…このあたくし様が\n店番なんて…屈辱ですわっ","-470","10013","5","4","3.1","2024/03/15 15:00:00"
"3","2002","0","カノン","2024/06/22 14:59:59","2","130301","あら、あたくしをご所望？\nお生憎様、そんな小銭では\n…買えちゃうんですの！？","-470","10014","2","4","6.15","2024/03/15 15:00:00"
"2","2002","0","ナーナ","2024/06/22 14:59:59","1","130401","いらっしゃいませ～♪\nきゃらばんこいん？を\n交換できるんだってー","-470","10015","2","4","0","2024/03/15 15:00:00"
"2","2002","0","ナーナ","2024/06/22 14:59:59","2","130401","甘いのくれたら、\nお礼にナーナの拾った\n松ぼっくりあげちゃうよ！","-470","10016","1","4","3.35","2024/03/15 15:00:00"
"1","2002","0","ホウオウ","2024/09/22 14:59:59","1","130502","ショップへようこそ\nこの鳳凰が、皆さんに\n祝福を差し上げましょう","-470","10017","1","5","0","2024/06/15 15:00:00"
"2","2002","0","ホウオウ","2024/09/22 14:59:59","2","130502","ほーちゃんと呼ぶ権利は\n売っていませんよ？\n騎士さんへの、特別です！","-470","10018","1","5","3.18","2024/06/15 15:00:00"
"4","2002","0","ホウオウ","2024/09/22 14:59:59","3","130503","うﾞぇぇえんっ！まﾞだごの\n格好になっぢゃいまじだ！\n寄付をお願いじまず～っ！","-470","10019","4","5","0","2024/06/15 15:00:00"
"1","2002","0","ネア","2024/09/22 14:59:59","1","123301","おっすー♪\nなんでも交換してけー\nカリザきゅん以外で","-470","10020","2","5","4.9","2024/06/15 15:00:00"
"1","2002","0","ネア","2024/09/22 14:59:59","2","123301","ところで、騎士きゅんは\nおいくら万ルピ？\nジョーダンぬ・き・で♡","-470","10021","2","5","4.8","2024/06/15 15:00:00"
