366f58fb2efc5f755a3dbe769c07ac531f6daa336ff5cd1e7e73b2440071e7d7,1b39ee745a634346724242366c0894abc99fc763f0c1ae0362e250d3131eaf59,bbad521a5778a1300ca36db8b34d1bd2b614c3c16519576a531c8193c88fe4b2,a11bdd500d214880091ae614bef7cc97dd07566950b812f34d66b79840feb76a,63db4458e9c48a14dc7f1225c9d198b108bce66c70c4e6a7820bb0f567973d73,95b65f1c24735b04eed6ee730e8f501db6dca3f71017ddd57c4949bfe1b68bfb,ef40be8b78cbcc2aafe3351f7f5cc34eec984ccb4b6342a78e0a083e10aceb52,c6176c0ffbbd99968219e623afa6a57343f676cd0ef5a9838724f75a827615c1,bc60805fda3293aba708606639d2a213e67152c68cc99b3c4b3bf0056d2e957e,bab8a6b25211c3fcbeb81bda6ca54a2128458f0832f27dd022eedb52e4816f28,0ea4656938fbd9b53235cf3837bab73bbc1a9b46054a74c23bd19c930aba9629
"taq_karin_idle","1001","1","1.65","1","118511","72","1","-194","1","100"
"","1002","1","","21","vo_minigame_1009_top_001","0","vo_minigame_1009","","","0"
"0","1003","1","0","11","賞品も用意して\nいますので頑張って\nくださいね♪","0","118511","0","0","8"
"","1004","1","0.2","3","taq_karin_talk_normal","","118511","","","1"
"","1005","1","","91","","","1003","","",""
"","1006","1","0.2","3","taq_karin_idle","","118511","","","1"
"taq_karin_idle","2001","2","1.65","1","118511","72","1","-194","1","100"
"","2002","2","","21","vo_minigame_1009_top_002","0","vo_minigame_1009","","","0"
"0","2003","2","0","11","みなさんの知識が\n試されますよ","0","118511","0","0","8"
"","2004","2","0.2","3","taq_karin_talk_thinking","","118511","","","1"
"","2005","2","","91","","","2003","","",""
"","2006","2","0.2","3","taq_karin_idle","","118511","","","1"
"taq_karin_idle","3001","3","1.65","1","118511","72","1","-194","1","100"
"","3002","3","","21","vo_minigame_1009_top_003","0","vo_minigame_1009","","","0"
"0","3003","3","0","11","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","0","118511","0","0","8"
"","3004","3","0.2","3","taq_karin_talk_surprise","","118511","","","1"
"","3005","3","","91","","","3003","","",""
"","3006","3","0.2","3","taq_karin_idle","","118511","","","1"
"taq_karin_idle","4001","4","1.65","1","118511","72","1","-194","1","100"
"","4002","4","","21","vo_minigame_1009_top_004","0","vo_minigame_1009","","","0"
"0","4003","4","0","11","わからないときは\n勘に頼ってみても\nいいと思います","0","118511","0","0","8"
"","4004","4","0.2","3","taq_karin_talk_normal2","","118511","","","1"
"","4005","4","","91","","","4003","","",""
"","4006","4","0.2","3","taq_karin_idle","","118511","","","1"
"taq_karin_idle","5001","5","1.65","1","118511","72","1","-194","1","100"
"","5002","5","","21","vo_minigame_1009_top_005","0","vo_minigame_1009","","","0"
"0","5003","5","0","11","仲よく協力して\n全問正解を\n目指してくださいね♪","0","118511","0","0","7"
"","5004","5","0.2","3","taq_karin_talk_joy3","","118511","","","1"
"","5005","5","","91","","","5003","","",""
"","5006","5","0.2","3","taq_karin_idle","","118511","","","1"
