f96bc51d30dcd6a40c52b43cdb5cd8e614e6532ac8bcf439036058b7ddcdf103,f390bc104ae3405cff87f861639eac1c09626da24e436b9fc955c09c2c479624,3b9f6c159ba69a39f34871c8137985cb26d23ee5d9f5412a3950363b32192ac0,bc32e59005b9a33ecb5bdf606178cb2bcbaa3224da1b25b007cdd190b8acc7dc,4dd495065346f229e2c092f1bfc689aae5f13eebe0632ba3a7d8716f6f2ce8da
"8","1","100","1","91002"
"8","2","100","2","91002"
"8","3","100","3","91002"
"8","4","100","4","91002"
"8","5","100","5","91002"
"2","6","500","6","23003"
"4","7","100","7","140001"
"2","8","1","8","21953"
"2","9","500","9","23003"
"2","10","100","10","25001"
"2","11","100","11","90005"
"2","12","1","12","41000"
"2","13","500","13","23003"
"2","14","10000","14","25011"
"2","15","10000","15","25012"
"2","16","10000","16","25013"
"2","17","10000","17","25014"
"2","18","10000","18","25015"
"2","19","5000","19","25021"
"2","20","1","20","25101"
"2","21","100","21","23003"
"2","22","10000","22","25011"
"2","23","10000","23","25012"
"2","24","10000","24","25013"
"2","25","10000","25","25014"
"2","26","10000","26","25015"
"2","27","5000","27","25021"
"8","28","100","28","91002"
"2","29","150","29","23003"
"2","30","150","30","23003"
"2","31","150","31","23003"
"2","32","150","32","23003"
"2","33","150","33","23003"
"2","34","150","34","23003"
"2","35","50000","35","26202"
"2","36","50000","36","26202"
"2","37","1","37","26203"
"2","38","50000","38","26202"
"2","39","50000","39","26202"
"2","40","1","40","26203"
"2","41","50000","41","26202"
"2","42","50000","42","26202"
"2","43","1","43","26203"
"2","44","50000","44","26202"
"2","45","50000","45","26202"
"2","46","1","46","26203"
"2","47","50000","47","26202"
"2","48","50000","48","26202"
"2","49","1","49","26203"
