a6c55c633996b5e0f3bf25e588eb6b0393a27ecf8b3a348d2a49fa4713895a40,5911da6497f7c25888a1fe0b551b8d9bdbb82972714c7396c5d1563073bfe78e,ace0fe2aa2fb97353416840c9d8a7bbea7a0cbdadf4bb8f2c2c420b67f8356e3,75c3d9f5f27f7e54951d5a2a32572a1f4f77f0fa7b0eb34f98cf30b753bbb931,6c34ab826c5373fcc4d36273e8b5641ceb33c578ca74589c4c654908aa10e708,1c2cdf959f231ec52bdc42b289e1e5ddb7ad8518c5966effb8d9a48a21e9ac9e,38f72405854b2263ac8d3eb1d15bea58de745e00e97855e285a6459e4fac1120,ff6aeddbca955ce5d9f322eef0617ebc5d35ca09aa6212c0a3aa92733a6b2984,c8473d1cf18d35e7b4000b3faebd44566421c1aa52c0a9f3418c5c0b768827ca,a2d65f1ef4d4aaf19b4a6a0691256a4c77e3900a7c7850cea22f5b877749544a,93718fc4972979a294a29de85f868a92754b5264744704338fbc70d51d7e00de,1b1ffd10dfa5d098c1d6f73d66da0d22f752c8f9c3e5d73a81b9c989d234c254,b744d7d62b3ffbdd204b2f00295ab8a3136e901a8f91a956a921a9d81e384ee7
"0","0","10010001","0","0","1","57","0","1","10010484","0","0","0"
"1","0","10010099","0","0","1","59","0","2","10010100","0","0","10010674"
"10001","0","10010100","0","0","1","58","0","11","10010101","0","0","10010099"
"0","0","10010101","0","0","1","57","0","12","10010102","0","0","10010100"
"1","0","10010102","0","0","1","56","0","2","10010103","0","0","10010101"
"2","0","10010103","0","0","1","55","0","2","10010104","0","0","10010102"
"0","0","10010104","0","0","1","54","0","4","10010105","0","0","10010103"
"1","0","10010105","0","0","1","53","0","3","10010106","0","0","10010104"
"0","0","10010106","0","0","1","52","0","12","10010107","0","0","10010105"
"0","0","10010107","0","0","1","51","0","5","10010559","0","0","10010106"
"2","0","10010110","0","0","1","48","0","2","10010111","0","0","10010560"
"0","0","10010111","0","0","1","47","0","6","10010561","0","0","10010110"
"3","0","10010113","0","0","1","45","0","2","10010114","0","0","10010561"
"10001","0","10010114","0","0","1","44","0","11","10010562","0","0","10010113"
"0","0","10010116","0","0","1","42","0","4","10010117","0","0","10010562"
"0","0","10010117","0","0","1","41","0","6","10010118","0","0","10010116"
"3","0","10010118","0","0","1","40","0","3","10010563","0","0","10010117"
"10001","0","10010119","0","0","1","49","0","11","10010120","0","0","10010559"
"0","0","10010120","0","0","1","48","0","4","10010121","0","0","10010119"
"3","0","10010121","0","0","1","47","0","2","10010565","0","0","10010120"
"2","0","10010123","0","0","1","45","0","2","10010566","0","0","10010565"
"10003","0","10010125","0","0","1","43","0","7","10010126","0","0","10010566"
"0","0","10010126","0","0","1","42","0","4","10010127","0","0","10010125"
"10001","0","10010127","0","0","1","41","0","7","10010128","0","0","10010126"
"2","0","10010128","0","0","1","40","0","2","10010563","0","0","10010127"
"10001","0","10010130","0","0","1","38","0","7","10010131","0","0","10010563"
"0","0","10010131","0","0","1","37","0","6","10010132","0","0","10010130"
"10001","0","10010132","0","10010702","1","36","0","11","10010701","0","0","10010131"
"0","0","10010153","0","0","1","34","0","12","10010705","0","0","10010701"
"5","0","10010158","0","0","1","29","0","14","10010161","0","0","10010708"
"0","0","10010161","0","0","1","28","0","4","10010162","0","0","10010158"
"2","0","10010162","0","0","1","27","0","2","10010163","0","0","10010161"
"1","0","10010163","0","0","1","26","0","3","10010164","0","0","10010162"
"3","0","10010164","0","0","1","25","0","14","10010165","0","0","10010163"
"10001","0","10010165","0","0","1","24","0","11","10010166","0","0","10010164"
"0","0","10010166","0","0","1","23","0","12","10010167","0","0","10010165"
"2","0","10010167","0","0","1","22","0","3","10010568","0","0","10010166"
"10002","0","10010169","0","0","1","20","0","7","10010570","0","0","10010568"
"2","0","10010173","0","0","1","18","0","3","10010174","0","0","10010570"
"10001","0","10010174","0","0","1","17","0","7","10010175","0","0","10010173"
"0","0","10010175","0","0","1","16","0","4","10010176","0","0","10010174"
"1","0","10010176","0","0","1","15","0","2","10010177","0","0","10010175"
"2","0","10010177","0","0","1","14","0","2","10010178","0","0","10010176"
"2","0","10010178","0","0","1","13","0","3","10010179","0","0","10010177"
"0","0","10010179","0","0","1","12","0","12","10010180","0","0","10010178"
"0","0","10010180","0","0","1","11","0","6","10010181","0","0","10010179"
"0","0","10010181","0","0","1","10","0","4","10010182","0","0","10010180"
"2","0","10010182","0","0","1","9","0","2","10010183","0","0","10010181"
"3","0","10010183","0","0","1","8","0","2","10010184","0","0","10010182"
"3","0","10010184","0","0","1","7","0","14","10010555","0","0","10010183"
"1","0","10010186","0","0","1","3","0","14","10010187","0","0","10010558"
"3","0","10010187","0","0","1","2","0","3","10010188","0","0","10010186"
"2","0","10010188","0","0","1","1","0","2","10010189","0","0","10010187"
"0","0","10010189","0","0","1","0","0","13","10010190","0","0","10010188"
"0","0","10010190","0","0","1","60","0","12","10010191","0","0","10010189"
"0","0","10010191","0","0","1","59","0","6","10010192","0","0","10010190"
"1","0","10010192","0","0","1","58","0","3","10010193","0","0","10010191"
"10001","0","10010193","0","0","1","57","0","7","10010194","0","0","10010192"
"0","0","10010194","0","0","1","56","0","5","10010195","0","0","10010193"
"2","0","10010195","0","0","1","55","0","3","10010196","0","0","10010194"
"10001","0","10010196","0","0","1","54","0","11","10010197","0","0","10010195"
"0","0","10010197","0","0","1","53","0","4","10010198","0","0","10010196"
"1","0","10010198","0","0","1","52","0","2","10010199","0","0","10010197"
"2","0","10010199","0","0","1","51","0","14","10010200","0","0","10010198"
"1","0","10010200","0","0","1","50","0","2","10010201","0","0","10010199"
"1","0","10010201","0","10010716","1","49","0","3","10010214","0","0","10010200"
"0","0","10010214","0","0","1","48","0","4","10010215","0","0","10010201"
"0","0","10010215","0","0","1","47","0","12","10010710","0","0","10010214"
"10001","0","10010218","0","0","1","44","0","11","10010219","0","0","10010711"
"2","0","10010219","0","0","1","43","0","2","10010220","0","0","10010218"
"0","0","10010220","0","0","1","42","0","4","10010221","0","0","10010219"
"2","0","10010221","0","0","1","41","0","3","10010222","0","0","10010220"
"1","0","10010222","0","0","1","40","0","2","10010223","0","0","10010221"
"2","0","10010223","0","0","1","39","0","2","10010224","0","0","10010222"
"0","0","10010224","0","0","1","38","0","4","10010225","0","0","10010223"
"10002","0","10010225","0","0","1","37","0","7","10010226","0","0","10010224"
"10001","0","10010226","0","0","1","36","0","11","10010227","0","0","10010225"
"4","0","10010227","0","0","1","35","0","14","10010228","0","0","10010226"
