f17f8b451b28765fab2fdaef5a5f2a1b997c65189adcef8530a72336b0d9c46d,d68ec02e807ffd3e345104c887cca8b88553413d6fff741fdb7512c8f2644df9,55305395e20561cd09a8c70030daa7de4087918012b70f2193f82e8fed2e6b7f,2ac02d0b24b00133cd46a952e9ce6b00c014b4cd8230b566a49b5334e4d08dd4,9652b1afad84ba1415ff02ecbfa804168b66330d5f6d50397cc6013c858c53a7,dc2b3188c797363fe894a9a62b13f7a1401f3f8803abdec179bd844843cf1a3c,8a41c63c3da0cac3520f47e663c190c7f17863e2c1b09de87d8642305dda68ff,31fd280cd14bddd9809d4a17d3957a5b34aa85323a25960b72699a0c581b801b,77b6ad099219dab41c69c0c896f46a3b3cce3c6438a6ca15cf13254f49a28ea3,4ffc8d4d74d9c46aff7dc4f6bc7cbeda28222b9725af168aced427d15f344711,b23149678cd67fb8f9ea8c4bcf97d1538c1206afb666ef9e5cfb961d90d369e9,b306760c2d058f31d124d5420143afa77bdd4cc64e54ccabf6c63afb785886ec,7786c04d0045335b841855ff92995e8e205bd64edff7e2c8c30fb9f00c30a305
"3100101","31001_01","","","","","1","29","","","","",""
"3100101","31001_03","","","","","30","59","","","","",""
"3100101","31001_05","","","","","60","-1","","","","",""
"3100102","31001_01","","","","","1","29","","","","31001_01",""
"3100102","31001_03","","","","","30","59","","","","31001_03",""
"3100102","31001_05","","","","","60","-1","","","","31001_05",""
"3100103","31001_01","","","","","1","29","","","31001_01","31001_01",""
"3100103","31001_03","","","","","30","59","","","31001_03","31001_03",""
"3100103","31001_05","","","","","60","-1","","","31001_05","31001_05",""
"3100104","31001_01","","31001_01","","","1","29","","","31001_01","31001_01",""
"3100104","31001_03","","31001_03","","","30","59","","","31001_03","31001_03",""
"3100104","31001_05","","31001_05","","","60","-1","","","31001_05","31001_05",""
"3100201","61004_01","","","","","1","289","","","","61004_02",""
"3100201","61004_03","","","","","290","299","","","","61004_04",""
"3100201","61004_05","","","","","300","309","","","","61004_06",""
"3100201","61004_07","","","","","310","319","","","","61004_08",""
"3100201","61004_09","","","","","320","329","","","","61004_10",""
"3100201","61004_11","","","","","330","339","","","","61004_12",""
"3100201","61004_13","","","","","340","349","","","","61004_14",""
"3100201","61004_15","","","","","350","359","","","","61004_16",""
"3100201","61004_17","","","","","360","-1","","","","61004_18",""
