4e85f94ca3be2e4aaf0f77523d54990c955c1df663c56934f400c6fa592aed71,870859b6fa5a68924c268666fc00a6094875bcfdb1f714be39e494676cf4f6e1,7c80d83f38fe7ef0141bcb29f33a337851b04c42720249bc0bf6239379a7d7e2,af9f057b63d8a10d8295182b6dfb09b10d18545d8ff55197ce72039ce023be2e
"1","スロウ","1","8"
"2","ヘイスト","2","8"
"3","麻痺","3","8"
"4","凍結","4","8"
"5","束縛","5","8"
"6","睡眠","6","8"
"7","スタン","7","8"
"8","石化","8","8"
"9","拘留","9","8"
"0","拘留(ダメージ)","10","9"
"1","毒","11","9"
"2","火傷","12","9"
"3","呪い","13","9"
"0","魅了","14","11"
"-1","暗闇","15","12"
"-1","沈黙","16","13"
"-1","即死","17","30"
"-1","ノックバック","18","3"
"1","混乱","19","11"
"4","猛毒","20","9"
"-1","千里眼","21","56"
"-1","回復阻害","22","59"
"-1","恐慌","23","61"
"-1","刻印付与","24","60"
"-1","畏怖","25","62"
"-1","トナカイ化","26","69"
"10","気絶","27","8"
"5","呪詛","28","9"
"-1","ＨＰ変化","29","70"
"11","時間停止","30","8"
"-1","ＨＰ回復量減少","31","76"
"-1","弱体被ダメージ上昇","32","78"
"1","行動時毒ダメージ","33","79"
"14","スタン（別枠）","34","8"
"7","毒（別枠）","35","9"
"8","呪い（別枠）","36","9"
"2","混乱（別枠）","37","11"
"13","結晶化","38","8"
"1","スロウ(加算可能)","39","83"
"2","ヘイスト(加算可能)","40","83"
"3","バフ消去","41","49"
"10","バリア消去","42","49"
"9","黒炎","43","9"
"2","ヘイストフィールド","44","99"
"1","スロウフィールド","45","99"
"20","バフ消去（指定）","46","49"
"5","殴り刻印（攻撃ヒット）","47","101"
"10","行動時界雷ダメージ","48","79"
"9","状態異常時間延長","49","112"
"1","執着状態","50","116"
"15","アラクネ拘束","51","117"
"3","操糸","52","11"
