9bcc9169852c0e5c56749890c3ac3061bd848e1c0f7fccf71fd56a1f57b4664a,4b6df8d9487f9c27a6072d821c62a6a8db59c2e062f1190aa3dfbd63bb9389de,366e2047ee9aecd67b2556dd408f6ab2fc0e2dfaa6db3b86479b3ab19c0d192b,f8c8a6a3d956d83990300639d4341a9d1c56ba9898f69238376a7f32c3c16978,745cea0ad4a20c99da2f37711931521b95e62907c7a918fc5a8f8043a1de722b,818567345c91555b4f3e9baa82035129a3819432bffbb5885837248b5e67affa,bc3c9cabc262df2854c51fb4a20eb0bb14f442bc34962b8a411cedfb9a28aa10,0cfc280fe40e842e9b1117a2ce787b785f33ea00d79e81c60c9b6a750d6bf4ad
"0","0","0","0","1","0","0","1"
"0","0","0","0","2","0","0","2"
"0","0","0","0","3","0","0","3"
"0","0","0","0","4","0","0","4"
"0","0","0","0","5","0","0","5"
"0","0","0","0","6","0","0","6"
"0","0","0","0","7","0","0","7"
"0","0","0","0","8","0","0","8"
"0","0","0","1","0","0","0","9"
"0","0","1","0","0","0","0","10"
"0","0","0","0","11","0","0","11"
"0","0","0","0","12","0","0","12"
"0","1","0","0","0","0","0","13"
"0","0","0","0","0","0","0","14"
"0","0","0","0","0","0","0","15"
"1","0","0","0","0","0","0","16"
"0","0","0","0","0","10056","0","17"
"0","0","0","0","0","0","0","18"
"0","0","0","0","19","0","0","19"
"0","0","0","0","0","10061","0","20"
"0","0","0","0","0","0","0","21"
"0","0","0","0","0","0","0","22"
"0","0","0","0","0","0","23","23"
"0","0","0","0","0","0","0","24"
"0","0","0","0","25","0","0","25"
"0","0","0","0","0","10088","0","26"
"0","0","0","0","0","10102","0","27"
"0","0","0","0","28","0","0","28"
"0","0","0","0","0","30001","0","29"
"0","0","0","0","30","0","0","30"
