17a140d95a091efd999cb1954ccf40ef702e40f963b3dfe48353c33238222a75,b8650164d7740fd2d1d8b0ecf42118592f01f170404b10941b1a69f4821fa534,1fc93b156c938db7af647e2a769207841e84ac68c60bcd3bf8809a3bcba72062,c043a45507ca275a1398a8342658ac88c8c06185fd8d260c1e6dc060663df50f,a9e665057dcec7f13dcd780eb515de33d4e36f0b5e9fb9c857ce59f2b0151c12,6bfc87f3a88140e412666976c47482a7bb7d42507be7d4163bf2b78e0bbf9f0e,8c3231ced43a67b71caebd845140b5a6a82ef482cadb777369cbcb7a9a1f9cce,7bf28cb68686cb46bbd2eeb374066dd524fc738ee6c3473ac31377cc0555fa87,cb58d673e6df4fa4baa1c0b9dfabb5aba09893120ea128d8116fc08424c18856,88dbb452d51029b51359fcac043dfc0f95d92eaf17f52429523f29b46dee3c90,3eb3091386315e5021c96508d651bad9b3d0362dedcc8eb6bd68d1089b2dad48
"0","100","100211","0","1002011","1.7","mhp_sit_idle","0","1","1","1002011001"
"","1","mhp_sit_talk_memory","","1002011","0.2","","","100211","3","1002011002"
"","0","vo_mhp_0401","","1002011","","","0","vo_mhp","21","1002011003"
"0","6","ミツキさんと会うの\n久しぶりだな\nちょっと楽しみ♪","0","1002011","0","0","0","100211","11","1002011004"
"","","","","1002011","","","","0","91","1002011005"
"","1","mhp_sit_idle_memory","","1002011","0.2","","","100211","3","1002011006"
"0","100","100211","0","1002012","1.7","mhp_sit_idle","0","1","1","1002012001"
"","1","mhp_sit_talk_sad","","1002012","0.2","","","100211","3","1002012002"
"","0","vo_mhp_0402","","1002012","","","0","vo_mhp","21","1002012003"
"0","5","はぁ…なにか悪い\n病気だったら\nどうしよう…","0","1002012","0","0","0","100211","11","1002012004"
"","","","","1002012","","","","0","91","1002012005"
"","1","mhp_sit_idle_sad","","1002012","0.2","","","100211","3","1002012006"
"0","100","100211","0","1002013","1.7","mhp_sit_idle","0","1","1","1002013001"
"","1","mhp_yui_sit_talk_wish","","1002013","0.2","","","100211","3","1002013002"
"","0","vo_mhp_0403","","1002013","","","0","vo_mhp","21","1002013003"
"0","4","ついに診察結果が…\nド、ドキドキ\nしてきちゃった…！","0","1002013","0","0","0","100211","11","1002013004"
"","","","","1002013","","","","0","91","1002013005"
"","1","mhp_sit_idle_sad","","1002013","0.2","","","100211","3","1002013006"
"0","100","100211","-240","1007401","1.7","mhp_idle_normal","-1000","1","1","1007401001"
"1","100","117531","-220","1007401","1.7","mhp_sit_idle","185","1","1","1007401002"
"1","100","117631","-200","1007401","1.7","mhp_sit_idle","365","1","1","1007401003"
"","-240","1","0.85","1007401","1","","-154","1","31","1007401004"
"","-230","123","0.85","1007401","0","","-18","23","31","1007401005"
"0","110","11","-220","1007401","1.7","NoItem","-200","1","5","1007401006"
"0","105","12","-220","1007401","1.7","NoItem","-200","1","5","1007401007"
"1","110","21","-220","1007401","1.7","NoItem","185","1","5","1007401008"
"1","105","22","-220","1007401","1.7","NoItem","185","1","5","1007401009"
"0","1","1","0","1007401","0","","1","11","6","1007401010"
"0","1","1","0","1007401","0","","1","12","6","1007401011"
"0","1","1","0","1007401","0","","1","21","6","1007401012"
"0","1","1","0","1007401","0","","1","22","6","1007401013"
"0","110","31","-220","1007401","1.7","NoItem","-1000","1","5","1007401014"
"","","","","1007401","","","","0","91","1007401015"
"","1","mhp_sit_talk_normal","","1007401","0.2","","","117531","3","1007401016"
"","0","vo_mhp_4001","","1007401","","","0","vo_mhp_1007401","21","1007401017"
"0","8","次の方どうぞー","0","1007401","0","0.5","0","117531","11","1007401018"
"","","","","1007401","","","","0","91","1007401019"
"","1","mhp_sit_idle","","1007401","0.2","","","117531","3","1007401020"
"","1","mhp_anna_walk_sad","","1007401","0.2","","","100211","3","1007401021"
"","-220","-200","0","1007401","","","4","100211","2","1007401022"
"","1","NoItem","","1007401","0.2","","","31","3","1007401023"
"","-220","-200","0","1007401","","","4","31","2","1007401024"
"","","","","1007401","","","","0","91","1007401025"
"0.2","0","mhp_sit_in_sad","1","1007401","0.2","","mhp_sit_idle_sad","100211","3","1007401026"
"","","","","1007401","","","","1","93","1007401027"
"","1","mhp_sit_talk_sad","","1007401","0.2","","","100211","3","1007401028"
"","0","vo_mhp_4002","","1007401","","","0","vo_mhp_1007401","21","1007401029"
"0","7","え、ええっと……ご無沙汰してます。","0","1007401","0","0.5","1","100211","11","1007401030"
"","","","","1007401","","","","0","91","1007401031"
"","1","mhp_sit_idle_sad","","1007401","0.2","","","100211","3","1007401032"
