52f056051a146cd06f8708df1de4449dcc755e8856ded9a309ebf1665653c6ba,7e075dca8e9ee7f959d4544698758cee252df8e552455b957d9f083d205f3213,b452a1a51033a50f39a49a57752d87fecc7adf83f9515b3dc34d2b8e82e64fd8
"1","175000001","75000001"
"2","175000002","75000002"
"3","175000003","75000003"
"4","175000004","75000004"
"5","175000005","75000005"
"6","175000006","75000006"
"7","175000007","75000007"
"8","175000008","75000008"
"9","175000009","75000009"
"10","175000010","75000010"
"11","175000011","75000011"
"12","175000012","75000012"
