38a146bb2a3baef126beaaf64816016ca5b609178a4e6194fb054feeab038f44,39118badcddbe95ca620b6daf8bfb7f12ae475b51bc320480d9590d69525f6be,2d2b3d263a5e9e33c48096a8587a10fb2d7fd0c0e306749a3dafc81ca715e9f2,66f4aab3a407802af275b3d614de129dcc680d8a8f71d558f1082a9f95b2b815,260f5c388080f3783947e55f6723b7bfc06ecb510cc25c8fd0506566b3a3416f,d985df7894729aa3b81ace343bab9aee198ad130204a509c2f8be750733df9bd,53c6997b46cd5f5ce1c968aeb5ebd793a8114024c0c57d4bd8f1503a75707f74,d7cfe666b8c9e0668fad69ad94b1c863169ae30728bd95d31cb40aafa27da496,c5925af2c873b690f291aaa0aa158cbaf35bd035e453cbbdbde8df0a34c681ee,abc8963da08304602fddd98023bbdffe0126cf82ae0b1a0b0ad46e38a0cca445,bb1f8b698fc1a8cacde2bc04a4cbf834ecaf78786107f23f3cb19b67842f487f,4869a42452f7f657a07ecabb1abc1a18b9eb0033f0788897a278923aa82bbb7e
"1回バトルしよう","2022/12/23 11:59:59","31000101","10","0","7003","0","2022/12/16 12:00:00","1000","1","3","31000101"
"5回バトルしよう","2022/12/23 11:59:59","31000102","10","0","7003","0","2022/12/16 12:00:00","1000","5","3","31000102"
"10回バトルしよう","2022/12/23 11:59:59","31000103","10","0","7003","0","2022/12/16 12:00:00","1000","10","3","31000103"
"15回バトルしよう","2022/12/23 11:59:59","31000104","10","0","7003","0","2022/12/16 12:00:00","1000","15","3","31000104"
"20回バトルしよう","2022/12/23 11:59:59","31000105","10","0","7003","0","2022/12/16 12:00:00","1000","20","3","31000105"
"25回バトルしよう","2022/12/23 11:59:59","31000106","10","0","7003","0","2022/12/16 12:00:00","1000","25","3","31000106"
"30回バトルしよう","2022/12/23 11:59:59","31000107","10","0","7003","0","2022/12/16 12:00:00","1000","30","3","31000107"
"35回バトルしよう","2022/12/23 11:59:59","31000108","10","0","7003","0","2022/12/16 12:00:00","1000","35","3","31000108"
"40回バトルしよう","2022/12/23 11:59:59","31000109","10","0","7003","0","2022/12/16 12:00:00","1000","40","3","31000109"
"黒の王ジャバウォックに累積500万ダメージ与えよう","2022/12/23 11:59:59","31001101","10","3001","7004","0","2022/12/16 12:00:00","1001","5000000","3","31001101"
"黒の王ジャバウォックに累積750万ダメージ与えよう","2022/12/23 11:59:59","31001102","10","3001","7004","0","2022/12/16 12:00:00","1001","7500000","3","31001102"
"黒の王ジャバウォックに累積1000万ダメージ与えよう","2022/12/23 11:59:59","31001103","10","3001","7004","0","2022/12/16 12:00:00","1001","10000000","3","31001103"
"黒の王ジャバウォックに1度のバトルで250万ダメージ与えよう","2022/12/23 11:59:59","31001111","11","3001","7005","2500000","2022/12/16 12:00:00","1001","1","3","31001111"
"黒の王ジャバウォックに1度のバトルで500万ダメージ与えよう","2022/12/23 11:59:59","31001112","11","3001","7005","5000000","2022/12/16 12:00:00","1001","1","3","31001112"
"暴走のイノセントボウに累積500万ダメージ与えよう","2022/12/23 11:59:59","31001201","20","3002","7004","0","2022/12/16 12:00:00","1001","5000000","3","31001201"
"暴走のイノセントボウに累積750万ダメージ与えよう","2022/12/23 11:59:59","31001202","20","3002","7004","0","2022/12/16 12:00:00","1001","7500000","3","31001202"
