67627388f6c62d6dfd18fb9cc3a493f3e9c3278cbfe0159ee804c8ef1ffa673d,9bfd08f0ca8d543a53147a55d6adb42d52d4da619a7ad18503648f4e6c9d74a8,36c3fe110f6d5e481d8ed3ef5adf89cbad79d7f937f6fcf133402c866a863cd9,d1d75437e9ec5241fff096af657e27ed32b18f9ddc319a0f9840089706ebec51,386dbb12501c8d20373af5f08b44288e7678e607eb2a1521638aaf1f8c7a13cb,d7513e64077abd9d5432e91f92bee01acd472061a63653d46f863d74402dacc9,e19ef04f87b935fceffa513ba12a99e9e279335f8ebcb74e9900e3f7331b500e,2c10137b93919e1d53ac6dc27bfa95140cc4726a1b48be5bd4064628c4656d65,1907d12670ab4b38346fac5be3a720d4d4c84f6a80efc8fd49568725b1319fda,61372b500050bc1b6ac84d775b76db12b7bc0693e8dcc18ea89dcb9db22e2a9a,116adbc281b311a2a55aeccb321e5939a9c131345732ae73b66465b9ef753a8e
"-194","1.65","100","122611","1","sjr_talk_idle","1","40","1","1","1001"
"","0.2","1","sjr_talk_wish_look","1","","3","","","122611","1002"
"","","0","vo_minigame_1010_top_talk_1_001","1","","21","0","","vo_minigame_1010","1003"
"0","0","10","騎士クン…見ててね\nわたし、頑張って\n走るから…！","1","1","11","1","0","122611","1004"
"","","","","1","","91","","","0","1005"
"","0.2","1","sjr_talk_idle","1","","3","","","122611","1006"
"-194","1.65","100","122611","2","sjr_talk_idle","1","40","1","1","2001"
"","0.2","1","sjr_talk_mouth_hidden_shy","2","","3","","","122611","2002"
"","","0","vo_minigame_1010_top_talk_1_002","2","","21","0","","vo_minigame_1010","2003"
"0","0","7","水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…","2","1","11","1","0","122611","2004"
"","","","","2","","91","","","0","2005"
"","0.2","1","sjr_talk_idle","2","","3","","","122611","2006"
"-194","1.65","100","122611","3","sjr_talk_idle","1","40","1","1","3001"
"1","0.2","0","sjr_talk_stepback_surprise_worry","3","","3","sjr_talk_stepback_worry","0","122611","3002"
"","","0","vo_minigame_1010_top_talk_1_003","3","","21","0","","vo_minigame_1010","3003"
"0","0","8","あ、あの人すごく\n速そう…！\nわたし、勝てるかな…","3","1","11","1","0","122611","3004"
"","","","","3","","91","","","0","3005"
"","0.2","1","sjr_talk_idle","3","","3","","","122611","3006"
"-194","1.65","100","122611","4","sjr_talk_idle","1","40","1","1","4001"
"","0.2","1","sjr_talk_thinking_surprise","4","","3","","","122611","4002"
"","","0","vo_minigame_1010_top_talk_1_004","4","","21","0","","vo_minigame_1010","4003"
"0","0","6","変わったコースが\nいっぱいあるね\nどれに出ようかな…","4","1","11","1","0","122611","4004"
"","","","","4","","91","","","0","4005"
"","0.2","1","sjr_talk_idle","4","","3","","","122611","4006"
"-194","1.65","100","122611","5","sjr_talk_idle","1","40","1","1","5001"
"1","0.2","0","sjr_talk_guts2_anger","5","","3","sjr_talk_guts2_anger_loop","0","122611","5002"
"","","0","vo_minigame_1010_top_talk_1_005","5","","21","0","","vo_minigame_1010","5003"
"0","0","7","レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！","5","1","11","1","0","122611","5004"
"","","","","5","","91","","","0","5005"
"","0.2","1","sjr_talk_idle","5","","3","","","122611","5006"
"-194","1.65","100","122511","6","sjr_talk_idle","1","40","1","1","6001"
"1","0.2","0","sjr_talk_arm_crossed_joy_look","6","","3","sjr_talk_arm_crossed_look_loop","0","122511","6002"
"","","0","vo_minigame_1010_top_talk_1_006","6","","21","0","","vo_minigame_1010","6003"
"0","0","6","こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ","6","1","11","1","0","122511","6004"
"","","","","6","","91","","","0","6005"
"","0.2","1","sjr_talk_idle","6","","3","","","122511","6006"
"-194","1.65","100","122511","7","sjr_talk_idle","1","40","1","1","7001"
"","0.2","1","sjr_talk_mouth_hidden2_shy","7","","3","","","122511","7002"
"","","0","vo_minigame_1010_top_talk_1_007","7","","21","0","","vo_minigame_1010","7003"
"0","0","6","この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…","7","1","11","1","0","122511","7004"
"","","","","7","","91","","","0","7005"
"","0.2","1","sjr_talk_idle","7","","3","","","122511","7006"
"-194","1.65","100","122511","8","sjr_talk_idle","1","40","1","1","8001"
"","0.2","1","sjr_talk_mouth_hidden","8","","3","","","122511","8002"
"","","0","vo_minigame_1010_top_talk_1_008","8","","21","0","","vo_minigame_1010","8003"
"0","0","6","へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！","8","1","11","1","0","122511","8004"
"","","","","8","","91","","","0","8005"
"","0.2","1","sjr_talk_idle","8","","3","","","122511","8006"
"-194","1.65","100","122511","9","sjr_talk_idle","1","40","1","1","9001"
"","0.2","1","sjr_talk_stepback_surprise","9","","3","","","122511","9002"
"","","0","vo_minigame_1010_top_talk_1_009","9","","21","0","","vo_minigame_1010","9003"
"0","0","6","コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな","9","1","11","1","0","122511","9004"
"","","","","9","","91","","","0","9005"
"","0.2","1","sjr_talk_idle","9","","3","","","122511","9006"
"-194","1.65","100","122511","10","sjr_talk_idle","1","40","1","1","10001"
"","0.2","1","sjr_talk_thinking_blink","10","","3","","","122511","10002"
"","","0","vo_minigame_1010_top_talk_1_010","10","","21","0","","vo_minigame_1010","10003"
"0","0","5","ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か","10","1","11","1","0","122511","10004"
"","","","","10","","91","","","0","10005"
"","0.2","1","sjr_talk_idle","10","","3","","","122511","10006"
"-194","1.65","100","122411","11","sjr_talk_idle","1","40","1","1","11001"
"1","0.2","0","sjr_talk_eieio","11","","3","sjr_talk_eieio_loop","0","122411","11002"
"","","0","vo_minigame_1010_top_talk_1_011","11","","21","0","","vo_minigame_1010","11003"
"0","0","6","準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！","11","1","11","1","0","122411","11004"
"","","","","11","","91","","","0","11005"
"","0.2","1","sjr_talk_idle","11","","3","","","122411","11006"
"-194","1.65","100","122411","12","sjr_talk_idle","1","40","1","1","12001"
"","0.2","1","sjr_talk_arm_opened_wink","12","","3","","","122411","12002"
"","","0","vo_minigame_1010_top_talk_1_012","12","","21","0","","vo_minigame_1010","12003"
"0","0","6","えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！","12","1","11","1","0","122411","12004"
"","","","","12","","91","","","0","12005"
"","0.2","1","sjr_talk_idle","12","","3","","","122411","12006"
"-194","1.65","100","122411","13","sjr_talk_idle","1","40","1","1","13001"
"1","0.2","0","sjr_talk_doya","13","","3","sjr_talk_doya_loop","0","122411","13002"
"","","0","vo_minigame_1010_top_talk_1_013","13","","21","0","","vo_minigame_1010","13003"
"0","0","8","あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪","13","1","11","1","0","122411","13004"
"","","","","13","","91","","","0","13005"
"","0.2","1","sjr_talk_idle","13","","3","","","122411","13006"
"-194","1.65","100","122411","14","sjr_talk_idle","1","40","1","1","14001"
"1","0.2","0","sjr_talk_watch_arm_opened","14","","3","sjr_talk_swing_joy","0","122411","14002"
"","","0","vo_minigame_1010_top_talk_1_014","14","","21","0","","vo_minigame_1010","14003"
"0","0","7","どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！","14","1","11","1","0","122411","14004"
"","","","","14","","91","","","0","14005"
"","0.2","1","sjr_talk_idle","14","","3","","","122411","14006"
"-194","1.65","100","122411","15","sjr_talk_idle","1","40","1","1","15001"
"","0.2","1","sjr_talk_wish_doya","15","","3","","","122411","15002"
"","","0","vo_minigame_1010_top_talk_1_015","15","","21","0","","vo_minigame_1010","15003"
"0","0","7","ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！","15","1","11","1","0","122411","15004"
"","","","","15","","91","","","0","15005"
"","0.2","1","sjr_talk_idle","15","","3","","","122411","15006"
"-194","1.65","100","122611","16","sjr_talk_idle","1","72","1","1","16001"
"-194","1.65","100","122511","16","sjr_talk_idle","1","-72","0","1","16002"
"","0.2","1","sjr_talk_wish_doya","16","","3","","","122611","16003"
"","","0","vo_minigame_1010_top_talk_2_001","16","","21","0","","vo_minigame_1010","16004"
"0","0","5","レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから","16","1","11","1","0","122611","16005"
"","","","","16","","91","","","0","16006"
"","0.2","1","sjr_talk_idle","16","","3","","","122611","16007"
"1","0.2","0","sjr_talk_arm_crossed_normal_joy","16","","3","sjr_talk_arm_crossed_joy_loop","0","122511","16008"
"","","0","vo_minigame_1010_top_talk_2_002","16","","21","0","","vo_minigame_1010","16009"
"0","0","6","ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう","16","0.5","11","1","0","122511","16010"
"","","","","16","","91","","","0","16011"
"","0.2","1","sjr_talk_idle","16","","3","","","122511","16012"
"-194","1.65","100","122611","17","sjr_talk_idle","1","72","1","1","17001"
"-194","1.65","100","122511","17","sjr_talk_idle","1","-72","0","1","17002"
