ece959d9370568c25fa0b596908afeddc19a0a6813f8cde633e37d9bc006ccdc,d99016e448123db125f053e1d73744de46f000d3288e7be3b3f03b119e70a37f,90f22c8d44fc6405dbf80cd1f76aed44314222554212fe698c2c011e08e963c7,ee44c64823b423d7d9a7a1550790bc0a081973192744ca6d4a2f27631928d070,96edc4ca3736bbe50750e45f1b817b414de685361dbfe9dfaf8ed5333e60e769,9ab4690953372b5bda720aaa71f55eea04ca2e6857d75d4712d02f1befaa5ba4,6ca20774c5505744ab43860203dfd7bbf154a70a1c96f4c3f4061c89bacb43a9,865c36925de503ed196e86526795305d7dba9c0ff32350291edf290ee71a13fe,da86169bf752cc7b34565162b5e4eaccf9553e14b2bf9f7975e1b21cda8b5406,22e232ed6c334c4d913ad7ce8dc4369d177a8b67f4c90f53034741814eba6424,264cc65680748899a362da9491ddbe3b6a612d4292ae24b5bd502f12cab30920
"1","0","7000","1回バトルしよう","10","2021/08/24 11:59:59","2021/08/17 12:00:00","1000","10000101","10000101","0"
"5","0","7000","5回バトルしよう","10","2021/08/24 11:59:59","2021/08/17 12:00:00","1000","10000102","10000102","0"
"10","0","7000","10回バトルしよう","10","2021/08/24 11:59:59","2021/08/17 12:00:00","1000","10000103","10000103","0"
"15","0","7000","15回バトルしよう","10","2021/08/24 11:59:59","2021/08/17 12:00:00","1000","10000104","10000104","0"
"20","0","7000","20回バトルしよう","10","2021/08/24 11:59:59","2021/08/17 12:00:00","1000","10000105","10000105","0"
"25","0","7000","25回バトルしよう","10","2021/08/24 11:59:59","2021/08/17 12:00:00","1000","10000106","10000106","0"
"30","0","7000","30回バトルしよう","10","2021/08/24 11:59:59","2021/08/17 12:00:00","1000","10000107","10000107","0"
"35","0","7000","35回バトルしよう","10","2021/08/24 11:59:59","2021/08/17 12:00:00","1000","10000108","10000108","0"
"40","0","7000","40回バトルしよう","10","2021/08/24 11:59:59","2021/08/17 12:00:00","1000","10000109","10000109","0"
"3000000","0","7001","ミソラに累積300万ダメージ与えよう","50","2021/08/24 11:59:59","2021/08/17 12:00:00","1005","10050501","10050501","1005"
"9000000","0","7001","ミソラに累積900万ダメージ与えよう","50","2021/08/24 11:59:59","2021/08/17 12:00:00","1005","10050502","10050502","1005"
"15000000","0","7001","ミソラに累積1500万ダメージ与えよう","50","2021/08/24 11:59:59","2021/08/17 12:00:00","1005","10050503","10050503","1005"
"1","1000000","7002","ミソラに1度のバトルで100万ダメージ与えよう","51","2021/08/24 11:59:59","2021/08/17 12:00:00","1005","10050511","10050511","1005"
"1","3000000","7002","ミソラに1度のバトルで300万ダメージ与えよう","51","2021/08/24 11:59:59","2021/08/17 12:00:00","1005","10050512","10050512","1005"
"5000000","0","7001","ランファに累積500万ダメージ与えよう","60","2021/08/24 11:59:59","2021/08/17 12:00:00","1006","10060601","10060601","1006"
"15000000","0","7001","ランファに累積1500万ダメージ与えよう","60","2021/08/24 11:59:59","2021/08/17 12:00:00","1006","10060602","10060602","1006"
"24000000","0","7001","ランファに累積2400万ダメージ与えよう","60","2021/08/24 11:59:59","2021/08/17 12:00:00","1006","10060603","10060603","1006"
"1","2000000","7002","ランファに1度のバトルで200万ダメージ与えよう","61","2021/08/24 11:59:59","2021/08/17 12:00:00","1006","10060611","10060611","1006"
"1","5000000","7002","ランファに1度のバトルで500万ダメージ与えよう","61","2021/08/24 11:59:59","2021/08/17 12:00:00","1006","10060612","10060612","1006"
"3000000","0","7001","アゾールドに累積300万ダメージ与えよう","70","2021/08/24 11:59:59","2021/08/17 12:00:00","1007","10070701","10070701","1007"
"9000000","0","7001","アゾールドに累積900万ダメージ与えよう","70","2021/08/24 11:59:59","2021/08/17 12:00:00","1007","10070702","10070702","1007"
"15000000","0","7001","アゾールドに累積1500万ダメージ与えよう","70","2021/08/24 11:59:59","2021/08/17 12:00:00","1007","10070703","10070703","1007"
"1","1000000","7002","アゾールドに1度のバトルで100万ダメージ与えよう","71","2021/08/24 11:59:59","2021/08/17 12:00:00","1007","10070711","10070711","1007"
"1","3000000","7002","アゾールドに1度のバトルで300万ダメージ与えよう","71","2021/08/24 11:59:59","2021/08/17 12:00:00","1007","10070712","10070712","1007"
"5000000","0","7001","カリザに累積500万ダメージ与えよう","80","2021/08/24 11:59:59","2021/08/17 12:00:00","1008","10080801","10080801","1008"
"15000000","0","7001","カリザに累積1500万ダメージ与えよう","80","2021/08/24 11:59:59","2021/08/17 12:00:00","1008","10080802","10080802","1008"
"24000000","0","7001","カリザに累積2400万ダメージ与えよう","80","2021/08/24 11:59:59","2021/08/17 12:00:00","1008","10080803","10080803","1008"
"1","2000000","7002","カリザに1度のバトルで200万ダメージ与えよう","81","2021/08/24 11:59:59","2021/08/17 12:00:00","1008","10080811","10080811","1008"
"1","5000000","7002","カリザに1度のバトルで500万ダメージ与えよう","81","2021/08/24 11:59:59","2021/08/17 12:00:00","1008","10080812","10080812","1008"
