40a6443ddfcee76bcde956efa00afcc0c4aef45ddd6f75193eee08f343f8f15f,df24063f131bc3cb3c0336bf2e74bdd59227770b4155241174085a5ba59cf04f,5079864a54594f626382ebdd6c82191dd1ae675a8089bee200241f9af6ba21ba,b779d87d03a87b6a0b5885075ba4269d4c74c3caecea4f4db0e982f70e1b577e,471b147c3d05e59d616d8577a4fe1d4d198216f3460932d03370c90aee79ae36,1de487c0ae39f73bcf32017b9d0f124c280ed6ae19bae5df82c4f997bbd08464,70c72f33b4a85f8f2c36ff094934e57232351781d2669bb937cddff85793f51f,f191c2c5b93a476183b3017a21d899d351eb2fad3459ee582768284f0fba9a4e,18fc0dea86013f09a2703b66abbe28b80c499c9bdf80c758ab2cbc1b21ecae78,43c666fbf94a9881bc42add2345b37ad502f715c543676f683fbb0a8494f8ecd,3826f0ae08000ec74401a19670bf3d01f29a7cbbac42cac4521ef24fc1781e04,9dac428aedbbc7a6438b0cc488669737575b83b3ca753e54bbce384d60d83d1e,48dad9e9d1b7d1d9c4de1a1dcae93c5b0c978502d44f206a993362d6c30b8eb6,e766e9362241e75d3f54009179b37acff8c4cd263e345b0cc4ff98585f12cb2d,5125063a55ea5b68435813fb3a145c93a29d2d714845d03a89188065cb0a9522
"アクダイカンを1体倒そう（NORMAL限定）","1004110","660014101","8006","0","9001","20014","1","99001001","2030/04/01 14:59:59","601","2015/04/01 15:00:00","0","1","99001001"
"アクダイカンを1体倒そう（HARD限定）","1004111","660014201","8007","0","9001","20014","1","99001002","2030/04/01 14:59:59","601","2015/04/01 15:00:00","0","1","99001002"
"アクダイカンを1体倒そう（VERY HARD限定）","1004112","660014301","8010","0","9001","20014","1","99001003","2030/04/01 14:59:59","601","2015/04/01 15:00:00","0","1","99001003"
"アクダイカンを1体倒そう（SPECIAL限定）","1004113","610041401","6011","0","9001","10041","1","99001004","2030/04/01 14:59:59","601","2015/04/01 15:00:00","0","1","99001004"
"ペテルギウスを1体倒そう（NORMAL限定）","1005310","610153101","6006","0","9001","10153","1","99001005","2030/04/01 14:59:59","601","2015/04/01 15:00:00","0","1","99001005"
"ペテルギウスを1体倒そう（HARD限定）","1005311","610153201","6007","0","9001","10153","1","99001006","2030/04/01 14:59:59","601","2015/04/01 15:00:00","0","1","99001006"
"ペテルギウスを1体倒そう（VERY HARD限定）","1005312","610153301","6010","0","9001","10153","1","99001007","2030/04/01 14:59:59","601","2015/04/01 15:00:00","0","1","99001007"
"ペテルギウスを1体倒そう（SPECIAL限定）","1005313","610153401","6011","0","9001","10153","1","99001008","2030/04/01 14:59:59","601","2015/04/01 15:00:00","0","1","99001008"
"雨神様を1体倒そう（NORMAL限定）","1004310","660015101","8006","0","9001","20015","1","99001009","2030/04/01 14:59:59","601","2015/04/01 15:00:00","0","1","99001009"
"雨神様を1体倒そう（HARD限定）","1004311","660015201","8007","0","9001","20015","1","99001010","2030/04/01 14:59:59","601","2015/04/01 15:00:00","0","1","99001010"
"雨神様を1体倒そう（VERY HARD限定）","1004312","660015301","8010","0","9001","20015","1","99001011","2030/04/01 14:59:59","601","2015/04/01 15:00:00","0","1","99001011"
"雨神様を1体倒そう（SPECIAL限定）","1004313","610043401","6011","0","9001","10043","1","99001012","2030/04/01 14:59:59","601","2015/04/01 15:00:00","0","1","99001012"
"マジムンを1体倒そう（NORMAL限定）","1004510","660016101","8006","0","9001","20016","1","99001017","2030/04/01 14:59:59","601","2015/04/01 15:00:00","0","1","99001017"
