458bc1ff4d3ea83c0ec88d464248bec73c2025cb57467ce0bfe032bb0f26e21b,384d28417097c1cec7ddfab59270dcd23468c1afaa1af3edfdff4d4e50430793,0142146024cf4ba8810d482afce97ade6f1f9052d92d35087bcc3113f17b66e2,e08541dc13785395f4a5bbf7dcd07df1598eab1f31eaf8a69749f808280d9142,6006638ac555ad781600d0648eb961155121d17bfde49ae91db602fa85c772f0
"28","27001","27001","2020/03/02 4:59:59","2020/02/15 15:00:00"
"33","27001","27002","2021/03/05 11:59:59","2021/02/15 23:00:00"
"42","27001","27003","2021/09/05 11:59:59","2021/08/15 15:00:00"
"43","27001","27004","2022/01/21 11:59:59","2021/12/31 12:00:00"
"44","27005","27005","2022/03/05 14:59:59","2022/02/15 15:00:00"
"55","27001","27006","2022/09/05 11:59:59","2022/08/15 15:00:00"
"81","27001","27007","2023/01/21 11:59:59","2022/12/31 12:00:00"
"82","27005","27008","2023/03/05 14:59:59","2023/02/15 15:00:00"
"85","27009","27009","2023/05/25 14:59:59","2023/04/30 12:00:00"
"113","27001","27010","2023/09/04 14:59:59","2023/08/15 15:00:00"
"115","27012","27012","2024/01/21 11:59:59","2023/12/31 12:00:00"
"118","27005","27013","2024/03/05 14:59:59","2024/02/15 00:00:00"
"119","27012","27014","2024/05/30 23:59:59","2024/04/30 12:00:00"
"127","27012","27015","2024/09/10 23:59:59","2024/08/15 15:00:00"
"138","27012","27016","2024/12/31 11:59:59","2024/12/20 5:30:00"
