104ddb2e11d101d34dc8a80c412933ab9df4e6f20db41bed60d518846d006d5e,86b5f074e4922d907b2ccfe6c7786955940f73e9b7f8db80793ca57d31646086,59c1dc7d3b12b094e9f15b0046ad428f233b7415254bab888eac8cb3241a1867,e2c005d1f7832f81d673fdfe04721a410d5eef001ec79ff46270ab264be6315c,2894934688d2fd4709bf19bd152fb5fc79521676b7cc3f2466e78f4088f15b27,eeeab343e92dd216e7250d67f85aab32f8ee6bf0a4a3c9a9a5149c28387cc543
"2","1","100","0","200",""
"300","2","101","2","200",""
"100207","200","200","7","201",""
"100206","201","200","6","100900",""
"302","300","300","0","301",""
"100301","301","301","0","302",""
"303","302","200","1","100910",""
"100201","303","200","2","100910",""
"0","100201","0","0","0","201"
"0","100206","0","0","0","206"
"0","100207","0","0","0","207"
"0","100301","0","0","0","301"
"0","100900","300","0","0","1"
"0","100901","0","0","0","1"
"0","100910","0","0","0","1,2000"
