0fd21f4291d9000d6063d39c76ac2ce00181c3ef1076107e576e39e6a0cce400,e59e2c9d9e36854214ac250934ee7af96ff177e303406de662f5915a4190fe9e,3a8ffc5761e99a02eee81e03ac5edb004cc689362821446a9d2b6d4e4bfc97ba,685d511901ac537db731457d653706f20aa0d9e97f815f9083eda028e9f38254,1cec97dc9bafd1c1c9d3592ba54213e38ca58a1207fd2a3cfe5ad9f0a93181ba,28692a52071d7f7668dcc3d7a0183aee4872e19eed6264356657fd04227af714,f69e8a9eff2e549c59cf90387e185581688f190254fe96dfb1bf92715514bf10
"10001","60002","2","5","1","10001","ハツネボックスガチャ"
"10002","60012","2","5","1","10002","リトル・リリカル・アドベンチャーズ討伐証交換"
"10004","60032","2","5","1","10004","デンジャラスバカンス！渚のグルメプリンセス"
"10005","60042","2","5","1","10005","タマキとミフユの無人島０ルピ生活"
"10006","60052","2","5","1","10006","黒鉄の亡霊"
"10007","60062","2","5","1","10007","トリックオアプリン！約束のハロウィンパーティー"
"10008","60072","2","5","1","10008","トワイライトブレイカーズ"
"10009","60082","2","5","1","10009","忘却のキャロル"
"10010","60092","2","5","1","10010","新春トゥインクルクライシス！"
"10011","60102","2","5","1","10011","バトルオブバレンタイン！想いぶつかるスウィートバトル"
"10012","60112","2","5","1","10012","王都の名探偵　嘆きの追跡者（ストーカー）"
"10013","60122","2","5","1","10013","アストルムに咲く双輪の華"
"10014","60132","2","5","1","10014","復刻ハツネのプレゼント大作戦"
"10015","60142","2","5","1","10015","ショーグン道中記　白翼のサムライ"
"10016","60152","2","5","1","10016","復刻リトル・リリカル・アドベンチャーズ！"
"10017","60162","2","5","1","10017","Re:ゼロから集まる異世界食卓"
"10018","60172","2","5","1","10018","復刻ヴァンパイアハンターwithイリヤ"
"10019","60182","2","5","1","10019","スズナレインボーステージ！"
"10020","60192","2","5","1","10020","復刻デンジャラスバカンス！渚のグルメプリンセス"
"10021","60202","2","5","1","10021","真夏のマホマホ王国 波打ち際のソウルサマー！"
"10022","60212","2","5","1","10022","タマキとミフユの無人島０ルピ生活"
"10023","60222","2","5","1","10023","森の臆病者と聖なる学舎の異端児"
"10024","60232","2","5","1","10024","黒鉄の亡霊（ナイトメア）"
"10025","60242","2","5","1","10025","リトル・ブレイブ・ハロウィンナイト！"
"10026","60252","2","5","1","10026","トリックオアプリン！約束のハロウィンパーティー"
"10027","60262","2","5","1","10027","ドラゴンエクスプローラーズ"
"10028","60272","2","5","1","10028","トワイライトブレイカーズ"
"10029","60282","2","5","1","10029","プレゼントパニック！　ランドソルのサンタたち"
"10030","60292","2","5","1","10030","忘却のキャロル"
"10031","60302","2","5","1","10031","激走！　ランドソルギルドレース"
"10032","60312","2","5","1","10032","新春トゥインクルクライシス！"
"10033","60322","2","5","1","10033","魔法少女　二人はミスティ＆ピュアリー"
"10034","60332","2","5","1","10034","バトルオブバレンタイン！　想いぶつかるスウィートバトル"
"10035","60342","2","5","1","10035","スターライトプリンセス　Re:M@STER！"
"10036","60342","2","5","1","10036","スターライトプリンセス　Re:M@STER！"
"10037","60362","2","5","1","10037","王都の名探偵　嘆きの追跡者（ストーカー）"
"10038","60372","2","5","1","10038","授けの財団と聖なる学舎の異端児"
"10039","60382","2","5","1","10039","アストルムに咲く双輪の華"
"10040","60392","2","5","1","10040","まきばの四農士　貧乏牧場奮闘記！"
"10041","60402","2","5","1","10041","ショーグン道中記　白翼のサムライ"
"10042","60412","2","5","1","10042","不思議の国のリノ　小さなアリスと希望の絵本"
"10043","60422","2","5","1","10043","スズナレインボーステージ！"
"10044","60432","2","5","1","10044","七夕剣客旅情譚　天に流れる夏の恋"
"10045","60442","2","5","1","10045","真夏のマホマホ王国 波打ち際のソウルサマー！"
"10046","60452","2","5","1","10046","ミサトサマーエール！　夢追う真夏のナイン"
"10047","60462","2","5","1","10047","森の臆病者と聖なる学舎の異端児"
"10048","60472","2","5","1","10048","ハッピー・チェンジ・エンジェルズ"
"10049","60482","2","5","1","10049","リトル・ブレイブ・ハロウィンナイト！"
"10050","60492","2","5","1","10050","響け！絶叫！ハロウィンゴーストフェスティバル"
"10051","60502","2","5","1","10051","ドラゴンエクスプローラーズ"
"10052","60512","2","5","1","10052","魔法提督ラブリー★モニカ レッツゴー！マジカルカルテット！"
"10053","60522","2","5","1","10053","Re:ゼロから集まる異世界食卓"
"10054","60532","2","6","1","10054","デビュタント・シャングリ・ラ　聖夜のラブゲーム"
"10055","60542","2","5","1","10055","プレゼントパニック！　ランドソルのサンタたち"
"10056","60552","2","6","1","10056","新春グルメプリンセス！　一投にかけた乙女たち"
"10057","60562","2","5","1","10057","激走！　ランドソルギルドレース"
"10058","60572","2","6","1","10058","絆、つないで。こころ、結んで。"
"10059","60572","2","6","1","10059","絆、つないで。こころ、結んで。"
"10060","60592","2","5","1","10060","魔法少女　二人はミスティ＆ピュアリー"
"10061","60602","2","6","1","10061","シンデレラレッスン　華やかなる日々はリンゴの味"
"10062","60612","2","5","1","10062","スターライトプリンセス　Re:M@STER！"
"10063","60612","2","5","1","10063","スターライトプリンセス　Re:M@STER！"
"10064","60632","2","6","1","10064","鋼の聖女と聖なる学舎の異端児"
"10065","60642","2","5","1","10065","授けの財団と聖なる学舎の異端児"
"10066","60652","2","6","1","10066","イノリＳＯＳ！！　タイムトラベル・ドラゴンズ"
"10067","60662","2","5","1","10067","まきばの四農士　貧乏牧場奮闘記！"
"10068","60672","2","6","1","10068","以心電心！アオイ トイ フレンズ"
"10069","60682","2","5","1","10069","不思議の国のリノ　小さなアリスと希望の絵本"
"10070","60692","2","6","1","10070","エンドレスサマープロデュース　真夏のふたり占めパラダイス"
"10071","60702","2","5","1","10071","七夕剣客旅情譚　天に流れる夏の恋"
"10072","60712","2","6","1","10072","カルミナサマーライブ　ジャストアモーメント！ "
"10073","60722","2","5","1","10073","ミサトサマーエール！　夢追う真夏のナイン"
