40616c2d4fa40301e309491e919b56a5c3b51143125317a1cad454f097815dd4,5b4bb684c707bdd687847d628faefac2d54153c2d25ac8deb807bb87f1a9ffa1,f6136435417e5780e2ce3def917b7e4e2836b26dac1c915a2ec0ffad32d6c8c0,ae08536d769784112317bce38e9d44afe95c6517267acefeecf627f0746a7a6a,f737cf936574c3a7c3f2df36b73897c4843457884be5fa5616fb29f10e54bdde,51a83d90d08a7c2a4731428165b2f5a6b3ca79b3489da6dc9bfd5a22dd745ecf,9c6f2cf1c7964775f62a1419ccde24d2959536571fa6e836645fe35c060ceae5,19cb6363a978e36086e2c8531905882d55a7335b4395eb61ee4196a4b754ba0a,6460ecca9b1d73f0ca32f03be1ace06dff5b563f666eee3517aa3fde35256d76,c773743926d39c4edda3dffa26e31e9dd2bab591aaee4528ad67f6135d24664d,f848e2e9d947448cfb029a2e7ed9132e18c9c5ac489e11fbda7c008dc5fb8b79,5721964ab759e7fe9dc0fc5d0f29c55da63f7238cebe1b8b3da21c8e1a083423,77fca163ac3adbf76f885b30772935a52b47f8d497019d9de6347cf7c77e95f0,ae898526e2c5531ddd1fdd09cc2439f7d1a2a9d0f6ae8a4d9dc241174c6195ce,af2c90624b7b0c0c9ba2666ebe5efa53e358351fcf58056c773f57bafd534f5c,e3aa87a564d6d23b42882675f941dcedecb5605dfeb33372893ed319d7d0e6d8,f385e7e794f5a7ca7970b52ab55586d8d884cf769b998092e9088fdcd6ed15a6,ed2effb4b3e70db46ea1fc8891b13acc237fb0fb9c7ba5b8ab2e4fa488916be9
"累計スコアを10000pt 獲得しよう","0","0","0","0","0","0","12","0","100000","0","10000","0","0","0","0","94002","1"
"累計スコアを20000pt 獲得しよう","0","0","0","0","0","0","8","0","50","0","20000","0","0","0","0","91002","2"
"累計スコアを30000pt 獲得しよう","0","0","0","0","0","0","12","0","100000","0","30000","0","0","0","0","94002","3"
"累計スコアを50000pt 獲得しよう","0","0","0","0","0","0","8","0","50","0","50000","0","0","0","0","91002","4"
"累計スコアを80000pt 獲得しよう","0","0","0","0","0","0","12","0","100000","0","80000","0","0","0","0","94002","5"
"累計スコアを100000pt 獲得しよう","0","0","0","0","0","0","12","0","100000","0","100000","0","0","0","0","94002","6"
"累計スコアを120000pt 獲得しよう","0","0","0","0","0","0","8","0","100","0","120000","0","0","0","0","91002","7"
"累計スコアを150000pt 獲得しよう","0","0","0","0","0","0","12","0","200000","0","150000","0","0","0","0","94002","8"
"累計スコアを200000pt 獲得しよう","0","0","0","0","0","0","12","0","200000","0","200000","0","0","0","0","94002","9"
"累計スコアを250000pt 獲得しよう","0","0","0","0","0","0","8","0","100","0","250000","0","0","0","0","91002","10"
"累計スコアを300000pt 獲得しよう","0","0","0","0","0","0","12","0","200000","0","300000","0","0","0","0","94002","11"
"累計スコアを350000pt 獲得しよう","0","0","0","0","0","0","12","0","200000","0","350000","0","0","0","0","94002","12"
"累計スコアを400000pt 獲得しよう","0","0","0","0","0","0","8","0","100","0","400000","0","0","0","0","91002","13"
