d29e23150b97f10f3875eab197d7f6f2512c2b3d74e1a8e03ec5432f8e02ec28,4f27c84b3710528a2506267d0a9ca83edb4f3bd5bbb036c0b0da77f57ba3d9e7,f28d19adfe6398727120956fd5f6a63b444ef45f08232a059ad9fd91f67d0e66,343d796fc6d5a95786d9173839dac5209ee345f01f0605f094e56dba86105c11,87901e7d05092a07a9dbe72b496e1e997d3c069e1b4ea50e8ed31b6814bae614,2f6a51eab7e1f4f3391ed856f09a4a4b91e5533d4c1a994f8d49074f730b5462,9fff765dbc1c713e09216bac05ec313d76fe07185fb5fee59fd52921c625bf11,08a3fe75fd02b1a7b9e4b9e7a05113af1d4ebbfc38fb7bfcbb0a8579aa3f5fba,0097af1278b3a17c35960d69219914353b79bbbd6a5a52d5099262a6cab2da19,84177d6427ee027b55782503534086bb9b29d2a6af0c23409ccd8ff44484388d,3b9f32270103866fd6417d75864ae85dac4f816b81f561908ef8b3f15f518347
"","","イ","","","","1082","","","",""
"","","オ","","","","1107","","","",""
"","","","","","","1176","","","","ツ"
"","","ー","ル","","","1189","","","ホ",""
"","","ゥー","","","","1192","","","",""
"","","イ","","","","1245","","","",""
"","ゃさ","","ちそ","","","1250","","","",""
"ナイト","ア","ト","メ","トメア","ナメア","2013","イトメ","ナイア","イ","ナ"
"ランド","ル","ラ","","ンドル","ドソル","2014","ラドソ","ランル","ソ","ン"
"そるの","う","と","","るのと","そのう","2015","そのと","そるう","","る"
"るなう","の","と","う","のとう","るのう","2016","なのと","るなと","な","る"
"ひくう","","う","い","くうて","ひてい","2017","ひうて","ひくて","","く"
"ふゃ","ん","ゃ","し","","ふん","2019","しん","ふゃ","","ふ"
"むしわ","ぎ","し","む","ぎしゅ","むゅわ","2020","むぎし","ぎゅわ","わ","ゅ"
"","","","","S","","2031","","E","",""
"AE","","","","","","2032","","","",""
"","","","","","R","2033","","A","",""
"","","","","","I","2034","","E","",""
"","","","","","R","2036","","UA","",""
"Y","","","","","L","2037","E","E","",""
"I","","","","","L","2038","V","E","",""
"","","","","","I","2040","","L","",""
"","","","","","A","2041","","","",""
"","","","","Y","","2042","","","",""
"","","","","K","A","2043","","","",""
"","","","","","A","2045","","","",""
"","","","","Q","R","2046","","","",""
"","","","","","R","2047","","A","",""
"","","","","KQ","A","2048","","","",""
"","","","","","","2049","","B","",""
"T","","","","","A","2050","","U","",""
"P","","","","","C","2052","","EI","",""
"T","","","","","A","2053","","I","",""
"S","","","","","","2054","","","",""
"","","","","","R","2055","","","",""
"","","","","","","2056","","V","",""
"","","","","","WU","2058","","","",""
"","","","","R","","2059","","","",""
"","","","","R","","2060","","","",""
"","","","","","S","2062","","","",""
"S","","","","","E","2063","S","A","",""
"A","","","","","A","2064","","","",""
"S","","","","","","2065","","A","",""
"","","","","C","","2066","","","",""
"","","","","","","2067","","B","",""
"","","","","L","","2068","","I","",""
"","","","","C","E","2069","","","",""
"","","","","","","2070","D","E","",""
"I","","","","","","2071","N","A","",""
"A","","","","","C","2074","","","",""
"A","","","","","A","2077","","","",""
"","し","","","","","2092","","","","ち"
"ト","","","","フ","ァ","2130","ム","ン","",""
"","聞聴","聴言","わ","","","2200","","","視","か"
"","ビブ","","","","","2201","","","","ー"
"","ル","","","","","2202","","","",""
"","","飯","鯉","","","2216","","","麦",""
"","","ゅ","う","","","2261","","","し",""
"","","","","","","2264","","","","ぅ"
"","","ー","","","","2266","","","",""
"","き","ふ","く","","","2295","","","ひ","ん"
"","だ","","","","","2313","","","",""
"","","","","ル","ナ","3020","","","",""
"","","ェ","","","","3066","","","フ",""
"","","","","","","3068","","","く",""
"","","","が","","","3073","","","",""
"","生","","","","","3084","","","",""
"","ア","","","","","3158","","","",""
"","","","ひ","","","3165","","","",""
"","か","","","","","3187","","","",""
"","シス","","デ","","","3191","","","","オ"
"","さ","","","","","3193","","","","ま"
"","","","","ブ","","3195","","","",""
"","","","ス","","","3222","","","",""
"","ず","","","","","3238","","","",""
"","帰","","","","","3271","","","",""
"","","ク","","","","3277","","","",""
"","","","ア","","","3318","","","",""
"","し","","","","","4029","","","","ち"
"","","","","","","4049","","","","X"
"","た","","","","","4052","","","",""
"","さ","","","","","4077","","","",""
"","","","","","","4154","","","","帯"
"","","","","","","4157","","そ","",""
"","","","","","","4167","","い","",""
"","","","","二","","4171","","","",""
"倍","","","","","小","4194","","","",""
"約","","","","","大","4195","","","",""
"","","","底","","","4196","","","高",""
"","","","","半","","4197","","","",""
"","く","","","","","4203","","","",""
"","","","ウ","","","4220","","","",""
"","","ィ","","","","4222","","","",""
"","","","","","","4247","","","セ",""
"","","","ー","","","5010","","","",""
"","","","ワ","","","5011","","","",""
"ラモ","","","","","","5030","テカ","","",""
"オモ","","","","","","5031","レカ","","",""
"","","","ー","","","5051","","","",""
"","ら","お","か","","","5066","","","",""
"","","","ぶ","","","5100","","","",""
"じ","","","","み","つ","5109","つ","","",""
"タ","","","","カ","ウ","5140","ー","ン","",""
"","","","","","","5147","","","","ロ"
"","","","と","","","5160","","","",""
"戌酉子","","牛","虎","卯辰戌","戌酉卯","5193","卯戌子","戌卯辰","",""
"","","","","","","6060","","","","ト"
"","","","ほ","","","6065","","","",""
"","ィ","","","","","6157","","","",""
"","","","","","","6188","ト","","",""
"","","ン","ド","","","6203","","","イ",""
"","ジ","","ク","","","6216","","","","ラ"
"","","","","チ","ョ","6227","","ウ","",""
