221e5df0147bcc1810ae13296c11fe3084ec84002b9b8c66eca9bf4c32da4d19,fc4bc06a0a24009e1ab128b4e45bb4b7d8918bd5f3ac5a96e13b3e3b8263de42,d3ef969604d3940755f5687ca75aebb8d6946cac5021e89183da7b8f9b6fcfe1,890c04bba34642cb671758de2417e943c188eaa9a75a6e2291f6e369a69460a2,6e8d9e852a7d22055861cca954b3b43b10d89ee6682b8c66886bf39f84923fd3,573610ebd25874767c7c3f4177bda55c9c1c6e43a27db53e0302af1dff02f8ef,84a78289e61911b84230afdd688b1d6bacb075f344491975ab3330c1372ce07d,78a3732bb4105288ace0edc4290a3df75b9d41ce7f427c59a50ff072da35688a,478535f689b93db4f42cfa51685eeff85d64fab4856e04f0b91f7dc9c675a443,ef950c6f8408813e7f2178016b8e351297156a53dcb94cdea9bac1d3670e8297,76cb932b230233f8d5d8235a1f9418487a86e25b133c6436ec300ee0b96e1d5a,29849bfe704c3d633d5422e5c122dcc5a39ace464b90ec4970a11ac3f80dac0f,89ad3a46d5083dfc7f85dd2722a53d5b1d710123e4efcdafa1cd49cac3caca00,290a9d66123a4f1f150d8aef508bd6dbfabfbbd469de4a7abacbe085ca5a9757,61987e61154bf91af6a7e7ffb0af9942d6ec3e72948b7070cbe06589ee888581,37326e056d0178168e9032c935b9d56dd2917c19efd3062041b48cebbd531537
"2","-110","980","201","1","2","1008201","501","401","3","101","70","215","455","301","1"
"2","-110","515","202","1","2","1008202","502","402","3","102","70","215","230","302","2"
"1","-110","515","203","1","2","1008203","503","403","3","103","70","215","230","303","3"
"1","-110","515","204","1","2","1008204","504","404","3","104","70","215","230","304","4"
"2","-110","787","205","1","2","1008205","505","405","3","105","78","233","355","305","5"
"3","-110","787","206","1","2","1008206","506","406","3","106","78","233","355","306","6"
"3","-110","777","207","1","2","1008207","507","407","3","107","88","233","345","307","7"
"1","-110","777","208","1","2","1008208","508","408","3","108","88","233","345","308","8"
"1","-110","777","209","1","2","1008209","509","409","3","109","88","233","345","309","9"
"3","-110","810","210","1","2","1008210","510","410","3","110","88","233","355","310","10"
"2","-110","777","211","1","2","1008211","511","411","3","111","88","233","345","311","11"
"2","-110","515","212","1","2","1008212","512","412","3","112","70","215","230","312","12"
"1","-110","810","213","1","2","1008213","513","413","3","113","78","233","355","313","13"
"1","-110","515","214","1","2","1008214","514","414","3","114","70","215","230","314","14"
"3","-110","515","215","1","2","1008215","515","415","3","115","70","215","230","315","15"
"2","-110","655","216","1","2","1008216","516","416","3","116","70","215","275","316","16"
"3","-110","515","217","1","2","1008217","517","417","3","117","70","215","230","317","17"
"3","-110","777","218","1","2","1008218","518","418","3","118","88","233","345","318","18"
