c3f935b0b14db4a06d6ad6ab27cdb7f8274cf000ed53da8ea9e961e2ccf449db,5d7607afe3b7b40cd20868efb27284e784c8b07d6c3d3211570c016e75d658d5,780c7781cf66eb07b2d7ed3ffbd7be271bdf6415307c9a513ab17c99113fc07c,e842d60eb4c5317df5f18695bec31c9bfd11b7caaac4d0ad6612c44ad576ac62,2215f608d071d49db24e0d97a951e42a358c22782e49f453e95a2bb1d39baa5e,4fa3d2b0436e0047dbf1694f3d0ed981c1b93c9a5f5f6be207e7f133bc61f4b8,60221d64387070a1976d263318fc8c6d49dd566adfba60f1c658451468c77e0a
"10101","0.3046875","細かいディテールにこだわった躍動感あふれる至高のツムギフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","0.478515625","1","3","ツムギのフィギュア"
"10102","0.365234375","細かいディテールにこだわった躍動感あふれる至高のノゾミフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","0.490234375","1","3","ノゾミのフィギュア"
"10103","0.291015625","細かいディテールにこだわった躍動感あふれる至高のチカフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","0.478515625","1","3","チカのフィギュア"
"10201","0.440625","ツムギの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","0.440625","2","3","ツムギ直筆サイン色紙"
"10202","0.440625","ノゾミの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","0.440625","2","3","ノゾミ直筆サイン色紙"
"10203","0.440625","チカの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","0.440625","2","3","チカ直筆サイン色紙"
"10301","1.40625","ツムギのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","1.40625","3","3","ツムギのメモリアルピンバッジ"
"10302","1.40625","ノゾミのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","1.40625","3","3","ノゾミのメモリアルピンバッジ"
"10303","1.40625","チカのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","1.40625","3","3","チカのメモリアルピンバッジ"
"10304","1.40625","サマーライブ開催を記念し作られた限定メモリアルピンバッジ。\nエンブレムが刻印された高級感のある珠玉の一品。各メンバーの\nバッジと一緒にそろえよう！","1.40625","3","3","カルミナメモリアルピンバッジ"
"10401","1.0875","ツムギのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ツムギへの熱い思いがいっそう高まること間違いなし。","0.675","7","2","ツムギのブロマイド"
"10402","1.0875","ツムギのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","0.675","7","2","ツムギのサマーブロマイド"
"10403","1.0875","ツムギのハロウィン衣装のブロマイドセット。ハロウィンの時しか\n見られない貴重なショットの数々。甘いお菓子と悪戯、どっちも\n魅力的。ハッピーハロウィン！","0.675","7","2","ツムギのハロウィンブロマイド"
"10404","1.0875","ノゾミのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ノゾミへの熱い思いがいっそう高まること間違いなし。","0.675","7","2","ノゾミのブロマイド"
"10405","1.0875","ノゾミのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","0.675","7","2","ノゾミのサマーブロマイド"
"10406","1.0875","ノゾミのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","0.675","7","2","ノゾミのクリスマスブロマイド"
"10407","1.0875","チカのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、チカへの熱い思いがいっそう高まること間違いなし。","0.675","7","2","チカのブロマイド"
"10408","1.0875","チカのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","0.675","7","2","チカのサマーブロマイド"
"10409","1.0875","チカのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","0.675","7","2","チカのクリスマスブロマイド"
"10501","0.665625","ツムギのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","1.0125","8","3","ツムギのリストバンド"
"10502","0.665625","ノゾミのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","1.0125","8","3","ノゾミのリストバンド"
"10503","0.665625","チカのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","1.0125","8","3","チカのリストバンド"
"10601","0.365234375","ツムギの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","0.470703125","10","3","ツムギのポスター"
"10602","0.365234375","ノゾミの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","0.470703125","10","3","ノゾミのポスター"
"10603","0.365234375","チカの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","0.470703125","11","3","チカのポスター"
"10604","0.365234375","メンバー３人が写った大迫力の大型ポスター。部屋に貼っておけば\nおはようからおやすみまで、いつでも彼女たちの笑顔に会える。\n今日も明日も頑張ろう！","0.470703125","11","3","カルミナのポスター"
"10701","0.953125","イベント会場でのみ入手できるサマーライブ限定デザインの会員\nカード。会場でしか手に入らないためプレミア度高め。真のファン\nならぜひともゲットしたい。","0.53125","8","3","会場限定会員カード"
"10801","0.443359375","ツムギのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","0.4609375","12","2","ツムギのマフラータオル"
"10802","0.443359375","ノゾミのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","0.4609375","12","2","ノゾミのマフラータオル"
"10803","0.443359375","チカのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","0.4609375","13","2","チカのマフラータオル"
"10804","0.443359375","カルミナのサマーライブデザインのマフラータオル。汎用性の高い\n定番アイテム。ライブの汗で濡れた肌を拭くことはもちろん、応援\nグッズとして使うことも可能。","0.4609375","13","2","カルミナのマフラータオル"
"10901","0.33046875","ツムギの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","0.459375","9","1","ツムギの応援うちわ"
"10902","0.33046875","ノゾミの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","0.459375","9","1","ノゾミの応援うちわ"
"10903","0.33046875","チカの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","0.459375","9","1","チカの応援うちわ"
