7c4df976ddcfce61445a4414a96dc2347e2f8a9eaccaff21f5d72d2c24e53886,87d7ae18e249e0e9830cc34c07654281daeecad426bcf446b35eae3000d70b7e,be8f0c5ee01b099defbd25e3ccfc8ee9008c048465b21220e4fda512d62af97f,7c3750341ec95619b47be12703eff620e0349d02a677010d65c1faba8d1b036a,8b88162861d4d7250369cbb7ba2ee19ff335637a5ab1dd6075af97ea0bb091b5,005a05f09984d02e14cecab919816736e0f4f4e4285ab93209a41daa497c2de8,1f00077d3d48669de1580a65b21761a8360b28a6cdb536adfd14d89dd780a999,d01008477d031a3efc747a7869355994bbfdc3f6d4aa0e0fd1ccb1ccf67051cb,8084d2d570e5dbbb47e5dae2464fcc55d86cab60c8d8cb1ad11c458c796c7541,dd5b77183e9864baa6c6a5d76a7bacc360dd5ef8bf3618aa4fb8670ef73eeaac,b719df24e92641e70bec8f14860428db05e2bad367df227431d0775c0142f36f
"0","0","10001","0","10002","0","10003","0","0","0","50047"
"0","0","10001","0","10002","0","10003","0","0","0","50051"
"0","0","10001","0","10002","10004","10003","0","0","0","50061"
"0","0","10001","0","10002","10005","10003","0","0","0","50067"
"0","0","10001","0","10002","10005","10003","10006","0","0","50079"
"0","0","10001","0","10002","10005","10003","10006","10007","0","50084"
"10008","0","10001","0","10002","10005","10003","10006","10007","0","50094"
"10008","0","10001","0","10002","10005","10003","10006","10007","10009","50108"
"10008","0","10001","0","10002","10005","10003","10006","10007","10009","50116"
"10008","0","10001","10010","10002","10005","10003","10006","10007","10009","50119"
"10008","0","10001","10010","10002","10005","10003","10006","10007","10009","50129"
"10008","10011","10001","10010","10002","10005","10003","10006","10007","10009","50140"
"10009","10012","10002","10011","10003","10006","10005","10007","10008","10010","50151"
"0","0","10009","0","10010","10012","10011","10013","0","0","50162"
"0","0","10010","0","10011","10013","10012","10014","0","0","50172"
"0","0","10011","0","10012","10014","10013","10015","0","0","50183"
"0","0","10013","0","10014","10007","10015","10005","0","0","50190"
"0","0","10012","0","10013","10015","10014","10016","0","0","50195"
"0","0","10014","0","10015","10003","10016","10002","0","0","50200"
"0","0","10013","0","10014","10016","10015","10017","0","0","50217"
"0","0","10015","0","10016","10010","10017","10009","0","0","50231"
"0","0","10014","0","10015","10017","10016","10018","0","0","50237"
"0","0","10019","0","0","0","0","0","0","0","50248"
"0","0","10011","0","0","0","0","0","0","0","50261"
"0","0","10020","0","0","0","0","0","0","0","50267"
"0","0","10021","0","0","0","0","0","0","0","50278"
"0","0","10006","0","0","0","0","0","0","0","50291"
"0","0","10022","0","0","0","0","0","0","0","50298"
"0","0","10023","0","0","0","0","0","0","0","50309"
"0","0","10024","0","0","0","0","0","0","0","50321"
"0","0","10025","0","0","0","0","0","0","0","50331"
"0","0","10026","0","0","0","0","0","0","0","50341"
"0","0","10027","0","0","0","0","0","0","0","50354"
"0","0","10028","0","0","0","0","0","0","0","50365"
