798fd7c4b49fc6e1cb86dc4c04801c26a848966fae44eb69307b482fc7453745,f0021078d296ffbfd0aecaaa2e4b9db88aacba9c390a4d282b482148b7a77822,bb9447cf45522a954b0d41749ff57e252514b1a6585c1b5cda38a81472ff48cb,509100027322b2f758f2d163211355bf052dfa0d865513b682f7a4c26ddf6009,25a29b315aa069f05c905c7d2b2f26a221f404cfe68bdbac528f476a8391ee19,c3855c85e7fd0628d19c0dfa6c54bc9705bc6ed9f0e5a7d4d68d04819cdb4205,aa2d6d1497803e80f0f96d2ffe0377b0ba4988438951cd18b08e0cbf36560983,dc4a37016d43d55570014bc6acc44d8658480c0e09375935f5d7f2c2b38c4e03,46ac5f75c899ced1d3ce84ca37c14bde9dedb89dc2515a72f83df1c16446a753,72f7d8a1a433cd7a98e88bd49d68e74e3fecb1b7b3786b78462f04edf140bea9,5c695d4e395745daea53aeadb1fa0b408aa2da20d06631cc78eba9f118d4e1f6,9c0dbeaed0ec94bdfa1fcb7ee5ba962c8cf3cde9d763b89aba44c23ab86b50e9
"0.8","0","4","0","0","0","0","1","1","0","1005801","100580101"
"0","vo_ske","2","0","0","vo_ske_0101","0","0","2","0","1005801","100580102"
"0","0","1","1","0.705","0","60","0","3","0","1005801","100580103"
"1.549","0","4","0","0","0","0","1","4","0","1005801","100580104"
"0","0","1","1","1.807","0","304","0","5","60","1005801","100580105"
"3.027","0","4","0","0","0","0","1","6","0","1005801","100580106"
"0","0","1","2","1.141","0","140","0","7","0","1005801","100580107"
"1.9","0","4","0","0","0","0","1","8","0","1005801","100580108"
"0","0","1","2","1.78","0","380","0","9","140","1005801","100580109"
"4.544","0","4","0","0","0","0","1","10","0","1005801","100580110"
"0","vo_ske","2","0","0","vo_ske_0102","0","0","11","0","1005801","100580111"
"0","0","1","3","1.322","0","195","0","12","0","1005801","100580112"
"2.917","0","4","0","0","0","0","1","13","0","1005801","100580113"
"0","vo_ske","2","0","0","vo_ske_0103","0","0","14","0","1005801","100580114"
"0","0","1","4","1.932","0","228","0","15","0","1005801","100580115"
"2.582","0","4","0","0","0","0","1","16","0","1005801","100580116"
"0","0","1","4","0.996","0","367","0","17","228","1005801","100580117"
"3.856","0","4","0","0","0","0","1","18","0","1005801","100580118"
