4da9ba9bf0087d9c0d604ad470ba962158a3f6d4ede97afe16ccad0bca9b8162,006fb82ebff786a761caefbc6b949a3c95cb927c958f52b393b2967551aafbf4,cfdc7f796580dbb3f2d3c4bf96151e9e33145289407cb7db6674c985aaa582a8,d1763208e1e40e4dab153e7fac8a5480fd4b07d6544549f18cbfa6370b87f43d,d988096e28cf18d1da73570b5858241d8459a9bb9ede3e93b6219cb0734b381a,0fb7f83e53824a78ccc9fc8c87db6337666d1c68073ff3da4c7397b366d3aad7,39c556dccfb5e0dd036a5165cdc4b835e26f35705c89565bd3c47bcf53a5272e,33294b66c305e03978e9dbd6f36b4160fede96040d26d7cb74f6ec39152f909c,c971d7cd6923ba013ed5f7d582c30385cdf91438032ce25396aff973aa320e4f,4fc17c1bc632d0a17fda73719828b468eb8dfcbee77013235af6d377c8bc9307,7a7075ea4c04c35efb375fe95494d6ad2f9d92c322c97e8f050d136f2569d356
"se_10053800","101","","23","","","se_fpc_water_random","","11010001","",""
"1","101","0","1","-180","23","<unit_id>","cmn_swm_tread","11010002","-850","1.75"
"1","101","0","5","-180","22","1","cmn_swm_tread_pink","11010003","-850","1.75"
"3","101","","31","1","-850","3","","11010004","-180","1"
"0","101","","91","","","0","","11010005","",""
"<unit_id>","101","","2","","-180","850","","11010006","10",""
"1","101","","2","","-180","850","","11010007","10",""
"3","101","","33","","-180","850","","11010008","10",""
"se_10053800","102","","23","","","se_fpc_water_random","","11020001","",""
"1","102","0","1","-180","23","<unit_id>","cmn_swm_tread","11020002","-850","1.75"
"1","102","0","5","-180","22","1","cmn_swm_tread_blue","11020003","-850","1.75"
"3","102","","31","1","-850","3","","11020004","-180","1"
"0","102","","91","","","0","","11020005","",""
"<unit_id>","102","","2","","-180","850","","11020006","10",""
"1","102","","2","","-180","850","","11020007","10",""
"3","102","","33","","-180","850","","11020008","10",""
"se_10053800","103","","23","","","se_fpc_water_random","","11030001","",""
"1","103","0","1","-180","23","<unit_id>","cmn_swm_tread","11030002","-850","1.75"
"1","103","0","5","-180","22","1","cmn_swm_tread","11030003","-850","1.75"
"3","103","","31","1","-850","3","","11030004","-180","1"
"0","103","","91","","","0","","11030005","",""
"<unit_id>","103","","2","","-180","850","","11030006","10",""
"1","103","","2","","-180","850","","11030007","10",""
"3","103","","33","","-180","850","","11030008","10",""
"se_10053800","151","","23","","","se_fpc_water_random","","11510001","",""
"1","151","0","1","-180","22","<unit_id>","cmn_swm_flutterKick","11510002","-850","1.75"
"1","151","","31","1","-850","1","","11510003","-180","1"
"0","151","","91","","","0","","11510004","",""
"<unit_id>","151","","2","","-180","1050","","11510005","10",""
"1","151","","33","","-180","1050","","11510006","10",""
"se_10053800","201","","23","","","se_fpc_water_random","","12010001","",""
"1","201","0","1","-180","22","<unit_id>","cmn_swm_breastStroke","12010002","-850","1.75"
"2","201","","31","1","-850","2","","12010003","-180","1"
"0","201","","91","","","0","","12010004","",""
"<unit_id>","201","","2","","-180","850","","12010005","10",""
"2","201","","33","","-180","850","","12010006","10",""
"se_10053800","251","","23","","","se_fpc_water_random","","12510001","",""
"1","251","0","1","-180","22","<unit_id>","cmn_swm_diving","12510002","-850","1.75"
"9","251","","31","1","-850","9","","12510003","-180","1"
"0","251","","91","","","0","","12510004","",""
"<unit_id>","251","","2","","-180","850","","12510005","10",""
"9","251","","33","","-180","850","","12510006","10",""
"se_10053800","301","","23","","","se_fpc_water_random","","13010001","",""
"1","301","0","1","-180","23","<unit_id>","cmn_swm_flutterKick_floatRing","13010002","-850","1.75"
"1","301","0","5","-180","22","1","cmn_swm_flutterKick_floatRing_pink","13010003","-850","1.75"
"1","301","","31","1","-850","1","","13010004","-180","1"
"0","301","","91","","","0","","13010005","",""
"<unit_id>","301","","2","","-180","1050","","13010006","10",""
"1","301","","2","","-180","1050","","13010007","10",""
"1","301","","33","","-180","1050","","13010008","10",""
"se_10053800","302","","23","","","se_fpc_water_random","","13020001","",""
"1","302","0","1","-180","23","<unit_id>","cmn_swm_flutterKick_floatRing","13020002","-850","1.75"
"1","302","0","5","-180","22","1","cmn_swm_flutterKick_floatRing_blue","13020003","-850","1.75"
"1","302","","31","1","-850","1","","13020004","-180","1"
"0","302","","91","","","0","","13020005","",""
"<unit_id>","302","","2","","-180","1050","","13020006","10",""
"1","302","","2","","-180","1050","","13020007","10",""
"1","302","","33","","-180","1050","","13020008","10",""
"se_10053800","303","","23","","","se_fpc_water_random","","13030001","",""
"1","303","0","1","-180","23","<unit_id>","cmn_swm_flutterKick_floatRing","13030002","-850","1.75"
"1","303","0","5","-180","22","1","cmn_swm_flutterKick_floatRing","13030003","-850","1.75"
"1","303","","31","1","-850","1","","13030004","-180","1"
"0","303","","91","","","0","","13030005","",""
"<unit_id>","303","","2","","-180","1050","","13030006","10",""
"1","303","","2","","-180","1050","","13030007","10",""
"1","303","","33","","-180","1050","","13030008","10",""
"se_10053800","351","","23","","","se_fpc_water_random","","13510001","",""
"1","351","0","1","-180","23","<unit_id>","cmn_swm_flutterKick_floatRing","13510002","-850","1.75"
"1","351","0","5","-180","22","1","cmn_swm_flutterKick_floatBoad","13510003","-850","1.75"
