e20013123918d51900df2726b6b8f44829a8196201b350b27d13ba477ffbd0ac,cbd3ecdacf3e8608e5cc907fae0ecfda09c706547e03ecdf44e1935491b55f8f,c213c24b98526fe61d3f502d97b0a714edc17415a01ea3578f37f8cacaae2f3c,28e1f97bf363a9f0fb491970dcd96cd953264ec605b7475fcadede4e272d2277,8be3e72d1a57b7c73d35d3e356ecb3581488c4a5e6a91d907c7f2c41445531be,ed236b1a43bba180a82f0d7eb3610b55756952cea3ccee768302f259053f8527,1ced40f2d2564cc646e76faf292672a1357fbcce7b8ba69ae9fe3aace7b6687c,8c9b57c62ee8ac202452cf18eeb26a65b483a3f58112d6a3b2189c79f18b5bf4,d0c6e3b8589e263233fecd17791faaad470c9c3a1eeea78311d4b9ed630bcea4,b59de837ff2795248c13b38737d60f49b05ade1b3ed13f018888e8badb21891c,484fa687107180ec861f7e5d15a054a938eb2808f180f87c71191955da684fff,ba894f56f1d29560ff39c4ee3800324e2e7a020193d429a9f062b693ae473852,f99ec7dd622a9882c4261445c9055de3df95f471bb008d8afa4cc048d5abd76f,d6b5b2774e7222b2afdd25e4f7956d8b029a151cf58de96e295940c37df931a1,5ed586892e37274de3adb960aed460fa712f7c67306bd0cb7a2aeac33af14ec5,99e80cce0cc5647f93b26c39bb8e45454927fca76484aa42362e2429c5a6a732,9c4fcaeadead9a51bc74e4d944a082e0361810a0791c8bdc9903227094f61943,a7be5c9dc48bd30518c9dabae729e353a921270679fe5717cd814948c9700679,274dec9575e220b5bbb496367d3c3a2f1aa971e5ccf8499ba71773d4a3717b14,7a18bb6c01a0bdc3188c04a9b8c1eec54dcda822a08b6f2cc345c0f8cbffe498,26c7baf55224f5e19ad90e0177f8ccda721281b10fa4060de0b1bfe9d65a41fa,ac548d3ae7e9c609b356f144994e9a3bd48963f8ec0b2a0a19d959df333ab144,b6af98746d749360f88f0008682279023333db09f28e800bfa5594f1e9f692a7,d1d852f0a9a14b708fddb44bc85b3a122e231fdfb3271dbe961b9299b6c617e3,a98d7b7340d9452d63f4ce3ee83af8ae125094b500a3ba15d7c05bbd05f36645,f86be41a6f253aeb0e76f09b2062c2b0da46575b5ff169abef8cb71cb9d0c542,66d46e95cb3b84a7b333a25aacaeaaa845a43b8353515d42b883481e25c4397c,855405033089e12a841c5592a22346280ea92114fae83c38956efb2c1d3b9b60,4ed765dfb75a94e4fb5660594f5b9b6e26ba904c2e1980254b0878881ead78ee,e58d0b53b368e398c83251a59b9d91057405e295ddc701802076facd4170537c,f85aa855b1abe5e0fa10046a4866187bdc099129eebd14375f6be36bff0ec05d,8abb35a8eb8cf13c6a5191426bcd3b13942ebff9fc79c3e5ea3eb9f05cf262ca,f76b0ebe6225a1c5169714c48f2e38090ea4bcad76cf32b2f8f861ec8df97b6b,cc421b0ce27179728e29f654f604dd55d7c55bf2d8fe25c35884ce9b30bbfb02,af1a1162fb1dddd94cfcd3ea0f6c467fdfd585e28371ec8a84eda1b442d4f8fd,07ef1359add5170994538f04f667bbdb7013aabe8479bcc047ec26484610e988,7294ec5b7f39add7c3224f6cff8f4c19ac1c010ca5e7dc5f41c904483ddaba29,abf10052288929694da1614d5a19bc63a5e43e5bc00880338f4280aa25d9f7ef,ceb156b33ef097297740a9e49f8b2013da27993debff53d9a30818cf117b364a
"0","41.77","2.73","0","376","0","0","0","0","5.67","0","100101","10000","51.04","20","0.25","0","15","0","0","0","0","1","0","0","0","0","0","0","31001","0","2.28","0","0","0","0","0","0","0.3"
"0","62.65","3.27","0","451.2","0","0","0","0","8.5","0","100101","20000","61.24","20","0.37","0","30","0","0","0","0","2","0","0","0","0","0","0","31001","0","2.73","0","0","0","0","0","0","0.45"
"0","83.54","3.82","0","526.4","0","0","0","0","11.34","0","100101","30000","71.45","20","0.5","0","100","0","0","0","0","3","0","0","0","0","0","0","31001","0","3.19","0","0","0","0","0","0","0.6"
"0","104.5","4.36","0","601.6","0","0","0","0","14.17","0","100101","40000","81.66","20","0.62","0","120","0","0","0","0","4","0","0","0","0","0","0","31001","0","3.64","0","0","0","0","0","0","0.75"
"0","125.4","4.91","0","676.8","0","0","0","0","17.01","0","100101","50000","91.87","20","0.75","0","150","0","0","0","0","5","0","0","0","0","0","0","31001","0","4.1","0","0","0","0","0","0","0.9"
"10","167.1","5.73","0","789.5","0","0","0","0","22.68","0","100101","0","1847.2","120","1","0","0","0","0","0","0","6","0","0","0","0","0","0","31001","0","4.79","0","0","0","0","0","2","1.2"
"0","36.75","2.28","0","330.8","0","0","0","0","0","0","100201","10000","0","0","0.22","0","15","42.15","0","0","0","1","0","0","0","0","0","0","31002","0","1.94","0","4.68","0","0","0","0","0.25"
"0","55.12","2.73","0","396.9","0","0","0","0","0","0","100201","20000","0","0","0.33","0","30","50.58","0","0","0","2","0","0","0","0","0","0","31002","0","2.32","0","7.02","0","0","0","0","0.37"
"0","73.5","3.19","0","463","0","0","0","0","0","0","100201","30000","0","0","0.44","0","100","59.01","0","0","0","3","0","0","0","0","0","0","31002","0","2.71","0","9.36","0","0","0","0","0.5"
"0","91.87","3.64","0","529.2","0","0","0","0","0","0","100201","40000","0","0","0.55","0","120","67.44","0","0","0","4","0","0","0","0","0","0","31002","0","3.1","0","11.7","0","0","0","0","0.62"
"0","110.3","4.1","0","595.3","0","0","0","0","0","0","100201","50000","0","0","0.66","0","150","75.87","0","0","0","5","0","0","0","0","0","0","31002","0","3.49","0","14.04","0","0","0","0","0.75"
"0","147","4.79","30","694.5","0","0","0","0","0","0","100201","0","0","0","0.88","0","0","548.6","0","0","0","6","0","0","0","0","0","0","31002","0","34.07","0","18.72","0","0","0","0","1"
"0","40.62","2.73","0","365.6","0","0","0","0","5.67","0","100301","10000","51.04","15","0.28","0","15","0","0","0","0","1","0","0","0","0","0","0","31003","0","2.51","0","0","0","0","0","0","0.3"
"0","60.93","3.27","0","438.7","0","0","0","0","8.5","0","100301","20000","61.24","15","0.42","0","30","0","0","0","0","2","0","0","0","0","0","0","31003","0","3.01","0","0","0","0","0","0","0.45"
"0","81.24","3.82","0","511.9","0","0","0","0","11.34","0","100301","30000","71.45","15","0.56","0","100","0","0","0","0","3","0","0","0","0","0","0","31003","0","3.51","0","0","0","0","0","0","0.6"
"0","101.6","4.36","0","585","0","0","0","0","14.17","0","100301","40000","81.66","15","0.7","0","120","0","0","0","0","4","0","0","0","0","0","0","31003","0","4.01","0","0","0","0","0","0","0.75"
