e96508d53711d80381ff1a8b46234f79659fa1fbc206a9ebf296031d79fe9bf3,bcc15524a65c4ea8320f5935a3305117cec311dcc0d166915be2105e630036a4,53f537210009290f98a0bf69ce332edcb241347b4d51bdf4ef358adfc40f6af1,4f58abcfea8d9af0c95b48c62baff781b3c0c394646f3b079a59d7a1f1eea07f
"バトルの残り時間が0:05以上で勝利","1","4001","10104001"
"バトルの残り時間が0:10以上で勝利","1","9001","10109001"
"バトルの残り時間が0:15以上で勝利","1","14001","10114001"
"バトルの残り時間が0:20以上で勝利","1","19001","10119001"
"バトルの残り時間が0:25以上で勝利","1","24001","10124001"
"バトルの残り時間が0:30以上で勝利","1","29001","10129001"
"バトルの残り時間が0:35以上で勝利","1","34001","10134001"
"バトルの残り時間が0:40以上で勝利","1","39001","10139001"
"バトルの残り時間が0:45以上で勝利","1","44001","10144001"
"バトルの残り時間が0:50以上で勝利","1","49001","10149001"
"バトルの残り時間が0:55以上で勝利","1","54001","10154001"
"バトルの残り時間が1:00以上で勝利","1","59001","10159001"
"バトルの残り時間が1:05以上で勝利","1","64001","10164001"
"バトルの残り時間が1:10以上で勝利","1","69001","10169001"
"バトルの残り時間が1:15以上で勝利","1","74001","10174001"
"バトルの残り時間が1:20以上で勝利","1","79001","10179001"
"戦闘不能になったキャラが0人以下で勝利","2","0","10200000"
"戦闘不能になったキャラが1人以下で勝利","2","1","10200001"
"戦闘不能になったキャラが2人以下で勝利","2","2","10200002"
"戦闘不能になったキャラが3人以下で勝利","2","3","10200003"
"戦闘不能になったキャラが4人以下で勝利","2","4","10200004"
"物理タイプキャラを1人以上編成して勝利","3","1","10300001"
"物理タイプキャラを2人以上編成して勝利","3","2","10300002"
"物理タイプキャラを3人以上編成して勝利","3","3","10300003"
"物理タイプキャラを4人以上編成して勝利","3","4","10300004"
"物理タイプキャラを5人編成して勝利","3","5","10300005"
"魔法タイプキャラを1人以上編成して勝利","4","1","10400001"
"魔法タイプキャラを2人以上編成して勝利","4","2","10400002"
"魔法タイプキャラを3人以上編成して勝利","4","3","10400003"
"魔法タイプキャラを4人以上編成して勝利","4","4","10400004"
"魔法タイプキャラを5人編成して勝利","4","5","10400005"
"タンクキャラを1人以上編成して勝利","5","1","10500001"
"タンクキャラを2人以上編成して勝利","5","2","10500002"
