b6f23616f9421f676f2667aa18e50cede7a0702601bdc355cc1f771038949515,04925f4ddfed85525e50bc75efb5c4c47e73932444b3d09667d314bd814d2877,4b60c5214d68a472feeb97f4d29b52e6db05522120976c3d1e7ebd9d7065464a,f9c28ecf4817c0293aeecaa4071a6ef9a4dcba3e275136972be4ee334046f7a5,8ada1a25625f3e6b305efb27e54190328799259a94921dbef4af863f20390776,0444f6965f67a91cbdaf1b1ba8b23f107cdff4f9fa29f77d230b27bbe4a9c402,033364e1b3a0d955d20d479ffd90a27e3a96ab926a50c1f84fcd39de256430de,12c2f3e600c8b36e9e141af8a554c05bd0d75800c505f7b52c4c53e610591492,12810911633f8b0fbfd54bcab8ab84f7292384a42e809c9612ade04ce5f90739,b9a06e8768eabceb7c5b4637f7415acf219431d912fb979f433235f304769166,c45835d4d96e30eb5a395599875ba66a73300a7e47eecb295fc8951fb54f869d
"50067","0","10002","0","10003","0","0","10005","0","0","10001"
"50079","0","10002","0","10003","0","0","10005","10006","0","10001"
"50084","0","10002","0","10003","0","0","10005","10006","10007","10001"
"50094","10008","10002","0","10003","0","0","10005","10006","10007","10001"
"50108","10008","10002","0","10003","0","10009","10005","10006","10007","10001"
"50116","10008","10002","0","10003","0","10009","10005","10006","10007","10001"
"50119","10008","10002","10010","10003","0","10009","10005","10006","10007","10001"
"50129","10008","10002","10010","10003","0","10009","10005","10006","10007","10001"
"50140","10008","10002","10010","10003","10011","10009","10005","10006","10007","10001"
"50151","10009","10003","10011","10005","10012","10010","10006","10007","10008","10002"
"50162","0","10010","0","10011","0","0","10012","10013","0","10009"
"50172","0","10011","0","10012","0","0","10013","10014","0","10010"
"50183","0","10012","0","10013","0","0","10014","10015","0","10011"
"50190","0","10014","0","10015","0","0","10007","10005","0","10013"
"50195","0","10013","0","10014","0","0","10015","10016","0","10012"
"50200","0","10015","0","10016","0","0","10003","10002","0","10014"
"50217","0","10014","0","10015","0","0","10016","10017","0","10013"
"50231","0","10016","0","10017","0","0","10010","10009","0","10015"
"50237","0","10015","0","10016","0","0","10017","10018","0","10014"
"50248","0","0","0","0","0","0","0","0","0","10019"
"50261","0","0","0","0","0","0","0","0","0","10011"
"50267","0","0","0","0","0","0","0","0","0","10020"
"50278","0","0","0","0","0","0","0","0","0","10021"
"50291","0","0","0","0","0","0","0","0","0","10006"
"50298","0","0","0","0","0","0","0","0","0","10022"
"50309","0","0","0","0","0","0","0","0","0","10023"
"50321","0","0","0","0","0","0","0","0","0","10024"
"50331","0","0","0","0","0","0","0","0","0","10025"
"50341","0","0","0","0","0","0","0","0","0","10026"
"50354","0","0","0","0","0","0","0","0","0","10027"
"50365","0","0","0","0","0","0","0","0","0","10028"
"50375","0","0","0","0","0","0","0","0","0","10029"
"50383","0","0","0","0","0","0","0","0","0","10030"
"50393","0","0","0","0","0","0","0","0","0","10019"
"50405","0","0","0","0","0","0","0","0","0","10031"
"50406","0","0","0","0","0","0","0","0","0","10032"
"50414","0","0","0","0","0","0","0","0","0","10033"
"50424","0","0","0","0","0","0","0","0","0","10034"
