054c4d52b2d10fdec2f8108b7e910605611f816b6d598c0a56edb27f2ed62fc5,57c0ac88195737ab9a8c7987ef9a9081cf6111f10f28555c978a5ab1f18b6f71,d8f77b09a27c2f2e84e2937c59a3c00d8691b2ba65729aa4719ff69927fe1cb9,8accac6b11ebe7eb23ccda9a050bbf7d6a57b1ea4a942d88609cca4289d71ced,371c62db4bf2a2e4bbf539a3c8bb6eefe8dcc18fca603ccf884f6e03d4410d6d,8fa1b3dd8647c70231967ca4d19a44c61a8f4c457bea2023425c514f56e238e4,9b8dc698a7badd01ad3eae9c937462ddca35f74dc5fdd2176cbc2228933d27e1
"ふっふっふ、これでカヤぴぃとボスを見返してやるです！","1000101","1","vo_minigame_1004","10001","vo_minigame_1004_top_1_000","2"
"しりとりでの戦い、お兄さんにも手伝ってもらうです","1000201","1","vo_minigame_1004","10002","vo_minigame_1004_top_1_003","2"
"どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！","1000301","2","vo_minigame_1004","10003","vo_minigame_1004_top_1_004","1"
"石板でしりとりか……イノリのヤツおもしろいこと考えるな","1000401","2","vo_minigame_1004","10004","vo_minigame_1004_top_1_005","1"
"しりとりだろうがなんだろうが返り討ちにしてやるぜ","1000501","2","vo_minigame_1004","10005","vo_minigame_1004_top_1_006","1"
"ぐもも……（オデ、ハラヘッタ）","1000601","3","vo_minigame_1004","10006","vo_minigame_1004_top_1_007","2"
"ぐもももも（シリトリ タノシイ）","1000701","3","vo_minigame_1004","10007","vo_minigame_1004_top_1_008","2"
"ぐもももも！（イノリ イイヤツ）","1000801","3","vo_minigame_1004","10008","vo_minigame_1004_top_1_009","2"
"カヤぴぃ相手でも手加減しないです","1000901","1","vo_minigame_1004","10009","vo_minigame_1004_top_2_010","2"
"上等だ！やるからには本気で来いよな","1000902","2","vo_minigame_1004","10009","vo_minigame_1004_top_2_011","1"
"カヤぴぃ、謝るなら今のうちです","1001001","1","vo_minigame_1004","10010","vo_minigame_1004_top_2_012","2"
"イノリこそ泣きを入れるなら今のうちだぜ？","1001002","2","vo_minigame_1004","10010","vo_minigame_1004_top_2_013","1"
"カヤぴぃ、これからは知性の時代ですよ？","1001101","1","vo_minigame_1004","10011","vo_minigame_1004_top_2_014","2"
"待て！オレがバカみたいにいうな！！","1001102","2","vo_minigame_1004","10011","vo_minigame_1004_top_2_015","1"
"さあ、あたしたちの力を見せてやるです","1001201","1","vo_minigame_1004","10012","vo_minigame_1004_top_2_016","1"
"ぐも！（マカセロ！）","1001202","3","vo_minigame_1004","10012","vo_minigame_1004_top_2_017","2"
"よしよし、いいですようまくできたらチョコをあげるです！","1001301","1","vo_minigame_1004","10013","vo_minigame_1004_top_2_018","1"
"ぐも！（オデ チョコスキ）","1001302","3","vo_minigame_1004","10013","vo_minigame_1004_top_2_019","2"
"なあイノリ……もしかして当初の目的見失ってないよな？","1001401","2","vo_minigame_1004","10014","vo_minigame_1004_top_2_023","1"
"もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです","1001402","1","vo_minigame_1004","10014","vo_minigame_1004_top_2_024","2"
"いくらイノリ相手でも勝ちを譲る気はないからな！","1001501","2","vo_minigame_1004","10015","vo_minigame_1004_top_2_025","1"
"望むところです手加減はなしですよ","1001502","1","vo_minigame_1004","10015","vo_minigame_1004_top_2_026","2"
"へっ、なかなかやるじゃねえか","1001601","2","vo_minigame_1004","10016","vo_minigame_1004_top_2_027","1"
"カヤぴぃも思ったよりやるですね！","1001602","1","vo_minigame_1004","10016","vo_minigame_1004_top_2_028","2"
"お～い、ドラゴンもどき？","1001701","2","vo_minigame_1004","10017","vo_minigame_1004_top_2_029","1"
"ぐもっ！？（ヒッ！）","1001702","3","vo_minigame_1004","10017","vo_minigame_1004_top_2_030","2"
"いやあ、あんときは悪かったなはっはっは","1001801","2","vo_minigame_1004","10018","vo_minigame_1004_top_2_031","1"
"ぐももも……（かやピィ コワカッタ）","1001802","3","vo_minigame_1004","10018","vo_minigame_1004_top_2_032","2"
"お前ってさ……ほんとマヌケな顔してるよな","1001901","2","vo_minigame_1004","10019","vo_minigame_1004_top_2_033","1"
"ぐも……（オマエガ イウカ）","1001902","3","vo_minigame_1004","10019","vo_minigame_1004_top_2_034","2"
"ぐも……（ハラヘッタ チョコホシイ）","1002001","3","vo_minigame_1004","10020","vo_minigame_1004_top_2_044","2"
"なんだ？眠いのか？","1002002","2","vo_minigame_1004","10020","vo_minigame_1004_top_2_045","1"
"ぐもも（コイツ……キケン）","1002101","3","vo_minigame_1004","10021","vo_minigame_1004_top_2_046","2"
"うん？　なんだ？オレの舎弟にでもなりたいのか？","1002102","2","vo_minigame_1004","10021","vo_minigame_1004_top_2_047","1"
"ぐも…（かやピィノウキン）","1002201","3","vo_minigame_1004","10022","vo_minigame_1004_top_2_048","2"
"おい、今失礼なこと考えてるだろ？","1002202","2","vo_minigame_1004","10022","vo_minigame_1004_top_2_049","1"
"なあ、これいつまで続けるんだ？","1002301","2","vo_minigame_1004","10023","vo_minigame_1004_top_3_058","1"
"カヤぴぃが降参するまでです！","1002302","1","vo_minigame_1004","10023","vo_minigame_1004_top_3_059","2"
"ぐもも！（コウサンシロ！）","1002303","3","vo_minigame_1004","10023","vo_minigame_1004_top_3_060","2"
"ぐも！（イノリ チョコホシイ）","1002401","3","vo_minigame_1004","10024","vo_minigame_1004_top_3_065","2"
"しょうがないですね、食べ過ぎはダメですよ","1002402","1","vo_minigame_1004","10024","vo_minigame_1004_top_3_066","1"
"土産のチョコ、そうとう気に入ったみたいだな","1002403","2","vo_minigame_1004","10024","vo_minigame_1004_top_3_067","1"
"ぐも！（かやピィニハ マケナイ！）","1002501","3","vo_minigame_1004","10025","vo_minigame_1004_top_3_068","2"
"お？なんだ？腹でも減ってるのか？","1002502","2","vo_minigame_1004","10025","vo_minigame_1004_top_3_069","1"
"……全然話が通じてないです","1002503","1","vo_minigame_1004","10025","vo_minigame_1004_top_3_070","2"
