5538fca6eb44f69755bc1f94e0a1008686070ab76b9ee9436a6a23c890d51614,726ff50b70997df095952c7df4f45bbbe11472114d760118a597662accd92e18,7215051838860ed04f30d8a334b5ff7945f15f17513c2445309ade9271aed43a,c591b19db27adc12888c59475b7e666dca8bdcf71423986e1a2b882a0a79d449,2296561c5197c4dfbde85fb8c86a07666e70bf55ea2089b2e57419d7e0176c9c,b743187d36cbc793f98e374c2bce482c4737e4c52f1ebc4c3a52df17735f850f,6d4d95cf2d2b79bba2c823aaf5f1d48c0e2bb9900bf47a787f5a304aba1d8596,5972dc1eac008fdc1c5faca675e17a21f255cc638789f24efbb642339d7d64af,4a39aba314b4e2a9b27c93c7fcfc55e058f8460baab9ff70436753ea9344030a,55e826b8c369b512d1a8234fa9d88140ed295d2cf83be035d5bbcfbb5bf221fe,bbb501f379489514c1173e520f3fb6b423c054a26a1d1c37f1d1c9d8ec5dd799,df26ac1798fa82a688e4a0077c19b8592c303fca8d77d90d2b1b5ee57f887907
"100","13","1","1","-1","-1","1","3","1","1","1","100101"
"130","15","1","1","-1","-1","1","4","1","1","1","100201"
"160","17","1","1","-1","-1","1","4","1","1","1","100301"
"180","19","1","1","-1","120","1","4","1","1","1","100401"
"180","19","1","1","-1","-1","1","4","1","1","1","100402"
"200","21","1","1","-1","150","1","4","1","1","1","100501"
"200","21","1","1","-1","-1","1","4","1","1","1","100502"
"220","23","1","1","-1","180","1","5","1","1","1","100601"
"220","23","1","1","-1","-1","1","5","1","1","1","100602"
"240","25","1","1","-1","210","1","5","1","1","1","100701"
"240","25","1","1","-1","-1","1","5","1","1","1","100702"
"260","27","1","1","-1","240","1","5","1","1","1","100801"
"260","27","1","1","-1","-1","1","5","1","1","1","100802"
"280","29","1","1","-1","270","1","5","1","1","1","100901"
"280","29","1","1","-1","-1","1","5","1","1","1","100902"
"300","32","1","1","1","300","1","6","1","1","1","101001"
"300","32","1","1","-1","300","1","6","1","1","1","101002"
"300","32","1","1","-1","-1","1","6","1","1","1","101003"
"300","32","1","1","1","300","1","5","1","1","1","101004"
"300","32","1","1","-1","300","1","5","1","1","1","101005"
"300","32","1","1","-1","-1","1","5","1","1","1","101006"
"310","32","1","1","1","300","1","6","1","1","1","101101"
"310","32","1","1","-1","300","1","6","1","1","1","101102"
"310","32","1","1","-1","-1","1","6","1","1","1","101103"
"310","32","1","1","1","300","1","5","1","1","1","101104"
"310","32","1","1","-1","300","1","5","1","1","1","101105"
"310","32","1","1","-1","-1","1","5","1","1","1","101106"
"320","32","1","1","1","300","1","6","1","1","1","101201"
"320","32","1","1","-1","300","1","6","1","1","1","101202"
"320","32","1","1","-1","-1","1","6","1","1","1","101203"
"320","32","1","1","1","300","1","5","1","1","1","101204"
"320","32","1","1","-1","300","1","5","1","1","1","101205"
"320","32","1","1","-1","-1","1","5","1","1","1","101206"
"330","32","1","1","3","300","1","6","1","1","1","101301"
"330","32","1","1","-1","300","1","6","1","1","1","101302"
"330","32","1","1","-1","-1","1","6","1","1","1","101303"
"330","32","1","1","3","300","1","5","1","1","1","101304"
"330","32","1","1","-1","300","1","5","1","1","1","101305"
"330","32","1","1","-1","-1","1","5","1","1","1","101306"
"340","32","1","1","3","300","1","6","1","1","1","101401"
"340","32","1","1","-1","300","1","6","1","1","1","101402"
"340","32","1","1","-1","-1","1","6","1","1","1","101403"
"340","32","1","1","3","300","1","5","1","1","1","101404"
"340","32","1","1","-1","300","1","5","1","1","1","101405"
