d4332bb223b0d6d18fd25792856dfe2aa7577ee6c9c560f8dd704728454477dd,161e9ed442b0481d8694b99825b8f6c34ada4de8196939488a5dd46c6c503172,97d432d55bf3a880723afee4892ba2fac2d86b6b11a69e78fe475f12f5db3e25,26d3110ec90329af6cb02a5603b3b2e669530d8b9341346d041485f97b55a111,ffbb18451a2a4d0fad25c3f25a9b36fff43b1e43e76935979b50bc2708a9f458,8c25eb12f49cf903fe8f294e41777e6ce20f6516c28729f2623582dd161685e5,41bc61748f056a3b4f948c60b633f66b4207bd6bd020b73c474a8ae582689525,651381a70a4fca722bce9b4cff57ac2ea6268eb9e9ac3dfbcaaa7393d164f588,eca1963c127c0e8518712e62655c085b238080ec8cdd30c5ddc5d080f0717bfd,49e22ddb300180fa13681c89c892bacaddcd78095fda185ddf2b67766cbb4b14,464992c09dd87b2ab7ce0039f2667a0001fd46ffaaf1d6833219ab2e5184a5ce,5959ea541cd31baf7a8dfc445a0e60bd3dc86a45a3535dff407ea0d5f3402876,acf8ba799ec276b61c27300865e31292681011973272bc8767ab0823a943ebfa
"3","2","2018/03/14 12:00:00","2018/04/20 4:59:59","0","bgm_M90","1","1","2018/03/21 5:00:00","2018/03/18 11:59:00","1","2018/03/19 11:59:00","1001"
"4","2","2018/04/13 12:00:00","2018/05/22 4:59:59","1001","bgm_M97","1","1","2018/04/20 5:00:00","2018/04/17 11:59:00","2","2018/04/18 11:59:00","1002"
"5","2","2018/05/15 12:00:00","2018/06/21 4:59:59","1002","bgm_M104","1","1","2018/05/22 5:00:00","2018/05/19 11:59:00","1","2018/05/20 11:59:00","1003"
"6","2","2018/06/14 12:00:00","2018/07/21 4:59:59","1003","bgm_M115","1","1","2018/06/21 5:00:00","2018/06/18 11:59:00","2","2018/06/19 11:59:00","1004"
"7","2","2018/07/14 12:00:00","2018/08/22 4:59:59","1004","bgm_M119","1","1","2018/07/21 5:00:00","2018/07/18 11:59:00","1","2018/07/19 11:59:00","1005"
"8","2","2018/08/15 12:00:00","2018/09/21 4:59:59","1005","bgm_M132","1","1","2018/08/22 5:00:00","2018/08/19 11:59:00","2","2018/08/20 11:59:00","1006"
"9","2","2018/09/14 12:00:00","2018/10/22 4:59:59","1006","bgm_M139","1","1","2018/09/21 5:00:00","2018/09/18 11:59:00","1","2018/09/19 11:59:00","1007"
"10","2","2018/10/15 12:00:00","2018/11/22 4:59:59","1007","bgm_M166","1","1","2018/10/22 5:00:00","2018/10/19 11:59:00","2","2018/10/20 11:59:00","1008"
"11","2","2018/11/15 12:00:00","2018/12/22 4:59:59","1008","bgm_M175","1","1","2018/11/22 5:00:00","2018/11/19 11:59:00","1","2018/11/20 11:59:00","1009"
"12","2","2018/12/15 12:00:00","2019/01/23 4:59:59","1009","bgm_M181","1","1","2018/12/22 5:00:00","2018/12/19 11:59:00","2","2018/12/20 11:59:00","1010"
"1","2","2019/01/16 12:00:00","2019/02/20 4:59:59","1010","bgm_M186","1","1","2019/01/23 5:00:00","2019/01/20 11:59:00","1","2019/01/21 11:59:00","1011"
"2","2","2019/02/13 12:00:00","2019/03/23 4:59:59","1011","bgm_M205","1","1","2019/02/20 5:00:00","2019/02/17 11:59:00","2","2019/02/18 11:59:00","1012"
"3","2","2019/03/16 12:00:00","2019/04/22 4:59:59","1012","bgm_M90","1","1","2019/03/23 5:00:00","2019/03/20 11:59:00","1","2019/03/21 11:59:00","1013"
"4","2","2019/04/15 12:00:00","2019/05/23 4:59:59","1013","bgm_M97","1","1","2019/04/22 5:00:00","2019/04/19 11:59:00","2","2019/04/20 11:59:00","1014"
"5","2","2019/05/16 12:00:00","2019/06/22 4:59:59","1014","bgm_M104","1","1","2019/05/23 5:00:00","2019/05/20 11:59:00","1","2019/05/21 11:59:00","1015"
"6","2","2019/06/15 12:00:00","2019/07/23 4:59:59","1015","bgm_M115","1","1","2019/06/22 5:00:00","2019/06/19 11:59:00","2","2019/06/20 11:59:00","1016"
"7","2","2019/07/16 12:00:00","2019/08/23 4:59:59","1016","bgm_M119","1","1","2019/07/23 5:00:00","2019/07/20 11:59:00","1","2019/07/21 11:59:00","1017"
"8","2","2019/08/16 12:00:00","2019/09/23 4:59:59","1017","bgm_M132","1","1","2019/08/23 5:00:00","2019/08/20 11:59:00","2","2019/08/21 11:59:00","1018"
"9","2","2019/09/16 12:00:00","2019/10/25 4:59:59","1018","bgm_M139","1","1","2019/09/23 5:00:00","2019/09/20 11:59:00","1","2019/09/21 11:59:00","1019"
"10","2","2019/10/18 12:00:00","2019/11/24 4:59:59","1019","bgm_M166","1","1","2019/10/25 5:00:00","2019/10/22 11:59:00","2","2019/10/23 11:59:00","1020"
"11","2","2019/11/17 12:00:00","2019/12/25 4:59:59","1020","bgm_M175","1","1","2019/11/24 5:00:00","2019/11/21 11:59:00","1","2019/11/22 11:59:00","1021"
"12","2","2019/12/18 12:00:00","2020/01/25 4:59:59","1021","bgm_M181","1","1","2019/12/25 5:00:00","2019/12/22 11:59:00","2","2019/12/23 11:59:00","1022"
"1","2","2020/01/18 12:00:00","2020/02/23 4:59:59","1022","bgm_M186","1","1","2020/01/25 5:00:00","2020/01/22 11:59:00","1","2020/01/23 11:59:00","1023"
"2","2","2020/02/16 12:00:00","2020/03/25 4:59:59","1023","bgm_M205","1","1","2020/02/23 5:00:00","2020/02/20 11:59:00","2","2020/02/21 11:59:00","1024"
"3","2","2020/03/18 12:00:00","2020/04/25 4:59:59","1024","bgm_M90","1","1","2020/03/25 5:00:00","2020/03/22 11:59:00","1","2020/03/23 11:59:00","1025"
"4","2","2020/04/18 12:00:00","2020/05/26 4:59:59","1025","bgm_M97","1","1","2020/04/25 5:00:00","2020/04/22 11:59:00","2","2020/04/23 11:59:00","1026"
"5","2","2020/05/19 12:00:00","2020/06/25 4:59:59","1026","bgm_M104","1","1","2020/05/26 5:00:00","2020/05/23 11:59:00","1","2020/05/24 11:59:00","1027"
"6","2","2020/06/18 12:00:00","2020/07/26 4:59:59","1027","bgm_M115","1","1","2020/06/25 5:00:00","2020/06/22 11:59:00","2","2020/06/23 11:59:00","1028"
"7","2","2020/07/19 12:00:00","2020/08/26 4:59:59","1028","bgm_M119","1","1","2020/07/26 5:00:00","2020/07/23 11:59:00","1","2020/07/24 11:59:00","1029"
"8","2","2020/08/19 12:00:00","2020/09/25 4:59:59","1029","bgm_M132","1","1","2020/08/26 5:00:00","2020/08/23 11:59:00","2","2020/08/24 11:59:00","1030"
"9","2","2020/09/18 12:00:00","2020/10/26 4:59:59","1030","bgm_M139","1","1","2020/09/25 5:00:00","2020/09/22 11:59:00","1","2020/09/23 11:59:00","1031"
"10","2","2020/10/19 12:00:00","2020/11/25 4:59:59","1031","bgm_M166","1","1","2020/10/26 5:00:00","2020/10/23 11:59:00","2","2020/10/24 11:59:00","1032"
"11","2","2020/11/18 12:00:00","2020/12/26 4:59:59","1032","bgm_M175","1","1","2020/11/25 5:00:00","2020/11/22 11:59:00","1","2020/11/23 11:59:00","1033"
"12","2","2020/12/19 12:00:00","2021/01/26 4:59:59","1033","bgm_M181","1","1","2020/12/26 5:00:00","2020/12/23 11:59:00","2","2020/12/24 11:59:00","1034"
"1","2","2021/01/19 12:00:00","2021/02/23 4:59:59","1034","bgm_M186","1","1","2021/01/26 5:00:00","2021/01/23 11:59:00","1","2021/01/24 11:59:00","1035"
"2","2","2021/02/16 12:00:00","2021/03/26 4:59:59","1035","bgm_M205","1","1","2021/02/23 5:00:00","2021/02/20 11:59:00","2","2021/02/21 11:59:00","1036"
"3","2","2021/03/19 12:00:00","2021/04/25 4:59:59","1036","bgm_M90","1","1","2021/03/26 5:00:00","2021/03/23 11:59:00","1","2021/03/24 11:59:00","1037"
"4","2","2021/04/18 12:00:00","2021/05/26 4:59:59","1037","bgm_M97","1","1","2021/04/25 5:00:00","2021/04/22 11:59:00","2","2021/04/23 11:59:00","1038"
"5","2","2021/05/19 12:00:00","2021/06/25 4:59:59","1038","bgm_M104","1","1","2021/05/26 5:00:00","2021/05/23 11:59:00","1","2021/05/24 11:59:00","1039"
"6","2","2021/06/18 12:00:00","2021/07/26 4:59:59","1039","bgm_M115","1","1","2021/06/25 5:00:00","2021/06/22 11:59:00","2","2021/06/23 11:59:00","1040"
"7","2","2021/07/19 12:00:00","2021/08/26 4:59:59","1040","bgm_M119","1","1","2021/07/26 5:00:00","2021/07/23 11:59:00","1","2021/07/24 11:59:00","1041"
"8","2","2021/08/19 12:00:00","2021/09/25 4:59:59","1041","bgm_M132","1","1","2021/08/26 5:00:00","2021/08/23 11:59:00","2","2021/08/24 11:59:00","1042"
"9","2","2021/09/18 12:00:00","2021/10/26 4:59:59","1042","bgm_M139","1","1","2021/09/25 5:00:00","2021/09/22 11:59:00","1","2021/09/23 11:59:00","1043"
"10","2","2021/10/19 12:00:00","2021/11/25 4:59:59","1043","bgm_M166","1","1","2021/10/26 5:00:00","2021/10/23 11:59:00","2","2021/10/24 11:59:00","1044"
"11","2","2021/11/18 12:00:00","2021/12/26 4:59:59","1044","bgm_M175","1","1","2021/11/25 5:00:00","2021/11/22 11:59:00","1","2021/11/23 11:59:00","1045"
"12","2","2021/12/19 12:00:00","2022/01/26 4:59:59","1045","bgm_M181","1","1","2021/12/26 5:00:00","2021/12/23 11:59:00","2","2021/12/24 11:59:00","1046"
"1","2","2022/01/19 12:00:00","2022/02/23 4:59:59","1046","bgm_M186","1","1","2022/01/26 5:00:00","2022/01/23 11:59:00","1","2022/01/24 11:59:00","1047"
"2","2","2022/02/16 12:00:00","2022/03/26 4:59:59","1047","bgm_M205","1","1","2022/02/23 5:00:00","2022/02/20 11:59:00","2","2022/02/21 11:59:00","1048"
"3","2","2022/03/19 12:00:00","2022/04/25 4:59:59","1048","bgm_M90","1","1","2022/03/26 5:00:00","2022/03/23 11:59:00","1","2022/03/24 11:59:00","1049"
"4","2","2022/04/18 12:00:00","2022/05/26 4:59:59","1049","bgm_M97","1","1","2022/04/25 5:00:00","2022/04/22 11:59:00","2","2022/04/23 11:59:00","1050"
"5","2","2022/05/19 12:00:00","2022/06/25 4:59:59","1050","bgm_M104","1","1","2022/05/26 5:00:00","2022/05/23 11:59:00","1","2022/05/24 11:59:00","1051"
"6","2","2022/06/18 12:00:00","2022/07/26 4:59:59","1051","bgm_M115","1","1","2022/06/25 5:00:00","2022/06/22 11:59:00","2","2022/06/23 11:59:00","1052"
"7","2","2022/07/19 12:00:00","2022/08/26 4:59:59","1052","bgm_M119","1","1","2022/07/26 5:00:00","2022/07/23 11:59:00","1","2022/07/24 11:59:00","1053"
"8","2","2022/08/19 12:00:00","2022/09/25 4:59:59","1053","bgm_M132","1","1","2022/08/26 5:00:00","2022/08/23 11:59:00","2","2022/08/24 11:59:00","1054"
"9","2","2022/09/18 12:00:00","2022/10/26 4:59:59","1054","bgm_M139","1","1","2022/09/25 5:00:00","2022/09/22 11:59:00","1","2022/09/23 11:59:00","1055"
"10","2","2022/10/19 12:00:00","2022/11/25 4:59:59","1055","bgm_M166","1","1","2022/10/26 5:00:00","2022/10/23 11:59:00","2","2022/10/24 11:59:00","1056"
"11","2","2022/11/18 12:00:00","2022/12/26 4:59:59","1056","bgm_M175","1","1","2022/11/25 5:00:00","2022/11/22 11:59:00","1","2022/11/23 11:59:00","1057"
"12","2","2022/12/19 12:00:00","2023/01/26 4:59:59","1057","bgm_M181","1","1","2022/12/26 5:00:00","2022/12/23 11:59:00","2","2022/12/24 11:59:00","1058"
"1","2","2023/01/19 12:00:00","2023/02/23 4:59:59","1058","bgm_M186","1","1","2023/01/26 5:00:00","2023/01/23 11:59:00","1","2023/01/24 11:59:00","1059"
"2","2","2023/02/16 12:00:00","2023/03/26 4:59:59","1059","bgm_M205","1","1","2023/02/23 5:00:00","2023/02/20 11:59:00","2","2023/02/21 11:59:00","1060"
"3","2","2023/03/19 12:00:00","2023/04/26 4:59:59","1060","bgm_M90","1","1","2023/03/26 5:00:00","2023/03/23 11:59:00","1","2023/03/24 11:59:00","1061"
"4","2","2023/04/19 12:00:00","2023/05/26 4:59:59","1061","bgm_M97","1","1","2023/04/26 5:00:00","2023/04/23 11:59:00","2","2023/04/24 11:59:00","1063"
"5","2","2023/05/19 12:00:00","2023/06/25 4:59:59","1063","bgm_M104","1","1","2023/05/26 5:00:00","2023/05/23 11:59:00","1","2023/05/24 11:59:00","1064"
"6","2","2023/06/18 12:00:00","2023/07/26 4:59:59","1064","bgm_M115","1","1","2023/06/25 5:00:00","2023/06/22 11:59:00","2","2023/06/23 11:59:00","1065"
"7","2","2023/07/19 12:00:00","2023/08/26 4:59:59","1065","bgm_M119","1","1","2023/07/26 5:00:00","2023/07/23 11:59:00","1","2023/07/24 11:59:00","1066"
"8","2","2023/08/19 12:00:00","2023/09/25 4:59:59","1066","bgm_M132","1","1","2023/08/26 5:00:00","2023/08/23 11:59:00","2","2023/08/24 11:59:00","1067"
"9","2","2023/09/18 12:00:00","2023/10/26 4:59:59","1067","bgm_M139","1","1","2023/09/25 5:00:00","2023/09/22 11:59:00","1","2023/09/23 11:59:00","1068"
"10","2","2023/10/19 12:00:00","2023/11/25 4:59:59","1068","bgm_M166","1","1","2023/10/26 5:00:00","2023/10/23 11:59:59","2","2023/10/24 11:59:59","1069"
"11","2","2023/11/18 12:00:00","2023/12/26 4:59:59","1069","bgm_M175","1","1","2023/11/25 5:00:00","2023/11/22 11:59:59","1","2023/11/23 11:59:59","1070"
"12","2","2023/12/19 12:00:00","2024/01/26 4:59:59","1070","bgm_M181","1","1","2023/12/26 5:00:00","2023/12/23 11:59:59","2","2023/12/24 11:59:59","1071"
"1","2","2024/01/19 12:00:00","2024/02/24 4:59:59","1071","bgm_M186","1","1","2024/01/26 5:00:00","2024/01/23 11:59:59","1","2024/01/24 11:59:59","1072"
"2","2","2024/02/15 0:00:00","2024/03/26 4:59:59","1072","bgm_M205","1","1","2024/02/24 5:00:00","2024/02/21 11:59:59","2","2024/02/22 11:59:59","1073"
"3","2","2024/03/19 12:00:00","2024/04/25 4:59:59","1073","bgm_M90","1","1","2024/03/26 5:00:00","2024/03/23 11:59:59","1","2024/03/24 11:59:59","1074"
"4","2","2024/04/18 12:00:00","2024/05/26 4:59:59","1074","bgm_M97","1","1","2024/04/25 5:00:00","2024/04/22 11:59:59","2","2024/04/23 11:59:59","1075"
"5","2","2024/05/19 12:00:00","2024/06/25 4:59:59","1075","bgm_M104","1","1","2024/05/26 5:00:00","2024/05/23 11:59:59","1","2024/05/24 11:59:59","1076"
"6","2","2024/06/18 12:00:00","2024/07/26 4:59:59","1076","bgm_M115","1","1","2024/06/25 5:00:00","2024/06/22 11:59:59","2","2024/06/23 11:59:59","1077"
"7","2","2024/07/19 12:00:00","2024/08/26 4:59:59","1077","bgm_M119","1","1","2024/07/26 5:00:00","2024/07/23 11:59:59","1","2024/07/24 11:59:59","1078"
"8","2","2024/08/19 12:00:00","2024/09/25 4:59:59","1078","bgm_M132","1","1","2024/08/26 5:00:00","2024/08/23 11:59:59","2","2024/08/24 11:59:59","1079"
"9","2","2024/09/18 12:00:00","2024/10/26 4:59:59","1079","bgm_M139","1","1","2024/09/25 5:00:00","2024/09/22 11:59:59","1","2024/09/23 11:59:59","1080"
"10","2","2024/10/19 12:00:00","2024/11/25 4:59:59","1080","bgm_M166","1","1","2024/10/26 5:00:00","2024/10/23 11:59:59","2","2024/10/24 11:59:59","1081"
"11","2","2024/11/18 12:00:00","2024/12/26 4:59:59","1081","bgm_M175","1","1","2024/11/25 5:00:00","2024/11/22 11:59:59","1","2024/11/23 11:59:59","1082"
