c841a37fa6eaee27755fff0e59bdad85a6a651c27a8bc119473413a53fb06b9e,b6ada4325e50431c1a2b64004c9179e97ff4abc8d93dc6527a51599c014110fb,e824e53f53f91626f725145474ea0c3be05f8f4b536a721217b59f6be5b1948f,f9a3eca9e8fa0b706747847505c42fd70326cb9255c877d6a886ff707bec16b9,ba60b1351f4e6275a9e647033727e021e9543dba00216a467f55843e2e523d6b,2e7d7c93304187b3b031b08813a3775c1f8ae6cbaacdd92f1f5f08f0f80be2f7
"1","10009101","1","0","1","10009106"
"2","10009101","1","0","1","10009112"
"3","10010101","1","0","1","10010110"
"4","10019101","2","0","1","1001901"
"5","10021101","1","0","1","10021112"
"6","10025101","1","0","1","10025109"
"7","10025","3","500810","2","5025001"
"8","20009101","1","0","1","20009106"
"9","20009101","1","0","1","20009112"
"10","20010101","1","0","1","20010110"
"12","10042","3","501001","2","5042001"
"13","20015101","2","0","1","2001501"
"14","10044","3","501031","2","5044001"
"15","20016101","1","0","1","20016112"
"16","10046","3","501103","2","5046002"
"17","10049101","1","0","1","10049109"
"19","10066101","1","0","1","10066112"
"20","10066","3","501291","2","5066005"
"21","10069","3","501001","2","5042001"
"22","10071","3","501031","2","5044001"
"23","10068","3","501341","2","5068001"
"24","10070","3","501353","2","5070004"
"25","10070","3","500016","2","5070005"
"26","10072","3","501364","2","5072004"
"27","10072","3","501365","2","5072006"
"28","10073","3","501103","2","5046002"
"29","10074","3","501383","2","5074001"
"30","10076101","1","0","1","10076112"
"31","10076","3","505036","2","5076005"
"32","10078","3","501451","2","5078004"
"33","10080","3","501463","2","5080005"
"34","10082101","1","0","1","10082105"
"35","10082102","1","0","1","10082108"
"36","10082103","1","0","1","10082111"
"37","10082","3","501160","2","5082002"
"38","10082","3","501031","2","5082004"
"39","10082","3","501483","2","5082005"
"40","10084","3","500368","2","5084001"
"41","10084","3","510306","2","5084002"
"42","10084","3","500039","2","5084003"
"43","10085","3","500368","2","5085002"
"44","10085","3","510203","2","5085003"
"45","10085","3","500272","2","5085004"
"46","10085","3","501501","2","5085005"
"47","10088","3","501810","2","5088005"
"50","20025","3","501001","2","5042001"
"51","10090","3","501541","2","5090002"
"55","20026","3","501031","2","5044001"
"56","10093101","1","0","1","10093112"
"57","10093","3","501291","2","5066005"
"58","20027","3","501103","2","5046002"
"59","10092","3","501031","2","5092001"
"60","10092","3","501551","2","5092004"
"61","10094","3","501593","2","5094001"
"62","10095","3","501341","2","5068001"
