943c4914c99de7d5c22572ce5f519b66bc53a9a6e0f8ec7d43e63deaf6133608,6cbe8e08f3308683379118276468ae791fcd3e8f839a29a5ab9f7782a468d9ff,70dc1dc58d2d60e62b61735315f45a23b1417092f24bddc7cda89562ce0bfc9e,97acd426af5b693c1cfbfffaecc9e309221548b2dc67f257cfe12e2c3180a336,0066ed5b3bd20aa50317380971842cd91126b68ab6ee9a90801e091a7384d4f5,bc69d74626a11af7eaf82ccafabe7759be23c08bb4d9f8b086c85e1aa0d83bee
"0","1","150","150","10","1"
"0","1","250","400","10","2"
"0","1","400","800","10","3"
"0","2","150","150","20","1"
"0","2","250","400","20","2"
"0","2","400","800","20","3"
"1","2","500","1300","20","4"
"0","3","800","800","30","1"
"0","3","1000","1800","30","2"
"0","3","1200","3000","30","3"
"1","3","1400","4400","30","4"
"2","3","1600","6000","30","5"
"0","4","800","800","40","1"
"0","4","1000","1800","40","2"
"0","4","1200","3000","40","3"
"1","4","1400","4400","40","4"
"2","4","1600","6000","40","5"
"0","5","0","0","0","0"
