66593f6d584dca93d9f084ddfe75667fc8a379b7425e7a304a585140dd927cb3,d651887f49e602df300ab71139083c9a2f1ddedfbe9a9fe5646b1ccadce6c934,da0a4685570789ce0f42e69a04a94aa4199ae3c1fd87122721e452b4a638ee6b,f0e3baa0e80f908d7f29792ca434c417e66dbb04fbd0995b94dfacdd316a45e8,f4ba26879059baa1a2cf928da755b551323511b5f8bf6005295b51f0323a7a21,a1da55b1d6410ed78d64633d835ca459c6aafb1278eb1cc1e7612982a64120ff,828738e6adb7e98a4636d87f4cbf67c34675759f92c55376790023bfd955c9df,d206e635a341d040133ab1703a7bf74f7da2e0297e90c9774ec0ba50fe1ae137,46da5d1eb27d89881dbb918cb313f23516ee76445fe811d08045ebd42e485061,b68a67fe85a9d5974a4d47d438d1d2491b0417bf5575289890300de0dc3f7ee0,8bdebce8e92681c452473c75c37b3a248b4663d32c1b9068d7e0f16ea1b67068
"91002","31","10","2","25021","25013","2","8","283001001","1","8"
"91002","31","10","2","25021","25013","2","8","283001002","2","8"
"91002","32","10","2","25021","25013","2","8","283001003","3","8"
"91002","32","10","2","25021","25013","2","8","283001004","4","8"
"91002","33","10","2","25021","25013","2","8","283001005","5","8"
"91002","33","10","2","25021","25013","2","8","283001006","6","9"
"91002","34","10","2","25021","25013","2","8","283001007","7","9"
"91002","35","10","2","25021","25013","2","8","283001008","8","9"
"91002","35","10","2","25021","25013","2","8","283001009","9","9"
"91002","37","30","2","25021","25013","2","8","283001010","10","10"
"91002","41","10","2","25021","25013","2","8","283001011","11","10"
"91002","43","10","2","25021","25013","2","8","283001012","12","11"
"91002","46","10","2","25021","25013","2","8","283001013","13","11"
"91002","48","10","2","25021","25013","2","8","283001014","14","12"
"91002","50","10","2","25021","25013","2","8","283001015","15","12"
"91002","53","10","2","25021","25013","2","8","283001016","16","13"
"91002","55","10","2","25021","25013","2","8","283001017","17","14"
"91002","58","10","2","25021","25013","2","8","283001018","18","14"
"91002","60","10","2","25021","25013","2","8","283001019","19","15"
"91002","62","30","2","25021","25013","2","8","283001020","20","15"
"91002","68","10","2","25021","25013","2","8","283001021","21","16"
"91002","70","10","2","25021","25013","2","8","283001022","22","16"
"91002","72","10","2","25021","25013","2","8","283001023","23","16"
"91002","75","10","2","25021","25013","2","8","283001024","24","17"
"91002","77","10","2","25021","25013","2","8","283001025","25","18"
"91002","79","10","2","25021","25013","2","8","283001026","26","18"
"91002","82","10","2","25021","25013","2","8","283001027","27","19"
"91002","84","10","2","25021","25013","2","8","283001028","28","19"
"91002","86","10","2","25021","25013","2","8","283001029","29","19"
"91002","89","30","2","25021","25013","2","8","283001030","30","20"
"91002","94","10","2","25021","25013","2","8","283001031","31","20"
"91002","96","10","2","25021","25013","2","8","283001032","32","21"
"91002","99","10","2","25021","25013","2","8","283001033","33","21"
"91002","101","10","2","25021","25013","2","8","283001034","34","22"
"91002","103","10","2","25021","25013","2","8","283001035","35","22"
"91002","106","10","2","25021","25013","2","8","283001036","36","23"
"91002","108","10","2","25021","25013","2","8","283001037","37","23"
"91002","111","10","2","25021","25013","2","8","283001038","38","24"
"91002","113","10","2","25021","25013","2","8","283001039","39","25"
"91002","115","30","2","25021","25013","2","8","283001040","40","25"
"91002","121","10","2","25021","25013","2","8","283001041","41","26"
"91002","123","10","2","25021","25013","2","8","283001042","42","27"
"91002","125","10","2","25021","25013","2","8","283001043","43","28"
"91002","128","10","2","25021","25013","2","8","283001044","44","28"
"91002","130","10","2","25021","25013","2","8","283001045","45","29"
"91002","132","10","2","25021","25013","2","8","283001046","46","30"
"91002","135","10","2","25021","25013","2","8","283001047","47","30"
"91002","137","10","2","25021","25013","2","8","283001048","48","31"
"91002","139","10","2","25021","25013","2","8","283001049","49","31"
"91002","142","30","2","25021","25013","2","8","283001050","50","31"
"91002","144","10","2","25021","25013","2","8","283001051","51","32"
"91002","146","10","2","25021","25013","2","8","283001052","52","32"
"91002","149","10","2","25021","25013","2","8","283001053","53","32"
"91002","152","10","2","25021","25013","2","8","283001054","54","33"
"91002","155","10","2","25021","25013","2","8","283001055","55","33"
"91002","157","10","2","25021","25013","2","8","283001056","56","33"
"91002","160","10","2","25021","25013","2","8","283001057","57","34"
"91002","163","10","2","25021","25013","2","8","283001058","58","34"
"91002","166","10","2","25021","25013","2","8","283001059","59","34"
"91002","169","30","2","25021","25013","2","8","283001060","60","35"
"91002","171","10","2","25021","25013","2","8","283001061","61","35"
"91002","174","10","2","25021","25013","2","8","283001062","62","35"
"91002","177","10","2","25021","25013","2","8","283001063","63","36"
"91002","180","10","2","25021","25013","2","8","283001064","64","36"
"91002","182","10","2","25021","25013","2","8","283001065","65","36"
"91002","185","10","2","25021","25013","2","8","283001066","66","37"
"91002","187","10","2","25021","25013","2","8","283001067","67","37"
"91002","190","10","2","25021","25013","2","8","283001068","68","37"
"91002","193","10","2","25021","25013","2","8","283001069","69","38"
"91002","196","30","2","25021","25013","2","8","283001070","70","38"
