bc737c569f6be07fa07e41f7eaf85aaa80a3972cf48b3afca0e1814df95848bd,c234f5704e4c2035ea3708233eed15e0924fa7d78c4d87f7b3b393f79621f6bd,3320c4cc19880f244808935bfd7621b85ffe84aea1968d3f1d0442c920c2f2dd,9f573eccb18b23fc28f280a24fbde36d283e5bd302e2cd9cd4b437683fa3af9a,ea9c8938df9487f63f708b2185284c4651b766d830dce5a16bea9d16799b319a
"100","8","91002","30109001","1"
"10","2","20002","30109001","2"
"100","8","91002","30109002","3"
"40000","12","94002","30109002","4"
"300","8","91002","30109003","5"
"500","8","91002","30109004","6"
"500","8","91002","30109005","7"
"1000000","12","94002","30109005","8"
"500","8","91002","30109006","9"
"500000","12","94002","30109006","10"
"600","8","91002","30110001","11"
"200000","12","94002","30110006","12"
